,language,story,r
0,du,0,0.611592935297107
1,du,1,0.6359599199675543
2,du,2,0.6882148228148834
3,du,3,0.6711549257702539
4,du,4,0.7034017042600235
5,du,5,0.570026037064457
6,du,6,0.7065048956525989
7,du,7,0.6739567581403146
8,du,8,0.7116634654714358
9,du,9,0.5624557324546682
10,du,10,0.6103043115644529
11,du,11,0.6971186235242015
12,it,0,0.6365034137670311
13,it,1,0.656463511884037
14,it,2,0.6572375720519521
15,it,3,0.6712238081648738
16,it,4,0.6383281523313701
17,it,5,0.6471303346021764
18,it,6,0.7035764477798935
19,it,7,0.663808523474207
20,it,8,0.7442083590710424
21,it,9,0.6112773437921721
22,it,10,0.7285657151168436
23,it,11,0.6908962430767902
24,en,0,0.6218685585868373
25,en,1,0.5462758138154366
26,en,2,0.6695784240593278
27,en,3,0.6201410234924024
28,en,4,0.5986225028715598
29,en,5,0.6412010790345525
30,en,6,0.6392143783416884
31,en,7,0.6949663928905293
32,en,8,0.6207283502647795
33,en,9,0.5686299631123862
34,en,10,0.6620408391919161
35,en,11,0.6384939517695358
36,no,0,0.6509789673073894
37,no,1,0.6068455455757599
38,no,2,0.7303368318567851
39,no,3,0.6145462623547161
40,no,4,0.7027925348152798
41,no,5,0.6598913439945414
42,no,6,0.7707891233925014
43,no,7,0.7665643385807266
44,no,8,0.6942282339041358
45,no,9,0.697803825589585
46,no,10,0.809250607447843
47,no,11,0.7800814305405436
48,sp,0,0.6551018864117625
49,sp,1,0.7121057547129425
50,sp,2,0.7508149366786295
51,sp,3,0.659050142835821
52,sp,4,0.7033632178020476
53,sp,5,0.7054372742298636
54,sp,6,0.6603946574825098
55,sp,7,0.7244126630887672
56,sp,8,0.5830367728916179
57,sp,9,0.6325366667602381
58,sp,10,0.6952504568353671
59,sp,11,0.7526479373613039
60,tr,0,0.6909770980468264
61,tr,1,0.6771711576761704
62,tr,2,0.5363025217888439
63,tr,3,0.5878363077956408
64,tr,4,0.5652110549762223
65,tr,5,0.5878825144929983
66,tr,6,0.566930820977861
67,tr,7,0.47543749341747155
68,tr,8,0.5289387183818945
69,tr,9,0.5368226209407992
70,tr,10,0.5891226274211817
71,tr,11,0.5665757160227863
