,language,story,r
0,du,0,0.7412927953563836
1,du,1,0.798054220786497
2,du,2,0.8156255971187182
3,du,3,0.7699360517832702
4,du,4,0.8141764082694162
5,du,5,0.7452177009815713
6,du,6,0.8145806804285152
7,du,7,0.789103629225112
8,du,8,0.8372957473201202
9,du,9,0.7320624501064488
10,du,10,0.6991259439065768
11,du,11,0.7806119526705337
12,it,0,0.8384462080923151
13,it,1,0.8655556795642981
14,it,2,0.8525375233941124
15,it,3,0.8076877919039496
16,it,4,0.781854683942957
17,it,5,0.86789289103555
18,it,6,0.8629819960423679
19,it,7,0.8677787528566556
20,it,8,0.8852248975704304
21,it,9,0.8416224583496279
22,it,10,0.8861657665028165
23,it,11,0.8557568420280197
24,en,0,0.79703601317932
25,en,1,0.8068367999601473
26,en,2,0.7669088392406228
27,en,3,0.7598811271943839
28,en,4,0.8004007687453984
29,en,5,0.8293269026873806
30,en,6,0.8228538559926778
31,en,7,0.8568609783277428
32,en,8,0.8030615804765187
33,en,9,0.778239407019692
34,en,10,0.8521977338962632
35,en,11,0.8285524686161226
36,no,0,0.822191249341547
37,no,1,0.7258965976738724
38,no,2,0.8428675373844211
39,no,3,0.7546844558955788
40,no,4,0.8182885835854727
41,no,5,0.8390337783522038
42,no,6,0.8519834947578404
43,no,7,0.8697264851357934
44,no,8,0.8356846098918674
45,no,9,0.8195867228599198
46,no,10,0.84628533362319
47,no,11,0.8798236832824842
48,sp,0,0.8777309039691262
49,sp,1,0.8437015119953148
50,sp,2,0.8768581173261532
51,sp,3,0.8569649268955359
52,sp,4,0.8573354486568432
53,sp,5,0.8725990791261936
54,sp,6,0.8463321619921417
55,sp,7,0.8871195179957196
56,sp,8,0.8102890038285859
57,sp,9,0.8425953582112009
58,sp,10,0.8745079745182475
59,sp,11,0.8935418049361428
60,tr,0,0.8200354958772238
61,tr,1,0.8384964522982351
62,tr,2,0.8154976533431152
63,tr,3,0.7594976664777615
64,tr,4,0.744747379117532
65,tr,5,0.7538608949782484
66,tr,6,0.7920883286955497
67,tr,7,0.689059811704087
68,tr,8,0.7043000990960955
69,tr,9,0.8053728140934266
70,tr,10,0.7726274519201309
71,tr,11,0.7432584697758305
