,language,story,r
0,du,0,0.7788566918595553
1,du,1,0.8123608596222492
2,du,2,0.8184415545176051
3,du,3,0.7900253795901853
4,du,4,0.8295081943362632
5,du,5,0.7475940385984308
6,du,6,0.8336916368597663
7,du,7,0.7655768441381577
8,du,8,0.8015804955139437
9,du,9,0.7298986007398026
10,du,10,0.7198464215787325
11,du,11,0.8168287612455877
12,it,0,0.8207627434494186
13,it,1,0.853337718178481
14,it,2,0.8385600674689889
15,it,3,0.7916397606535714
16,it,4,0.7545135582677468
17,it,5,0.8506918839988373
18,it,6,0.8362265594668858
19,it,7,0.8634744855587725
20,it,8,0.8761161082702565
21,it,9,0.8519592293577097
22,it,10,0.8728013902356682
23,it,11,0.8652276521931187
24,en,0,0.7752998272185243
25,en,1,0.8092903251120854
26,en,2,0.7651959578613573
27,en,3,0.750132002524339
28,en,4,0.768691188893563
29,en,5,0.8165856303760319
30,en,6,0.799863778664805
31,en,7,0.8573623881097261
32,en,8,0.7944158759688897
33,en,9,0.8138851578275862
34,en,10,0.8585661962314786
35,en,11,0.8330131522855264
36,no,0,0.8124032050732407
37,no,1,0.7199205361916856
38,no,2,0.8584505387402432
39,no,3,0.7469461831739088
40,no,4,0.7938844644141475
41,no,5,0.8300141999162771
42,no,6,0.8392236511965068
43,no,7,0.8669115064966151
44,no,8,0.812663713384727
45,no,9,0.8161701212858018
46,no,10,0.8629380840890084
47,no,11,0.887111560205208
48,sp,0,0.8737030439906194
49,sp,1,0.8390355415660107
50,sp,2,0.8683517527717058
51,sp,3,0.8367378803433723
52,sp,4,0.863263648069617
53,sp,5,0.8891823182369976
54,sp,6,0.8429769759023861
55,sp,7,0.8525506593769678
56,sp,8,0.8184950720614542
57,sp,9,0.847258374958214
58,sp,10,0.8724586487254055
59,sp,11,0.8939657312788959
60,tr,0,0.7995949325121341
61,tr,1,0.8334973443951611
62,tr,2,0.7660652824820516
63,tr,3,0.7605660986330477
64,tr,4,0.7514217786086226
65,tr,5,0.746699769454971
66,tr,6,0.7896842940040227
67,tr,7,0.7024969099470381
68,tr,8,0.7038520803327136
69,tr,9,0.8005847984267975
70,tr,10,0.7860363497859488
71,tr,11,0.7141248182543773
