,language,story,r
0,du,0,0.742493689553863
1,du,1,0.7869075686644698
2,du,2,0.8171861797246468
3,du,3,0.786798292464118
4,du,4,0.8346845804426007
5,du,5,0.7167884677691939
6,du,6,0.7799902948773909
7,du,7,0.7812980667205771
8,du,8,0.8212347646654958
9,du,9,0.708698807221113
10,du,10,0.760024581075999
11,du,11,0.8089617715561587
12,it,0,0.8325627789878086
13,it,1,0.8263602112201965
14,it,2,0.8265897442830832
15,it,3,0.8121670665315059
16,it,4,0.7906420466687927
17,it,5,0.8576747703666133
18,it,6,0.866822540498117
19,it,7,0.8377368189799138
20,it,8,0.8883219784730867
21,it,9,0.8162528583768248
22,it,10,0.8868232689326143
23,it,11,0.8613374499248981
24,en,0,0.8015313682464006
25,en,1,0.8057224535775319
26,en,2,0.7743484024507236
27,en,3,0.7819886183003749
28,en,4,0.7693003056216503
29,en,5,0.8217952586186885
30,en,6,0.8375054037206359
31,en,7,0.8480582330741989
32,en,8,0.7962075685945893
33,en,9,0.7846835315761549
34,en,10,0.8335756531615021
35,en,11,0.867526886351198
36,no,0,0.803581274299547
37,no,1,0.7033688519986173
38,no,2,0.8483875399146951
39,no,3,0.7594445890822403
40,no,4,0.8145042880594171
41,no,5,0.8259392192171098
42,no,6,0.8247683203404328
43,no,7,0.8661624482678433
44,no,8,0.8084846838909384
45,no,9,0.8105134532707978
46,no,10,0.8430693965326422
47,no,11,0.870191105173992
48,sp,0,0.8683154037860571
49,sp,1,0.8039634760232371
50,sp,2,0.8689011687650247
51,sp,3,0.8520046542371159
52,sp,4,0.8500141482822997
53,sp,5,0.8717952429782696
54,sp,6,0.8213388234970105
55,sp,7,0.8952955742736446
56,sp,8,0.8236701808418516
57,sp,9,0.8485783099004276
58,sp,10,0.869401407930388
59,sp,11,0.8924613979500674
60,tr,0,0.7906045645293777
61,tr,1,0.8224933819747117
62,tr,2,0.7493519265634975
63,tr,3,0.7126922558271277
64,tr,4,0.7477476785240252
65,tr,5,0.7754368730727389
66,tr,6,0.774882413719238
67,tr,7,0.6911127032951088
68,tr,8,0.7132079068232868
69,tr,9,0.8030626081320644
70,tr,10,0.7473114228200571
71,tr,11,0.7026515157933477
