,language,story,r
0,du,0,0.4290057590851387
1,du,1,0.5354032790748449
2,du,2,0.5390889083362246
3,du,3,0.5624546315202344
4,du,4,0.5624621046790013
5,du,5,0.4955088860275702
6,du,6,0.6095272718441759
7,du,7,0.44242849822210495
8,du,8,0.6651187871667713
9,du,9,0.3676162162958172
10,du,10,0.4077156436733446
11,du,11,0.5164895885292942
12,it,0,0.6261041045041966
13,it,1,0.6200062952362599
14,it,2,0.5992711661701385
15,it,3,0.6564889118730051
16,it,4,0.6446329006555712
17,it,5,0.68928908076511
18,it,6,0.6186656398417123
19,it,7,0.6248106543205355
20,it,8,0.7099867861982121
21,it,9,0.6044401140133624
22,it,10,0.7223178076400601
23,it,11,0.678735046420839
24,en,0,0.4969736729066558
25,en,1,0.6293278754411645
26,en,2,0.5925309265143056
27,en,3,0.6451412616823997
28,en,4,0.4346907681822719
29,en,5,0.6811063885351566
30,en,6,0.6206205949247048
31,en,7,0.6565294500473794
32,en,8,0.5901576808495759
33,en,9,0.55117326147146
34,en,10,0.5799171661139829
35,en,11,0.6056921380962678
36,no,0,0.4048581858702558
37,no,1,0.5174466723909
38,no,2,0.5466980445086865
39,no,3,0.37517765387892094
40,no,4,0.4579158273152983
41,no,5,0.5945907432504709
42,no,6,0.4807519805343285
43,no,7,0.6056445504608685
44,no,8,0.3701428393753182
45,no,9,0.5609166350743717
46,no,10,0.5092407657086598
47,no,11,0.5242274094825913
48,sp,0,0.6658997502644846
49,sp,1,0.6618358585026263
50,sp,2,0.7273917696939136
51,sp,3,0.665955022996849
52,sp,4,0.5560631889073286
53,sp,5,0.6644579849863573
54,sp,6,0.627304808192615
55,sp,7,0.6330541245695432
56,sp,8,0.5470617390390958
57,sp,9,0.5386341339613588
58,sp,10,0.7047909813230412
59,sp,11,0.7007093248123497
60,tr,0,0.4948829703506493
61,tr,1,0.531516517919306
62,tr,2,0.38526249791949774
63,tr,3,0.5283846846726252
64,tr,4,0.44565757475672174
65,tr,5,0.3998538829318743
66,tr,6,0.458584488797686
67,tr,7,0.31709709307158823
68,tr,8,0.3847518287007578
69,tr,9,0.4337612214735721
70,tr,10,0.3522914645644122
71,tr,11,0.4354343378995157
