,language,story,r
0,du,0,0.3451962497172324
1,du,1,0.49314332054854254
2,du,2,0.5539547987638463
3,du,3,0.5357799212754022
4,du,4,0.49190414802979104
5,du,5,0.5094265822788833
6,du,6,0.5747096157051012
7,du,7,0.4412535976895673
8,du,8,0.6284902959409188
9,du,9,0.3749350157203941
10,du,10,0.397928136996166
11,du,11,0.4811577898087151
12,it,0,0.6277210579433034
13,it,1,0.6289393761416865
14,it,2,0.5902553155532464
15,it,3,0.6926301564214921
16,it,4,0.6313730468601184
17,it,5,0.6691826947533754
18,it,6,0.5986998604574378
19,it,7,0.6331247062070621
20,it,8,0.7098482447364555
21,it,9,0.6086343847828808
22,it,10,0.7247143380798975
23,it,11,0.6751036938484418
24,en,0,0.5042033386602627
25,en,1,0.5978104700506002
26,en,2,0.586865980133406
27,en,3,0.642300941568937
28,en,4,0.53726330212787
29,en,5,0.6402672204222644
30,en,6,0.6078127157001987
31,en,7,0.6658914006983878
32,en,8,0.5811764329945229
33,en,9,0.5237755447048008
34,en,10,0.5724165861985104
35,en,11,0.6066189573113733
36,no,0,0.41843075462985596
37,no,1,0.47872593006911013
38,no,2,0.5327765351934601
39,no,3,0.33526871538635256
40,no,4,0.4571755136277229
41,no,5,0.5759126951489464
42,no,6,0.3911358841504257
43,no,7,0.5094848170258925
44,no,8,0.29526049278848954
45,no,9,0.5413359924265192
46,no,10,0.43406421267234946
47,no,11,0.5114110676971184
48,sp,0,0.6628893433161483
49,sp,1,0.6763080022594221
50,sp,2,0.7347355287395897
51,sp,3,0.6713348003840635
52,sp,4,0.5655552906177432
53,sp,5,0.6287263325580095
54,sp,6,0.6245239421700103
55,sp,7,0.6494637454760505
56,sp,8,0.5249986242970176
57,sp,9,0.5711995408879325
58,sp,10,0.6986016804496515
59,sp,11,0.6776149831980012
60,tr,0,0.49907308225700486
61,tr,1,0.4558152709748198
62,tr,2,0.4106601517714069
63,tr,3,0.4923601200680353
64,tr,4,0.499588040392094
65,tr,5,0.4447219689716755
66,tr,6,0.43151436665078413
67,tr,7,0.32755977684389687
68,tr,8,0.3793700111377554
69,tr,9,0.4461029210578793
70,tr,10,0.3146661472047826
71,tr,11,0.4206699357515485
