,language,story,r
0,du,0,0.38419798325479504
1,du,1,0.43833346773791537
2,du,2,0.47484038443312704
3,du,3,0.48496737923194283
4,du,4,0.4490084105626573
5,du,5,0.44610302874274244
6,du,6,0.5579999060006351
7,du,7,0.3815673350434664
8,du,8,0.6553094915892457
9,du,9,0.3846105632693424
10,du,10,0.4050339230653372
11,du,11,0.48147587700416944
12,it,0,0.5820923725277494
13,it,1,0.6164443126008788
14,it,2,0.5714467227472919
15,it,3,0.6735135090957348
16,it,4,0.6581046348035882
17,it,5,0.6484948745387079
18,it,6,0.6360906262297007
19,it,7,0.6301602120024794
20,it,8,0.6706612375218423
21,it,9,0.5749614925972701
22,it,10,0.6913480452201306
23,it,11,0.674799741505748
24,en,0,0.48722106502587076
25,en,1,0.5764744963108557
26,en,2,0.5408232656140873
27,en,3,0.5904590461429328
28,en,4,0.46464580326894495
29,en,5,0.6188964883125821
30,en,6,0.6158152850948414
31,en,7,0.619229985577251
32,en,8,0.5581652247412029
33,en,9,0.504441489157536
34,en,10,0.564047263002753
35,en,11,0.5505167841695746
36,no,0,0.37917013074280387
37,no,1,0.4262228024522078
38,no,2,0.47544762740533864
39,no,3,0.30125149417865493
40,no,4,0.4421061240871079
41,no,5,0.5328578701389547
42,no,6,0.41850431377440445
43,no,7,0.50319434218621
44,no,8,0.3460437868846454
45,no,9,0.47590197463788814
46,no,10,0.38123589529569
47,no,11,0.4766231445872494
48,sp,0,0.6454952395014506
49,sp,1,0.6774697438842755
50,sp,2,0.7164203451026058
51,sp,3,0.6745301643667346
52,sp,4,0.5310079151054731
53,sp,5,0.64184522783345
54,sp,6,0.6046870209860131
55,sp,7,0.5634799954596608
56,sp,8,0.4877168874319137
57,sp,9,0.48445103133351786
58,sp,10,0.6556947668363322
59,sp,11,0.6705233050575117
60,tr,0,0.4531758873266301
61,tr,1,0.47281481526700064
62,tr,2,0.3758671922736031
63,tr,3,0.38134707665906603
64,tr,4,0.4071725677392428
65,tr,5,0.46075554389232926
66,tr,6,0.3825317427237641
67,tr,7,0.29977548797666487
68,tr,8,0.3251271022584736
69,tr,9,0.3466410680682964
70,tr,10,0.25008109263895467
71,tr,11,0.37511540103752394
