,language,story,r
0,du,0,0.5733827179221567
1,du,1,0.6183729867069062
2,du,2,0.6495008999120205
3,du,3,0.5857868554009751
4,du,4,0.6112502305211404
5,du,5,0.5375697873167482
6,du,6,0.680106188941962
7,du,7,0.6112963010419901
8,du,8,0.7063236588623892
9,du,9,0.48704877916289063
10,du,10,0.49073855532481603
11,du,11,0.6041037440006228
12,it,0,0.6096065827778929
13,it,1,0.6235423347188758
14,it,2,0.5855785545419245
15,it,3,0.6751421834405065
16,it,4,0.6323403617932366
17,it,5,0.672482731703671
18,it,6,0.6146104757452001
19,it,7,0.6124496251540232
20,it,8,0.6975283334513979
21,it,9,0.6181165883865496
22,it,10,0.6924293491412665
23,it,11,0.6700472474163923
24,en,0,0.5041597010460813
25,en,1,0.5692209951335433
26,en,2,0.5178678338420006
27,en,3,0.610307090774883
28,en,4,0.49064350991732036
29,en,5,0.5910130733269123
30,en,6,0.6515871385210377
31,en,7,0.6069022533736288
32,en,8,0.5494944568942681
33,en,9,0.5311565615759922
34,en,10,0.5602907804433619
35,en,11,0.6457217986499305
36,no,0,0.5805169233329679
37,no,1,0.5627835533720159
38,no,2,0.6785922751518582
39,no,3,0.6005652730553079
40,no,4,0.6237895878993261
41,no,5,0.6543602360866119
42,no,6,0.609996212005177
43,no,7,0.7303543787665194
44,no,8,0.6311270439030524
45,no,9,0.6182458322768521
46,no,10,0.6221415757031594
47,no,11,0.6949259454026308
48,sp,0,0.6783290449117879
49,sp,1,0.6861502098888654
50,sp,2,0.7250650760578968
51,sp,3,0.6511455678414217
52,sp,4,0.5717812843443492
53,sp,5,0.5901484373050618
54,sp,6,0.5683184278338426
55,sp,7,0.6414101362590715
56,sp,8,0.5187662765595161
57,sp,9,0.5458241046130399
58,sp,10,0.6785329022182345
59,sp,11,0.6582822194456502
60,tr,0,0.453578007144506
61,tr,1,0.5309252046461224
62,tr,2,0.3738266072423379
63,tr,3,0.44048336560671486
64,tr,4,0.4482483678949328
65,tr,5,0.4083124830265409
66,tr,6,0.4225174455640981
67,tr,7,0.3128003123401423
68,tr,8,0.3931101137669092
69,tr,9,0.43621082088147606
70,tr,10,0.34499592505482407
71,tr,11,0.4827748716880829
