,language,story,r
0,du,0,0.5606560265526386
1,du,1,0.6507828482907957
2,du,2,0.7084597266133043
3,du,3,0.597493718001172
4,du,4,0.6948780493432657
5,du,5,0.5123909335864909
6,du,6,0.6847489492136426
7,du,7,0.6389059372927979
8,du,8,0.7269759294120529
9,du,9,0.5852898134447675
10,du,10,0.6398639761907889
11,du,11,0.6801932548162366
12,it,0,0.6705677186783648
13,it,1,0.6447034318277846
14,it,2,0.6447589901243378
15,it,3,0.691238337546851
16,it,4,0.660536297124969
17,it,5,0.6767747367634037
18,it,6,0.6288588800144149
19,it,7,0.6631407453940675
20,it,8,0.7127248379911942
21,it,9,0.6441315670827803
22,it,10,0.7367816726286242
23,it,11,0.742947975316143
24,en,0,0.5742378647244996
25,en,1,0.6256722341185688
26,en,2,0.5872029328149045
27,en,3,0.6678835456576322
28,en,4,0.6060957975888822
29,en,5,0.6911272145640377
30,en,6,0.682031883121774
31,en,7,0.6877918231319842
32,en,8,0.6437847159490365
33,en,9,0.6250970691995481
34,en,10,0.6585715053858915
35,en,11,0.6211889707930246
36,no,0,0.6321090223212433
37,no,1,0.6083566445566594
38,no,2,0.7251580927143294
39,no,3,0.6406155638183944
40,no,4,0.6901595149194173
41,no,5,0.6861224372833411
42,no,6,0.6687711007848472
43,no,7,0.7550143961119858
44,no,8,0.6923976819075313
45,no,9,0.7418688885874958
46,no,10,0.7604043811925416
47,no,11,0.7517603947061373
48,sp,0,0.6897357917494179
49,sp,1,0.6672846147505643
50,sp,2,0.7539404109943066
51,sp,3,0.7007312873227742
52,sp,4,0.6638056924221097
53,sp,5,0.7500799632531021
54,sp,6,0.6544040995748913
55,sp,7,0.6990146050900548
56,sp,8,0.5885623741296935
57,sp,9,0.5903904067811755
58,sp,10,0.7289715850083872
59,sp,11,0.7184170247819197
60,tr,0,0.567291031601694
61,tr,1,0.5552484117702045
62,tr,2,0.4441430026574462
63,tr,3,0.6481965711179808
64,tr,4,0.4052464189595183
65,tr,5,0.4905751526699569
66,tr,6,0.585959825252149
67,tr,7,0.451112292631237
68,tr,8,0.4804148490322594
69,tr,9,0.5190675252052896
70,tr,10,0.470052454253902
71,tr,11,0.5869647674951406
