,language,language_test,r
0,du,it,0.5373676794679421
1,du,en,0.5622229892334102
2,du,no,0.5971076714318717
3,du,sp,0.4876652979785616
4,du,tr,0.5064218395174377
5,du,it,0.632944094322653
6,du,en,0.5466776648077247
7,du,no,0.569124534685939
8,du,sp,0.5390288280399379
9,du,tr,0.46689371770356664
10,du,it,0.5928415793128307
11,du,en,0.632470541115441
12,du,no,0.7087616495214
13,du,sp,0.6929612606371575
14,du,tr,0.4550130277780092
15,du,it,0.6793168128773823
16,du,en,0.5817572294994692
17,du,no,0.6076552891588407
18,du,sp,0.599952654928113
19,du,tr,0.3781608087827622
20,du,it,0.5431563438735135
21,du,en,0.5250983293866938
22,du,no,0.655865703825496
23,du,sp,0.6099307694447277
24,du,tr,0.3644974162825151
25,du,it,0.5746808172677355
26,du,en,0.5876046086421334
27,du,no,0.6364095094726906
28,du,sp,0.6428474628626493
29,du,tr,0.4745112243194234
30,du,it,0.6390643845340434
31,du,en,0.5275545295994741
32,du,no,0.6855340801257557
33,du,sp,0.5432692047848904
34,du,tr,0.41046582695000583
35,du,it,0.6541307596834061
36,du,en,0.6573271138759826
37,du,no,0.7299908829330867
38,du,sp,0.6598196029593205
39,du,tr,0.40283733700137697
40,du,it,0.6821858919591195
41,du,en,0.5637399125868313
42,du,no,0.628004848104991
43,du,sp,0.5063303402562772
44,du,tr,0.4130217948693532
45,du,it,0.5784427020871306
46,du,en,0.5369783918532682
47,du,no,0.6409032159610624
48,du,sp,0.5001030298325206
49,du,tr,0.3816007860309041
50,du,it,0.5863279052481157
51,du,en,0.5891287994612515
52,du,no,0.7398755620157438
53,du,sp,0.5863987825503095
54,du,tr,0.32938644317104027
55,du,it,0.6193925960401453
56,du,en,0.5420566783637201
57,du,no,0.6919469452801362
58,du,sp,0.6459166488508534
59,du,tr,0.3569504145910286
60,it,du,0.6471182674639177
61,it,en,0.5207764752093446
62,it,no,0.5141449921905752
63,it,sp,0.6311872890561406
64,it,tr,0.4796315530622235
65,it,du,0.6193659350418691
66,it,en,0.6080482439140849
67,it,no,0.45543714668304974
68,it,sp,0.6172980974767869
69,it,tr,0.4914804767080711
70,it,du,0.6086257346331886
71,it,en,0.4866737462614104
72,it,no,0.5423594381032382
73,it,sp,0.6785825343739714
74,it,tr,0.31264006081991425
75,it,du,0.4293388897125616
76,it,en,0.4956995318537512
77,it,no,0.4545111343253477
78,it,sp,0.5731250912105542
79,it,tr,0.33432348078052265
80,it,du,0.5676544648065787
81,it,en,0.49703654825013965
82,it,no,0.538988056924093
83,it,sp,0.604839023036766
84,it,tr,0.36339144344246244
85,it,du,0.5409442166169051
86,it,en,0.5434154348605966
87,it,no,0.5126387155334116
88,it,sp,0.636881101366992
89,it,tr,0.46193797706568124
90,it,du,0.6468820813619084
91,it,en,0.5060739258848616
92,it,no,0.5321363041164832
93,it,sp,0.5226366954221919
94,it,tr,0.38383859713925156
95,it,du,0.5895722798950381
96,it,en,0.5924221235085005
97,it,no,0.6104085608850408
98,it,sp,0.6720123682213806
99,it,tr,0.3585217183869553
100,it,du,0.6569645246841779
101,it,en,0.47333737903021195
102,it,no,0.5458107233632411
103,it,sp,0.6020083944771316
104,it,tr,0.30669275765058024
105,it,du,0.46292885018918883
106,it,en,0.4827571437666654
107,it,no,0.5638805622765345
108,it,sp,0.5650291657636533
109,it,tr,0.426710716153188
110,it,du,0.5186784506697505
111,it,en,0.6069594883222325
112,it,no,0.6002001377980971
113,it,sp,0.6216179825519315
114,it,tr,0.412205414470209
115,it,du,0.6083364448952747
116,it,en,0.5114164207553155
117,it,no,0.636917909727007
118,it,sp,0.6739739844660577
119,it,tr,0.39145812997058604
120,en,du,0.5941620698787322
121,en,it,0.5099044627820447
122,en,no,0.5781476211055299
123,en,sp,0.5699991782063766
124,en,tr,0.41219436182104446
125,en,du,0.5110665938046992
126,en,it,0.4880768368979844
127,en,no,0.4666957235361717
128,en,sp,0.6032870522751677
129,en,tr,0.3295619285019523
130,en,du,0.6301558901233785
131,en,it,0.5854693907212032
132,en,no,0.5886651259283436
133,en,sp,0.666910060730306
134,en,tr,0.29495884268566924
135,en,du,0.5158400641250864
136,en,it,0.5158904436586789
137,en,no,0.5314928356253864
138,en,sp,0.5457428372017402
139,en,tr,0.22404405730117805
140,en,du,0.545125481437016
141,en,it,0.5664571304243123
142,en,no,0.4423129552874096
143,en,sp,0.522764159735572
144,en,tr,0.29175564911087143
145,en,du,0.5279574349888188
146,en,it,0.5775251625942103
147,en,no,0.584703694461703
148,en,sp,0.6194589909518734
149,en,tr,0.35192742345297934
150,en,du,0.6537296147670262
151,en,it,0.6178337743047484
152,en,no,0.5115052646899226
153,en,sp,0.5342865101043398
154,en,tr,0.28892647248501135
155,en,du,0.5265179513130537
156,en,it,0.5973849568537068
157,en,no,0.590332702990995
158,en,sp,0.684369958894908
159,en,tr,0.25909805440041084
160,en,du,0.6714863895374326
161,en,it,0.572058128475275
162,en,no,0.5814781943438269
163,en,sp,0.5145524782548792
164,en,tr,0.3189309670106994
165,en,du,0.41418471152216413
166,en,it,0.5770062665444902
167,en,no,0.5787233932182841
168,en,sp,0.48813485217452757
169,en,tr,0.3702674976209534
170,en,du,0.5274376327074928
171,en,it,0.6383309425413005
172,en,no,0.5903310676310912
173,en,sp,0.6736918614261681
174,en,tr,0.31114585670417155
175,en,du,0.5609202149070907
176,en,it,0.5853404676676934
177,en,no,0.5991518972542688
178,en,sp,0.6540152450649244
179,en,tr,0.09669592488210772
180,no,du,0.6511459105348452
181,no,it,0.5187139889477207
182,no,en,0.545836279526151
183,no,sp,0.4707898242681934
184,no,tr,0.5735962482391633
185,no,du,0.5471711078794527
186,no,it,0.5503736283315833
187,no,en,0.47607310634779804
188,no,sp,0.6126688167541666
189,no,tr,0.4918079313854596
190,no,du,0.6684098982155754
191,no,it,0.5472240059454766
192,no,en,0.5431804331542582
193,no,sp,0.6462880565886726
194,no,tr,0.42518556476471103
195,no,du,0.5008971480892065
196,no,it,0.6240942523585491
197,no,en,0.5005989003575466
198,no,sp,0.5669583018924972
199,no,tr,0.47965121498903884
200,no,du,0.6237884678020645
201,no,it,0.5336938919054455
202,no,en,0.5005076002179472
203,no,sp,0.5092677174731286
204,no,tr,0.36133240725315885
205,no,du,0.4670688861882272
206,no,it,0.5652704979248265
207,no,en,0.5173780670657178
208,no,sp,0.5884534014746158
209,no,tr,0.48743241894654793
210,no,du,0.6706058193034866
211,no,it,0.6256169700690815
212,no,en,0.5186977581966409
213,no,sp,0.548630257677376
214,no,tr,0.3794793811100619
215,no,du,0.6413171124674384
216,no,it,0.6480273340286404
217,no,en,0.6772988216208669
218,no,sp,0.6175816196627824
219,no,tr,0.3746187355719909
220,no,du,0.6605011214449418
221,no,it,0.6846939374008589
222,no,en,0.49334757817336045
223,no,sp,0.4482191152809335
224,no,tr,0.42047611942411944
225,no,du,0.5184724669037195
226,no,it,0.4920934426510562
227,no,en,0.5006672315424172
228,no,sp,0.45333231534158436
229,no,tr,0.41272599762356704
230,no,du,0.6355638186373658
231,no,it,0.5977005760367587
232,no,en,0.5128288122666114
233,no,sp,0.527895095763227
234,no,tr,0.4723567539738113
235,no,du,0.6503402289717293
236,no,it,0.556949656739684
237,no,en,0.5557314484839379
238,no,sp,0.6536332188985106
239,no,tr,0.263684487687043
240,sp,du,0.597151157177436
241,sp,it,0.5568093488788977
242,sp,en,0.5773673399540585
