,language,language_test,r
0,du,it,0.5533314056120038
1,du,en,0.6553160470267749
2,du,no,0.6731905696290057
3,du,sp,0.5684213771388399
4,du,tr,0.5877821324045406
5,du,it,0.6269828170867543
6,du,en,0.6368130306938286
7,du,no,0.5780349748845285
8,du,sp,0.6101228163532791
9,du,tr,0.49781142078624724
10,du,it,0.5894170621452501
11,du,en,0.5877570948698879
12,du,no,0.7094563272746477
13,du,sp,0.6914525709872871
14,du,tr,0.4093693265646152
15,du,it,0.6645132536266891
16,du,en,0.5902887483120138
17,du,no,0.6337388034661889
18,du,sp,0.6044443377906025
19,du,tr,0.3682849632180501
20,du,it,0.6032477755373552
21,du,en,0.5473061474710283
22,du,no,0.7229176256072116
23,du,sp,0.6139215799300033
24,du,tr,0.4530682388819255
25,du,it,0.6371078197634703
26,du,en,0.6022766132445797
27,du,no,0.6850066275634314
28,du,sp,0.6415073582452456
29,du,tr,0.454148966004659
30,du,it,0.6221426044950829
31,du,en,0.5494297518945095
32,du,no,0.7034261631014695
33,du,sp,0.6138477844023837
34,du,tr,0.4332032930241437
35,du,it,0.6605084073255709
36,du,en,0.6107700198423112
37,du,no,0.7705224328898603
38,du,sp,0.7093228220863731
39,du,tr,0.5085969546292076
40,du,it,0.687153500111649
41,du,en,0.5713433888853194
42,du,no,0.6687710575037347
43,du,sp,0.6109199419592405
44,du,tr,0.4901871014261102
45,du,it,0.5867808783883077
46,du,en,0.5115380844506296
47,du,no,0.6990588742460083
48,du,sp,0.5577704170295714
49,du,tr,0.4284989909649909
50,du,it,0.6358620335972119
51,du,en,0.5582422515709949
52,du,no,0.7640896870442273
53,du,sp,0.6767565869942833
54,du,tr,0.46901269382855004
55,du,it,0.6287431662759648
56,du,en,0.5496008542904429
57,du,no,0.7023244633438492
58,du,sp,0.6395127003029051
59,du,tr,0.4612277761989988
60,it,du,0.6135919710564062
61,it,en,0.5370500985934976
62,it,no,0.49975474711297085
63,it,sp,0.6517860024370258
64,it,tr,0.5757528474087652
65,it,du,0.6202263022253948
66,it,en,0.60987558407367
67,it,no,0.5835463794439957
68,it,sp,0.5364892173966092
69,it,tr,0.4274484576963178
70,it,du,0.6029471083869115
71,it,en,0.5429417605586359
72,it,no,0.5544127477241891
73,it,sp,0.7360872779814855
74,it,tr,0.38653248370651005
75,it,du,0.5000420165043781
76,it,en,0.6015088227034903
77,it,no,0.5096470950913888
78,it,sp,0.6261273072773316
79,it,tr,0.3552215292343574
80,it,du,0.5978623518826109
81,it,en,0.5111012950937672
82,it,no,0.48477014837548627
83,it,sp,0.5930499781246323
84,it,tr,0.47658229373721817
85,it,du,0.5515731576705002
86,it,en,0.5682564037845642
87,it,no,0.5629972244777092
88,it,sp,0.6654635997484654
89,it,tr,0.45131947296674296
90,it,du,0.653247202543452
91,it,en,0.5236109818117067
92,it,no,0.4659846885983057
93,it,sp,0.5574404841331793
94,it,tr,0.41502621923421823
95,it,du,0.5443038034349337
96,it,en,0.5721829001719563
97,it,no,0.5912731197408776
98,it,sp,0.7057940020492778
99,it,tr,0.41714275528709566
100,it,du,0.6665786052477168
101,it,en,0.47845498807509784
102,it,no,0.4721069168058448
103,it,sp,0.6491555908224738
104,it,tr,0.3392717800005803
105,it,du,0.5468884764908849
106,it,en,0.5622366206783116
107,it,no,0.5551813715186645
108,it,sp,0.622300625351729
109,it,tr,0.529966834488631
110,it,du,0.537821110563139
111,it,en,0.6110827261575014
112,it,no,0.5660971731015201
113,it,sp,0.7127568445455954
114,it,tr,0.4763847208315485
115,it,du,0.5969599710216315
116,it,en,0.5362700437978746
117,it,no,0.609407028692716
118,it,sp,0.7230842023994108
119,it,tr,0.3577373812207263
120,en,du,0.5895931582200068
121,en,it,0.5505128961244832
122,en,no,0.6270603242917936
123,en,sp,0.6501539048877684
124,en,tr,0.554781005990488
125,en,du,0.627569989952954
126,en,it,0.6031073980722242
127,en,no,0.4492756293005532
128,en,sp,0.6292244862206547
129,en,tr,0.33607881444334176
130,en,du,0.6544747976523233
131,en,it,0.6149347512172825
132,en,no,0.6093942486102398
133,en,sp,0.6739977235231838
134,en,tr,0.42342457508733944
135,en,du,0.5289110977799046
136,en,it,0.5265152702715352
137,en,no,0.5736799254886435
138,en,sp,0.6072391877437596
139,en,tr,0.2871928048885535
140,en,du,0.6170911910707247
141,en,it,0.5633381721415933
142,en,no,0.5161053756378947
143,en,sp,0.678072677435184
144,en,tr,0.30958680502764363
145,en,du,0.5543498963116934
146,en,it,0.5918424114799468
147,en,no,0.6609034682349728
148,en,sp,0.6530321905265544
149,en,tr,0.3708339947938505
150,en,du,0.6910023231810952
151,en,it,0.649028537642904
152,en,no,0.6338451977376109
153,en,sp,0.6355692522241334
154,en,tr,0.43632366565608355
155,en,du,0.6598970437238179
156,en,it,0.6688432049417165
157,en,no,0.6672622341521305
158,en,sp,0.717474819230851
159,en,tr,0.35183247194115236
160,en,du,0.6379922009163898
161,en,it,0.5797399037700652
162,en,no,0.5866364841419864
163,en,sp,0.6222271659512264
164,en,tr,0.4168865918598026
165,en,du,0.459752811988259
166,en,it,0.5936187761818188
167,en,no,0.6221187065479945
168,en,sp,0.5945350881917878
169,en,tr,0.39563643401366644
170,en,du,0.5752703728326378
171,en,it,0.6232020132646436
172,en,no,0.6306053640710682
173,en,sp,0.7422470873753336
174,en,tr,0.5196924063548369
175,en,du,0.6047731533225424
176,en,it,0.6202683344383629
177,en,no,0.6485446479346372
178,en,sp,0.6913272053189613
179,en,tr,0.243119410207806
180,no,du,0.6151887417550144
181,no,it,0.44505998543192643
182,no,en,0.5986662329993808
183,no,sp,0.5085842638496055
184,no,tr,0.6337622053252
185,no,du,0.4892386404470156
186,no,it,0.5342970612769149
187,no,en,0.5604790870084476
188,no,sp,0.4795277026277872
189,no,tr,0.4609672428961345
190,no,du,0.7116391920056043
191,no,it,0.5862465377365764
192,no,en,0.5234155920637816
193,no,sp,0.6772438420241528
194,no,tr,0.5104830889770756
195,no,du,0.5070708189362794
196,no,it,0.6518836178866816
197,no,en,0.6077061126905597
198,no,sp,0.5983933468964571
199,no,tr,0.43490016218192595
200,no,du,0.6340238587128101
201,no,it,0.49818141276602224
202,no,en,0.518925695819773
203,no,sp,0.55173788401584
204,no,tr,0.46448169495797625
205,no,du,0.5247309360398051
206,no,it,0.6292812249354459
207,no,en,0.5671177083170581
208,no,sp,0.5731145824433573
209,no,tr,0.4878150536901683
210,no,du,0.6947005842154959
211,no,it,0.647140845968182
212,no,en,0.5520566073577388
213,no,sp,0.5753569851450285
214,no,tr,0.3882465363026839
215,no,du,0.7019515795112892
216,no,it,0.6732207792360801
217,no,en,0.6291125942594175
218,no,sp,0.6970477426926664
219,no,tr,0.37993548356427315
220,no,du,0.6688429462352674
221,no,it,0.6849665977007182
222,no,en,0.5566291300201172
223,no,sp,0.5682591025357012
224,no,tr,0.5530727776975244
225,no,du,0.5699311172371363
226,no,it,0.543338737833896
227,no,en,0.5245332064036007
228,no,sp,0.46876130614476297
229,no,tr,0.5287607469260996
230,no,du,0.6127434565780767
231,no,it,0.6240087205409585
232,no,en,0.5912001991526759
233,no,sp,0.5840998282647257
234,no,tr,0.48497451834461947
235,no,du,0.674097161369044
236,no,it,0.6030580276692062
237,no,en,0.5880404271767189
238,no,sp,0.5971404315321622
239,no,tr,0.39411765103099083
240,sp,du,0.5933701204876337
241,sp,it,0.5994199525604906
242,sp,en,0.6275259937815955
243,sp,no,0.552408448879356
244,sp,tr,0.5509434702935196
245,sp,du,0.5751428323627722
246,sp,it,0.6381226525606974
247,sp,en,0.6441803395797017
248,sp,no,0.28568459743417507
249,sp,tr,0.3397450600909599
250,sp,du,0.6016462998828573
251,sp,it,0.6154094642749379
252,sp,en,0.5072102522384301
253,sp,no,0.5159762850244655
254,sp,tr,0.30106283887483515
255,sp,du,0.46100244713019467
256,sp,it,0.5472339675912801
257,sp,en,0.5964212061144515
258,sp,no,0.5159021399449902
259,sp,tr,0.35923407109208794
260,sp,du,0.6530708608684037
261,sp,it,0.5175363837833287
262,sp,en,0.5652573915626544
263,sp,no,0.4775121828964345
264,sp,tr,0.3282804454730151
265,sp,du,0.5271867183557343
266,sp,it,0.6229321432393851
267,sp,en,0.5695480261192783
268,sp,no,0.4786221234890416
269,sp,tr,0.39317806576371456
270,sp,du,0.5938016909616457
271,sp,it,0.6454948151723379
272,sp,en,0.5823466690034343
273,sp,no,0.5020304798199754
274,sp,tr,0.472350889828377
275,sp,du,0.5531738066524386
276,sp,it,0.7568067235535856
277,sp,en,0.6450153639911504
278,sp,no,0.48331147968784977
279,sp,tr,0.4682202422056141
280,sp,du,0.6033373518608146
281,sp,it,0.6762114767290699
282,sp,en,0.5650496805250326
283,sp,no,0.446053647582941
284,sp,tr,0.4679075231933975
285,sp,du,0.5218858798913072
286,sp,it,0.60251282725323
287,sp,en,0.5475971847283768
288,sp,no,0.5284889600076424
289,sp,tr,0.4791792810351002
290,sp,du,0.5166491114668315
291,sp,it,0.563258462576668
292,sp,en,0.618608995891955
293,sp,no,0.5099288784693153
294,sp,tr,0.47478057416634845
295,sp,du,0.5765487123244083
296,sp,it,0.6217663979998531
297,sp,en,0.5132654941711198
298,sp,no,0.49955831429015174
299,sp,tr,0.327913425374708
300,tr,du,0.4890935549851611
301,tr,it,0.477086040915449
302,tr,en,0.4249385005253559
303,tr,no,0.6048897245409977
304,tr,sp,0.4163219416576672
305,tr,du,0.4036912399026671
306,tr,it,0.403291805734592
307,tr,en,0.3615122891581964
308,tr,no,0.4614521833243611
309,tr,sp,0.4338821238745279
310,tr,du,0.5500345255600643
311,tr,it,0.48294455357697735
312,tr,en,0.3810619152739632
313,tr,no,0.6184351070317122
314,tr,sp,0.5110452400388568
315,tr,du,0.43244951173296614
316,tr,it,0.5132150658681035
317,tr,en,0.37027646674513154
318,tr,no,0.5220369736726763
319,tr,sp,0.5055568410769087
320,tr,du,0.4083895008041776
321,tr,it,0.4161757442973333
322,tr,en,0.24461643460680957
323,tr,no,0.5020631932131973
324,tr,sp,0.34884988310957576
325,tr,du,0.3523779382804853
326,tr,it,0.4917209413667216
327,tr,en,0.4126409242733557
328,tr,no,0.4103908672197812
329,tr,sp,0.5270683595124978
330,tr,du,0.45559724904925425
331,tr,it,0.55994264983742
332,tr,en,0.3976187651473824
333,tr,no,0.661840699300279
334,tr,sp,0.5292500766008932
335,tr,du,0.5303934427762741
336,tr,it,0.45934464972323774
337,tr,en,0.45751901686904384
338,tr,no,0.6393360818954744
339,tr,sp,0.5089957673802892
340,tr,du,0.5229167131796303
341,tr,it,0.5182657714953054
342,tr,en,0.34753477697256724
343,tr,no,0.5114876873416154
344,tr,sp,0.43479547646713973
345,tr,du,0.2526556891818925
346,tr,it,0.42440238617897375
347,tr,en,0.25351438912731583
348,tr,no,0.532312283478836
349,tr,sp,0.3400853747311687
350,tr,du,0.51830817163441
351,tr,it,0.46030699359092564
352,tr,en,0.3797450531955502
353,tr,no,0.670509858092328
354,tr,sp,0.43233192472471815
355,tr,du,0.47746581787015785
356,tr,it,0.4850003731419862
357,tr,en,0.3514876996867429
358,tr,no,0.6319101388742331
359,tr,sp,0.47016944127133153
