,language,language_test,r
0,du,it,0.7321921660316315
1,du,en,0.7023547531478227
2,du,no,0.7970115204544052
3,du,sp,0.7289094784347898
4,du,tr,0.7522725002057089
5,du,it,0.8079004949346795
6,du,en,0.7560030456005071
7,du,no,0.6674788146966681
8,du,sp,0.7667791886112958
9,du,tr,0.6972951566942819
10,du,it,0.7479212298234844
11,du,en,0.6652461439117823
12,du,no,0.8249640618750282
13,du,sp,0.8398509087656858
14,du,tr,0.662836009972503
15,du,it,0.7578119916555581
16,du,en,0.7758688616609959
17,du,no,0.7177585822964281
18,du,sp,0.7950571131823665
19,du,tr,0.6292421510591856
20,du,it,0.7068745274956143
21,du,en,0.7216324639076962
22,du,no,0.7976349747013955
23,du,sp,0.7199505528823531
24,du,tr,0.5876030688378322
25,du,it,0.8253973632720399
26,du,en,0.7884286860663983
27,du,no,0.7711321829038097
28,du,sp,0.8172036992602949
29,du,tr,0.5799254964117798
30,du,it,0.7834011007130293
31,du,en,0.7444014915024966
32,du,no,0.8101135104285841
33,du,sp,0.7527727821370388
34,du,tr,0.6449999775333844
35,du,it,0.769625990545975
36,du,en,0.8134460046106401
37,du,no,0.7982596488396958
38,du,sp,0.8407279753660722
39,du,tr,0.6085972501301633
40,du,it,0.7944433803008143
41,du,en,0.788226632718255
42,du,no,0.7830605955916617
43,du,sp,0.7144536765544475
44,du,tr,0.6392731242443098
45,du,it,0.7151470355075868
46,du,en,0.6856300872859465
47,du,no,0.8056886081788048
48,du,sp,0.734154489510021
49,du,tr,0.6687354790737609
50,du,it,0.78526032519766
51,du,en,0.7679088357090733
52,du,no,0.7935719230883607
53,du,sp,0.8112544289095506
54,du,tr,0.5890180484391947
55,du,it,0.7887866826267749
56,du,en,0.822389733402565
57,du,no,0.8125234459464005
58,du,sp,0.8251726028556168
59,du,tr,0.6361787933503388
60,it,du,0.7413346613421048
61,it,en,0.7698960431326676
62,it,no,0.8439919267465289
63,it,sp,0.8267063145576918
64,it,tr,0.7457803901559642
65,it,du,0.7799952229039561
66,it,en,0.7659976791995008
67,it,no,0.676526296091609
68,it,sp,0.8204513969701994
69,it,tr,0.7529703973306975
70,it,du,0.7280513343906949
71,it,en,0.7025231710510788
72,it,no,0.7464292618795461
73,it,sp,0.8648737526828176
74,it,tr,0.7059745727995841
75,it,du,0.6941693648679716
76,it,en,0.7306377973598495
77,it,no,0.7072062927866098
78,it,sp,0.8667510472258688
79,it,tr,0.6415262284764589
80,it,du,0.751604231079709
81,it,en,0.7483125059395216
82,it,no,0.7652062962187564
83,it,sp,0.8307020264338494
84,it,tr,0.6356737850548101
