,language,language_test,r
0,du,it,0.41103319511591657
1,du,en,0.1490663504889863
2,du,no,0.4322275735314409
3,du,sp,0.37801547851684847
4,du,tr,0.40740296566660045
5,du,it,0.4280385957765145
6,du,en,0.2065797475876517
7,du,no,0.5066712722692434
8,du,sp,0.4632522539719357
9,du,tr,0.3274821473554404
10,du,it,0.3241415560476365
11,du,en,0.24328906979766188
12,du,no,0.4633646568192277
13,du,sp,0.4684344916287175
14,du,tr,0.17382204837335594
15,du,it,0.4674974752191609
16,du,en,0.46512210000530874
17,du,no,0.3053868537209779
18,du,sp,0.47396429692429115
19,du,tr,0.463917264660198
20,du,it,0.43910492179431754
21,du,en,0.252226141259646
22,du,no,0.38701960041564437
23,du,sp,0.3399818697272472
24,du,tr,0.2762230641433983
25,du,it,0.5049518431356683
26,du,en,0.34907479856722873
27,du,no,0.4919897174177219
28,du,sp,0.42154089063183403
29,du,tr,0.3491548632217522
30,du,it,0.4737843032328832
31,du,en,0.20478787654237582
32,du,no,0.42964851796031833
33,du,sp,0.4530142467882898
34,du,tr,0.3625793597951103
35,du,it,0.5743094213266035
36,du,en,0.24189297196576615
37,du,no,0.5610331651141086
38,du,sp,0.43721935054287137
39,du,tr,0.2796189542853516
40,du,it,0.48396150072371813
41,du,en,0.2521067308419912
42,du,no,0.36086551436083447
43,du,sp,0.3540774751541896
44,du,tr,0.2647917072190019
45,du,it,0.4667764716274165
46,du,en,0.21481306657933538
47,du,no,0.43079458933110276
48,du,sp,0.29661693343539414
49,du,tr,0.26476739149898626
50,du,it,0.44303856187631757
51,du,en,0.2722059918747566
52,du,no,0.47894067737665286
53,du,sp,0.4250405385372537
54,du,tr,0.1767100081345929
55,du,it,0.533362186652726
56,du,en,0.14193920170980553
57,du,no,0.46898676398742783
58,du,sp,0.5005798733726805
59,du,tr,0.37979993316306315
60,it,du,0.3637440239537089
61,it,en,0.41694543447395327
62,it,no,0.3752936412720801
63,it,sp,0.6141766282180087
64,it,tr,0.4410113625598203
65,it,du,0.41747056183865006
66,it,en,0.3727405892929019
67,it,no,0.41775428457117086
68,it,sp,0.6289223893770364
69,it,tr,0.45993170720645954
70,it,du,0.430151768989304
71,it,en,0.5068111329511291
72,it,no,0.35669299217086736
73,it,sp,0.6809949489218737
74,it,tr,0.23245211164304375
75,it,du,0.4014683654791746
76,it,en,0.5806398116243225
77,it,no,0.14230624816045154
78,it,sp,0.666821541444854
79,it,tr,0.5008586212895247
80,it,du,0.44937479365369126
81,it,en,0.40206993481409437
82,it,no,0.34502597354023323
83,it,sp,0.5409666382217061
84,it,tr,0.42512074735386124
85,it,du,0.33583929401046625
86,it,en,0.5437651906310368
87,it,no,0.2962102673407969
88,it,sp,0.6427522147184974
89,it,tr,0.3950306192592525
90,it,du,0.4598231410683679
91,it,en,0.40986085468867184
92,it,no,0.14680939852339042
93,it,sp,0.580674779637729
94,it,tr,0.38610858073188115
95,it,du,0.3383869922461404
96,it,en,0.46032106064131323
97,it,no,0.389870234620558
98,it,sp,0.607991000869989
99,it,tr,0.3449288872293805
100,it,du,0.4765817464873962
101,it,en,0.3997907451542114
102,it,no,0.21825905736698553
103,it,sp,0.5333581270944615
104,it,tr,0.34402111510730804
105,it,du,0.2907621883084469
106,it,en,0.439818758454881
107,it,no,0.3050877012141789
108,it,sp,0.5061959531502686
109,it,tr,0.28337917492765896
110,it,du,0.2552640148063152
111,it,en,0.42182594911457694
112,it,no,0.3821845670001447
113,it,sp,0.6285532241990007
114,it,tr,0.2735669253911863
115,it,du,0.4372992360067425
116,it,en,0.41862116018584067
117,it,no,0.2860489233336283
118,it,sp,0.6483873876232622
119,it,tr,0.42588812866436954
120,en,du,0.3912260019712262
121,en,it,0.4745247276772116
122,en,no,0.33558061285128976
123,en,sp,0.4394808814695681
124,en,tr,0.2904455951043555
125,en,du,0.4574532669336015
126,en,it,0.5744762540462853
127,en,no,0.41239622082396266
128,en,sp,0.5662629329644896
129,en,tr,0.3551577435188382
130,en,du,0.4104709473407122
131,en,it,0.5162854413916779
132,en,no,0.32408561201826935
133,en,sp,0.6050774048178198
134,en,tr,0.23450877802651418
135,en,du,0.3961020279042673
136,en,it,0.5807128033016218
137,en,no,0.22108697772252878
138,en,sp,0.5590711528518235
139,en,tr,0.3596900235877141
140,en,du,0.3357629669343709
141,en,it,0.387958927393391
142,en,no,0.1784574157058516
143,en,sp,0.29439293547370954
144,en,tr,0.26632382784902087
145,en,du,0.2866076590228934
146,en,it,0.5553667564207168
147,en,no,0.33042213789047703
148,en,sp,0.5364734466137645
