,language,language_test,r
0,du,it,0.3956681741933986
1,du,en,0.1640431255846062
2,du,no,0.3908495170495973
3,du,sp,0.4237199955572254
4,du,tr,0.36886262083097265
5,du,it,0.3389305911484199
6,du,en,0.26414867058073643
7,du,no,0.43769438915235903
8,du,sp,0.2811914004685381
9,du,tr,0.28066812700601895
10,du,it,0.34730433246129516
11,du,en,0.3613736659095715
12,du,no,0.5001068571766818
13,du,sp,0.3606766345663081
14,du,tr,0.1863292490142093
15,du,it,0.35077358641068895
16,du,en,0.42858175938844034
17,du,no,0.3137793500157474
18,du,sp,0.26751601515872614
19,du,tr,0.24531025334112935
20,du,it,0.3410127655843178
21,du,en,0.22942155293906039
22,du,no,0.36239640762286957
23,du,sp,0.20169476719387364
24,du,tr,0.26638111749324334
25,du,it,0.46461017650364567
26,du,en,0.33667727491217986
27,du,no,0.4114344849285026
28,du,sp,0.38235164048704967
29,du,tr,0.2374772322148793
30,du,it,0.46687812512209625
31,du,en,0.2054913142445368
32,du,no,0.36371034758553783
33,du,sp,0.3173791026800532
34,du,tr,0.32487508210594557
35,du,it,0.472359131223172
36,du,en,0.24632631072873015
37,du,no,0.5088036278710791
38,du,sp,0.2912549870384831
39,du,tr,0.1477469854106647
40,du,it,0.46560558389521156
41,du,en,0.2169911555382413
42,du,no,0.3433732716096509
43,du,sp,0.3322171582811258
44,du,tr,0.2364088825560855
45,du,it,0.47610990407569664
46,du,en,0.13914985596072998
47,du,no,0.4537841571312418
48,du,sp,0.06437939917139048
49,du,tr,0.21572548444193998
50,du,it,0.3930924536966734
51,du,en,0.2490586328655121
52,du,no,0.3962707495818481
53,du,sp,0.25069807540379996
54,du,tr,0.19578274181057134
55,du,it,0.4793155050501915
56,du,en,0.22317948187840117
57,du,no,0.41465076057801614
58,du,sp,0.2630675311290715
59,du,tr,0.304471732711835
60,it,du,0.13743228951916422
61,it,en,0.4513340731906778
62,it,no,0.3308211427473879
63,it,sp,0.6257441138153415
64,it,tr,0.4071954691212336
65,it,du,0.28375359433373315
66,it,en,0.369943833462635
67,it,no,0.3909566982112323
68,it,sp,0.6498067099434043
69,it,tr,0.3796270179659254
70,it,du,0.3928537187095451
71,it,en,0.4198082687289305
72,it,no,0.3571632945442618
73,it,sp,0.6644453769662998
