,language,language_test,r
0,du,it,0.17735553577643193
1,du,en,0.30461997815776165
2,du,no,0.22958152409267346
3,du,sp,0.148436579567894
4,du,tr,0.3214516029353923
5,du,it,0.23490175058547533
6,du,en,0.2886976844091172
7,du,no,0.3773452408125072
8,du,sp,0.3679353939522342
9,du,tr,0.05642839430637809
10,du,it,0.24199193887688894
11,du,en,0.3631992765121024
12,du,no,0.43727873660242683
13,du,sp,0.3673641907843793
14,du,tr,0.21046928010396795
15,du,it,0.27471255265397265
16,du,en,0.2871296823533017
17,du,no,0.16756801641825797
18,du,sp,0.35714629096792877
19,du,tr,0.26381372326950275
20,du,it,0.20009344745637217
21,du,en,0.2600145175026966
22,du,no,0.2735067159335621
23,du,sp,0.2576987478263871
24,du,tr,0.11423619653746434
25,du,it,0.30113403204062655
26,du,en,0.36476178906533746
27,du,no,0.27172989938015296
28,du,sp,0.36556944207832376
29,du,tr,0.08793048109028331
30,du,it,0.3671540698720003
31,du,en,0.1893034147476218
32,du,no,0.2538078522736006
33,du,sp,0.2690929775673877
34,du,tr,0.15634817050130276
35,du,it,0.3199536497708359
36,du,en,0.37114568180163404
37,du,no,0.48474402191996024
38,du,sp,0.2940458311239908
39,du,tr,0.21541079352435394
40,du,it,0.2745526751766617
41,du,en,0.3249362431176882
42,du,no,0.2309723108135732
43,du,sp,0.08410345821190596
44,du,tr,0.036529850519532635
45,du,it,0.2321665886505958
46,du,en,0.1865848681672691
47,du,no,0.2717011300233428
48,du,sp,0.04335315603322799
49,du,tr,0.114372084314908
50,du,it,0.20717470586406464
51,du,en,0.3618390592497158
52,du,no,0.2484013908310306
53,du,sp,0.31797000715972595
54,du,tr,0.18250352158688493
55,du,it,0.31187318500611283
56,du,en,0.3524638171141202
57,du,no,0.23586722256776518
58,du,sp,0.4080587893193625
59,du,tr,0.08964803106229699
60,it,du,0.2477150503289195
61,it,en,0.24416307402739074
62,it,no,0.193667026214353
63,it,sp,0.5523718073328867
64,it,tr,0.3396347054822672
65,it,du,0.3773588110714808
66,it,en,0.28667845339977144
67,it,no,0.316136064942319
68,it,sp,0.597519918450183
69,it,tr,0.36501672972929905
70,it,du,0.3039426199623242
71,it,en,0.30807579287889686
72,it,no,0.2543886488978965
73,it,sp,0.6444689276274873
74,it,tr,0.18864578818959982
75,it,du,0.3013465397659575
76,it,en,0.4871923297044126
77,it,no,0.10240944915575285
78,it,sp,0.6765834326598351
79,it,tr,0.4339225911357569
80,it,du,0.25895858643502717
81,it,en,0.13144660455833576
82,it,no,0.22613393500744997
83,it,sp,0.4353177777278978
84,it,tr,0.2563940569340013
85,it,du,0.20342562526036193
86,it,en,0.3615600655177761
87,it,no,0.0643561390625772
88,it,sp,0.546945243826859
89,it,tr,0.3661227624622874
90,it,du,0.3612334237954477
91,it,en,0.31784186780053825
92,it,no,0.04690396008798363
93,it,sp,0.566694900375984
94,it,tr,0.3918013021682323
95,it,du,0.28913418727121415
96,it,en,0.4503532798446229
97,it,no,0.3071030231534417
98,it,sp,0.5590881917667169
99,it,tr,0.28640705680320505
100,it,du,0.32162809107257356
101,it,en,0.16758485206406926
102,it,no,0.1297163692025981
103,it,sp,0.4501481456197081
104,it,tr,0.3541812216764947
105,it,du,0.2736606608980709
106,it,en,0.26653366674531836
107,it,no,0.23317752711798237
108,it,sp,0.5197930090904161
109,it,tr,0.20984482697589985
110,it,du,0.16441441505794618
111,it,en,0.2852534862134121
112,it,no,0.13848961197529186
113,it,sp,0.5833230025262108
114,it,tr,0.17353082535032133
115,it,du,0.32862939999440294
116,it,en,0.2129170830025314
117,it,no,0.17750611636880712
118,it,sp,0.5969998814027884
119,it,tr,0.2573542406410351
120,en,du,0.371106160160044
121,en,it,0.44223923227202383
122,en,no,0.2063117323227374
123,en,sp,0.48495986300711297
124,en,tr,0.33809618715961076
125,en,du,0.4112763557708212
126,en,it,0.43109225424490033
127,en,no,0.33937198177982547
128,en,sp,0.5614756755091341
129,en,tr,0.24915376203417824
130,en,du,0.3946548089884888
131,en,it,0.47427033937684243
132,en,no,0.2560942038740165
133,en,sp,0.5804755754589762
134,en,tr,0.18670920087684675
135,en,du,0.3042760309795552
136,en,it,0.519962046410308
137,en,no,0.1352408130223948
138,en,sp,0.5873927905892887
139,en,tr,0.37536887366838195
140,en,du,0.420429244784672
141,en,it,0.506967050493075
142,en,no,0.32252434104335403
143,en,sp,0.4889269267038068
144,en,tr,0.19561598995447604
145,en,du,0.3618142968584862
146,en,it,0.5360584717741302
147,en,no,0.2109523452851773
148,en,sp,0.47800697457667235
149,en,tr,0.26627599882804365
150,en,du,0.4401522899987151
151,en,it,0.5337646022538634
152,en,no,0.2118256489841885
153,en,sp,0.5006738207919192
154,en,tr,0.3141536537064592
155,en,du,0.4190336595298112
156,en,it,0.47727349771655037
157,en,no,0.41200522583147664
158,en,sp,0.5165927312218264
159,en,tr,0.21142582508453062
160,en,du,0.4943073216060514
161,en,it,0.5714203022895293
162,en,no,0.19739850875000645
163,en,sp,0.49124237570624835
164,en,tr,0.35362071565922853
165,en,du,0.38692372244691553
166,en,it,0.5134248170258009
167,en,no,0.38937733682967135
168,en,sp,0.40128017950096495
169,en,tr,0.24173020468829431
170,en,du,0.24907774646765501
171,en,it,0.46570942129509585
172,en,no,0.342276581459856
173,en,sp,0.5572514521743791
174,en,tr,0.21748084161919004
175,en,du,0.33413821442762154
176,en,it,0.5559768350551859
177,en,no,0.16822325819199935
178,en,sp,0.5717614427264243
179,en,tr,0.18070246577062782
180,no,du,0.286140844025334
181,no,it,0.38943210078831114
182,no,en,0.311678614564257
183,no,sp,0.27871596861416514
184,no,tr,0.2654513873453532
185,no,du,0.37551853666219476
186,no,it,0.34716647686682583
187,no,en,0.32165338077830363
188,no,sp,0.31290581556169406
189,no,tr,0.1716713145290063
190,no,du,0.41340364333095947
191,no,it,0.29290650041439326
192,no,en,0.35196635306949725
193,no,sp,0.392685617907833
194,no,tr,0.22241761174676408
195,no,du,0.3633424656589848
196,no,it,0.40350355528111426
197,no,en,0.49468371351616436
198,no,sp,0.40089522649847403
199,no,tr,0.40116985619609413
200,no,du,0.43467239908359545
201,no,it,0.3232750068902267
202,no,en,0.11505950092133803
203,no,sp,0.15542570383273308
204,no,tr,0.07671685902254909
205,no,du,0.4257701818298633
206,no,it,0.35019019838709703
207,no,en,0.4007495340812521
208,no,sp,0.3180849169349157
209,no,tr,0.2764003029551059
210,no,du,0.41709497656007943
211,no,it,0.3258244753618614
212,no,en,0.22306526511873076
213,no,sp,0.2516348136905273
214,no,tr,0.10251848608101305
215,no,du,0.3379479388266479
216,no,it,0.37054623623161276
217,no,en,0.34643986141680133
218,no,sp,0.3295992452865574
219,no,tr,0.10820939533528998
220,no,du,0.5021882208813495
221,no,it,0.47973811854688225
222,no,en,0.1974965677650181
223,no,sp,0.2925969623971445
224,no,tr,0.2128945597762232
225,no,du,0.31479551919361226
226,no,it,0.4424668667450937
227,no,en,0.09073598946836221
228,no,sp,0.250072663850643
229,no,tr,0.14447147456457554
230,no,du,0.19192505293743273
