,language,language_test,r
0,du,it,0.4464286213360066
1,du,en,0.37916753795583485
2,du,no,0.46897752849446195
3,du,sp,0.533682610804716
4,du,tr,0.29912704067056123
5,du,it,0.4362293389745014
6,du,en,0.5496633864435787
7,du,no,0.5344295753399411
8,du,sp,0.4859203470176843
9,du,tr,0.20896016613749172
10,du,it,0.5218038767374896
11,du,en,0.4782843074509401
12,du,no,0.5934248703232867
13,du,sp,0.5694317198597902
14,du,tr,0.1985784014160981
15,du,it,0.5518173678868514
16,du,en,0.6080252473117242
17,du,no,0.5485867652576069
18,du,sp,0.5778155552310609
19,du,tr,0.18701464762400932
20,du,it,0.580949017273539
21,du,en,0.5186450694883737
22,du,no,0.5566053854987009
23,du,sp,0.45099520313542163
24,du,tr,0.14812244977805034
25,du,it,0.3951056501600665
26,du,en,0.5713645655980177
27,du,no,0.5002288152820807
28,du,sp,0.5371793468490413
29,du,tr,0.2870406557137158
30,du,it,0.5012983301225212
31,du,en,0.5076271007428492
32,du,no,0.6102417512903107
33,du,sp,0.45769410495107665
34,du,tr,0.24375261750209962
35,du,it,0.40428141952233554
36,du,en,0.6042827276596466
37,du,no,0.6197578441026184
38,du,sp,0.6210289204854886
39,du,tr,0.09947771718917264
40,du,it,0.463966918451074
41,du,en,0.5949657743618728
42,du,no,0.5232841100013654
43,du,sp,0.5259724274610461
44,du,tr,0.16590832542424103
45,du,it,0.5315388429282413
46,du,en,0.5378845805231947
47,du,no,0.6055374346804796
48,du,sp,0.4337471801811763
49,du,tr,0.23490907937936856
50,du,it,0.5258524272670186
51,du,en,0.5615821493422906
52,du,no,0.5968018558325843
53,du,sp,0.5166938322547256
54,du,tr,0.2867350305694403
55,du,it,0.5456829852308168
56,du,en,0.5767393262585788
57,du,no,0.6034529188250579
58,du,sp,0.6204634617930467
59,du,tr,0.23169791526478922
60,it,du,0.5744873053891868
61,it,en,0.5840267729055587
62,it,no,0.46667946445330055
63,it,sp,0.5944921828965296
64,it,tr,0.32412267241920334
65,it,du,0.5430561246644726
66,it,en,0.5813993804601562
67,it,no,0.4031396365964743
68,it,sp,0.54846115972167
69,it,tr,0.2762932038341253
70,it,du,0.4584461728561555
71,it,en,0.4977571335659737
72,it,no,0.4194651217141928
73,it,sp,0.6507580398753328
74,it,tr,0.1933100123173751
75,it,du,0.41588742315715294
76,it,en,0.5674140882869215
77,it,no,0.46634698863427004
78,it,sp,0.623855740391408
79,it,tr,0.27003694380635157
80,it,du,0.4910115584272641
81,it,en,0.5378016924716224
82,it,no,0.4326850275974054
83,it,sp,0.5820976542210137
84,it,tr,0.18108472263099576
85,it,du,0.43191941817442514
86,it,en,0.5277402310739487
87,it,no,0.5195781919247068
88,it,sp,0.6134834375117446
89,it,tr,0.275280456161913
90,it,du,0.5490650409592067
91,it,en,0.48409218941924137
92,it,no,0.4869287194574152
93,it,sp,0.46946484468951993
94,it,tr,0.25631238720544713
95,it,du,0.5476433638841947
96,it,en,0.615932871947428
97,it,no,0.47974111482554654
98,it,sp,0.5932559306063574
99,it,tr,0.17669979980439746
100,it,du,0.620479764213039
101,it,en,0.5582128531952658
102,it,no,0.4506728189158735
103,it,sp,0.5371874052182483
104,it,tr,0.17128194962379237
105,it,du,0.5412935587607839
106,it,en,0.5912686302536718
107,it,no,0.4440990131908583
108,it,sp,0.5477171573346433
109,it,tr,0.20267858331498725
110,it,du,0.49798258920159383
111,it,en,0.5785282244648617
112,it,no,0.4566995855633027
113,it,sp,0.6305743172373163
114,it,tr,0.3362783531685545
115,it,du,0.4389182786445486
116,it,en,0.5817859816647359
117,it,no,0.44685002242005617
118,it,sp,0.5907737951350326
119,it,tr,0.1231761966097583
120,en,du,0.5288447891668304
121,en,it,0.4893861825921982
122,en,no,0.5203864536736424
123,en,sp,0.5148265674615427
124,en,tr,0.3702513833475109
125,en,du,0.5457305970571116
126,en,it,0.4205315890953501
127,en,no,0.44425601498921474
128,en,sp,0.48093969186882934
129,en,tr,0.22207174104332023
130,en,du,0.5613676624767394
131,en,it,0.5485594670983517
132,en,no,0.5983355896809652
133,en,sp,0.5800852801560565
134,en,tr,0.1047834569347094
135,en,du,0.44840560178476313
136,en,it,0.5231568068951211
137,en,no,0.550785303560522
138,en,sp,0.6134533424374775
139,en,tr,0.32821140423123446
140,en,du,0.5552540096960613
141,en,it,0.4013486624606691
142,en,no,0.4828177710907557
143,en,sp,0.5178732632962212
144,en,tr,0.219112959942534
145,en,du,0.41984926975454395
146,en,it,0.4718907136233973
147,en,no,0.6291479082918683
148,en,sp,0.5287606613295489
149,en,tr,0.31522369279525764
150,en,du,0.6501273582954232
151,en,it,0.5018434807198853
152,en,no,0.5312608753437971
153,en,sp,0.5181995668809957
154,en,tr,0.1878275066692443
155,en,du,0.4956792398378228
156,en,it,0.5580137226944706
157,en,no,0.5388053244476244
158,en,sp,0.37573046199138654
159,en,tr,0.12472005995660747
160,en,du,0.6685577644590542
161,en,it,0.5005990472569674
162,en,no,0.5124266416675459
163,en,sp,0.45054897581563713
164,en,tr,0.22858828689015673
165,en,du,0.43981597281774076
166,en,it,0.4604310256425839
167,en,no,0.46043410882040986
168,en,sp,0.4085344937330969
169,en,tr,0.1757639347415051
170,en,du,0.5701788703815118
171,en,it,0.569021432337402
172,en,no,0.5545474637573511
173,en,sp,0.5695403801701272
174,en,tr,0.262159857417433
175,en,du,0.4415853540269085
176,en,it,0.4534304325176764
177,en,no,0.4434846717711458
178,en,sp,0.5299959104701082
179,en,tr,0.17455002364490813
180,no,du,0.514038424258627
181,no,it,0.3829394859528159
182,no,en,0.49296560916758125
183,no,sp,0.40256129497258586
184,no,tr,0.36911971317621917
185,no,du,0.5494213709925051
186,no,it,0.4799038701480928
187,no,en,0.5173408965945899
188,no,sp,0.4362568358956727
189,no,tr,0.33012927227551514
190,no,du,0.5881328294912473
191,no,it,0.49836204200719153
192,no,en,0.4754551146651367
193,no,sp,0.5740566352654018
194,no,tr,0.28199312053108994
195,no,du,0.4448319661160816
196,no,it,0.5414851678714523
197,no,en,0.5638415442628416
198,no,sp,0.6039843605448678
199,no,tr,0.2832624327628104
200,no,du,0.4972619309096249
201,no,it,0.421393320042684
202,no,en,0.48857556455545487
203,no,sp,0.3702948264770636
204,no,tr,0.12079287344481993
205,no,du,0.3218224595944174
206,no,it,0.41576046385579857
207,no,en,0.494031777272002
208,no,sp,0.5532363603779828
209,no,tr,0.4138238452293392
210,no,du,0.5081475877498379
211,no,it,0.47517841164501884
212,no,en,0.5018774387127513
213,no,sp,0.44698292326201583
214,no,tr,0.4180283924124591
215,no,du,0.504437723267432
216,no,it,0.39754300948496735
217,no,en,0.5261351957069795
218,no,sp,0.5123521330454582
219,no,tr,0.13910817166234835
220,no,du,0.6312766753731301
221,no,it,0.488489327534226
222,no,en,0.548200835710133
223,no,sp,0.47518160633780554
224,no,tr,0.2389609209458486
225,no,du,0.4840189987640126
226,no,it,0.4831613882066866
227,no,en,0.4619799102554975
228,no,sp,0.4739764278163784
229,no,tr,0.3774545170000897
230,no,du,0.5308311849372169
231,no,it,0.47688129706961485
232,no,en,0.5389615136206408
233,no,sp,0.5385138929132176
234,no,tr,0.25532653076600836
235,no,du,0.5486422462456964
236,no,it,0.5071490185795773
237,no,en,0.5596985210783029
238,no,sp,0.6045075559830284
239,no,tr,0.2702250123210694
240,sp,du,0.5552289339834519
241,sp,it,0.5737856640971594
242,sp,en,0.5404926959130406
243,sp,no,0.5696597987517721
244,sp,tr,0.2959421792089541
245,sp,du,0.5344974311338128
246,sp,it,0.5338377862291236
247,sp,en,0.6285319998122438
248,sp,no,0.42465673677230564
249,sp,tr,0.17694252787527529
250,sp,du,0.5231383200255265
251,sp,it,0.6246267203088547
252,sp,en,0.5119350387042927
253,sp,no,0.5120153297242761
254,sp,tr,0.08560369451405239
255,sp,du,0.4452446489370081
256,sp,it,0.5530976636674569
257,sp,en,0.5628553169014339
258,sp,no,0.5043460153688052
259,sp,tr,0.12428880946483176
260,sp,du,0.5403011135068495
261,sp,it,0.5516127637265249
262,sp,en,0.5172442059018048
263,sp,no,0.45281375737073737
264,sp,tr,0.16623593698932518
265,sp,du,0.4953921669055933
266,sp,it,0.48614207909436674
267,sp,en,0.6157182172379523
268,sp,no,0.5928912507997197
269,sp,tr,0.26522463556870746
270,sp,du,0.6093240241851345
271,sp,it,0.5773341120148919
272,sp,en,0.5914281512552434
273,sp,no,0.5837656911226901
274,sp,tr,0.38053615496186216
275,sp,du,0.520563136897989
276,sp,it,0.5432244258690998
277,sp,en,0.6375335865263884
278,sp,no,0.45948956174995986
279,sp,tr,0.0994398634343817
280,sp,du,0.6382167683358182
281,sp,it,0.5112418782989727
282,sp,en,0.5906469620774293
283,sp,no,0.5031556018659271
284,sp,tr,0.023600671658517217
285,sp,du,0.4776980624707319
286,sp,it,0.4990012005346617
287,sp,en,0.555842049702106
288,sp,no,0.4571744978667494
289,sp,tr,0.12853358968762554
290,sp,du,0.525657254303686
291,sp,it,0.5908895724370467
292,sp,en,0.6229285573304146
293,sp,no,0.457326224104007
294,sp,tr,0.3280480930791937
295,sp,du,0.43522408766245163
296,sp,it,0.5750394885718147
297,sp,en,0.5507970731302012
298,sp,no,0.46563288021798843
299,sp,tr,0.22389954509672075
300,tr,du,0.25162273170639976
301,tr,it,0.42396980646060767
302,tr,en,0.2019119611286918
303,tr,no,0.4869132134844063
304,tr,sp,0.30530792883859315
305,tr,du,0.3412498060944979
306,tr,it,0.24691804917705604
307,tr,en,0.29329286898329726
308,tr,no,0.3304481338262597
309,tr,sp,0.20086571685430646
310,tr,du,0.37020280845186804
311,tr,it,0.402172469407303
312,tr,en,0.15294721691332683
313,tr,no,0.3346589450053514
314,tr,sp,0.39874796979160443
315,tr,du,0.28644769010204757
316,tr,it,0.43764790266094644
317,tr,en,0.3533287612063888
318,tr,no,0.3900860625277894
319,tr,sp,0.2537586855689108
320,tr,du,0.19176436734980926
321,tr,it,0.3989793406673941
322,tr,en,0.14189887188397748
323,tr,no,0.36344724982267024
324,tr,sp,0.2690787974261579
325,tr,du,0.30589520831558603
326,tr,it,0.38246185791644877
327,tr,en,0.32960614211595807
328,tr,no,0.35832184088354563
329,tr,sp,0.2887312506352647
330,tr,du,0.2214921499310288
331,tr,it,0.39882125469790464
332,tr,en,0.20029371982144625
333,tr,no,0.32567638977593877
334,tr,sp,0.20317629645175822
335,tr,du,0.22470362241888883
336,tr,it,0.30863399869523955
337,tr,en,0.38150669595276204
338,tr,no,0.3774419165233518
339,tr,sp,0.28788372147401786
340,tr,du,0.26470522320466877
341,tr,it,0.4342587844816973
342,tr,en,0.34587027688202765
343,tr,no,0.3607942401667517
344,tr,sp,0.2802425587072921
345,tr,du,0.31075504053469966
346,tr,it,0.42803016885894585
347,tr,en,0.28511065434901806
348,tr,no,0.32845874605255393
349,tr,sp,0.16912008182503913
350,tr,du,0.31357408313765306
351,tr,it,0.359736359122167
352,tr,en,0.22836845806244893
353,tr,no,0.37996406929208437
354,tr,sp,0.30883890602060626
355,tr,du,0.2807324563383382
356,tr,it,0.4610087085184768
357,tr,en,0.36414352236088
358,tr,no,0.326392666973355
359,tr,sp,0.3528002006847689
