,nc,ncsnr,sd_signal,sd_noise,roi,n_items,n_UIDs,NC_n,UIDs,save_str,norm,date_compute_NSD_nc,split_n_items,split_half_se,split_n_UIDs,split_UIDs,nc_split_half_se_zero_overlap,date_compile_NSD_noiseceiling
anatglasser_LHRH_AudPrimary,0.2152101263891497,0.0985542404387192,0.0547878978675636,0.5559162,anatglasser_LHRH_AudPrimary,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.1112770598917869,5.0,"[848, 853, 865, 875, 876]",False,20230217-10:53:48
anatglasser_LHRH_LangNetw,0.3534952581818829,0.1689990890835902,0.0437637839571893,0.2589587,anatglasser_LHRH_LangNetw,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.0763872815573443,5.0,"[848, 853, 865, 875, 876]",False,20230217-10:53:48
anatglasser_LHRH_V1,0.2152249098630717,0.0985613392644539,0.052875154280832,0.5364695,anatglasser_LHRH_V1,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.1134814290873966,5.0,"[848, 853, 865, 875, 876]",False,20230217-10:53:48
anatglasser_LH_1,0.0,0.0,0.0,0.53689,anatglasser_LH_1,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.0392493557465598,5.0,"[848, 853, 865, 875, 876]",True,20230217-10:53:48
anatglasser_LH_10d,0.1259050839378693,0.0567581298831612,0.0283082475942421,0.4987523,anatglasser_LH_10d,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.1101593977707792,5.0,"[848, 853, 865, 875, 876]",False,20230217-10:53:48
anatglasser_LH_10pp,0.0,0.0,0.0,0.48814017,anatglasser_LH_10pp,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.059703083237384,5.0,"[848, 853, 865, 875, 876]",True,20230217-10:53:48
anatglasser_LH_10r,0.2365712342398748,0.1088887729311727,0.0734902719852472,0.6749114,anatglasser_LH_10r,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.1098830799047652,5.0,"[848, 853, 865, 875, 876]",False,20230217-10:53:48
anatglasser_LH_10v,0.1943276423189661,0.0885948762260254,0.0466826146696385,0.5269223,anatglasser_LH_10v,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.1134050642054247,5.0,"[848, 853, 865, 875, 876]",False,20230217-10:53:48
anatglasser_LH_11l,0.2351078468538219,0.1081756662718482,0.0571282672031231,0.52810645,anatglasser_LH_11l,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.10211301384827,5.0,"[848, 853, 865, 875, 876]",False,20230217-10:53:48
anatglasser_LH_13l,0.2050698814817314,0.0937014445355594,0.0475756103652873,0.50773615,anatglasser_LH_13l,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.1105621044027603,5.0,"[848, 853, 865, 875, 876]",False,20230217-10:53:48
anatglasser_LH_2,0.0,0.0,0.0,0.5849582,anatglasser_LH_2,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.0087020178505438,5.0,"[848, 853, 865, 875, 876]",True,20230217-10:53:48
anatglasser_LH_23c,0.3421745855874146,0.1628556829877648,0.0801907143294241,0.49240354,anatglasser_LH_23c,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.0793540969651488,5.0,"[848, 853, 865, 875, 876]",False,20230217-10:53:48
anatglasser_LH_23d,0.3446478668554744,0.1641908496965589,0.0922283663930756,0.5617144,anatglasser_LH_23d,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.0722863440923597,5.0,"[848, 853, 865, 875, 876]",False,20230217-10:53:48
anatglasser_LH_24dd,0.0,0.0,0.0,0.5073491,anatglasser_LH_24dd,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.0682000070058097,5.0,"[848, 853, 865, 875, 876]",True,20230217-10:53:48
anatglasser_LH_24dv,0.2314755161654539,0.1064089883280291,0.0562710974123465,0.528819,anatglasser_LH_24dv,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.1059820225073928,5.0,"[848, 853, 865, 875, 876]",False,20230217-10:53:48
anatglasser_LH_25,0.0,0.0,0.0,0.6009695,anatglasser_LH_25,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.0426911111714522,5.0,"[848, 853, 865, 875, 876]",True,20230217-10:53:48
anatglasser_LH_31a,0.3514971344276112,0.167908728259523,0.1106396585655805,0.6589274,anatglasser_LH_31a,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.0692051540887073,5.0,"[848, 853, 865, 875, 876]",False,20230217-10:53:48
anatglasser_LH_31pd,0.0,0.0,0.0,0.6303736,anatglasser_LH_31pd,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.055680159035942,5.0,"[848, 853, 865, 875, 876]",True,20230217-10:53:48
anatglasser_LH_31pv,0.0,0.0,0.0,0.65089786,anatglasser_LH_31pv,1000,5,5,"[848, 853, 865, 875, 876]",NC-split-half_rois_20221214a_gs_848-853-865-875-876_pcstop-5_fracs-0.05_norm-bySessVoxZ_n-rois-488_n-splits-1000_NC_n-5,bySessVoxZ,20230216-18:26:38,500.0,0.0358666450611692,5.0,"[848, 853, 865, 875, 876]",True,20230217-10:53:48
