response_target,roi,target_UID,norm,cond,response_target_non_norm
0.95635283,lang_LH_netw,946,bySessVoxZ,D,2.6258469
-1.343822,lang_LH_netw,946,bySessVoxZ,S,1.1223227
0.38746792,lang_LH_netw,946,bySessVoxZ,B,2.230955
0.94249636,lang_LH_AntTemp,946,bySessVoxZ,D,1.5988833
-1.3130145,lang_LH_AntTemp,946,bySessVoxZ,S,0.6427745
0.3705182,lang_LH_AntTemp,946,bySessVoxZ,B,1.3276553
1.0418639,lang_LH_IFG,946,bySessVoxZ,D,3.432317
-1.3229525,lang_LH_IFG,946,bySessVoxZ,S,1.35807
0.28108868,lang_LH_IFG,946,bySessVoxZ,B,2.6590312
0.98156327,lang_LH_IFGorb,946,bySessVoxZ,D,4.8026032
-1.368796,lang_LH_IFGorb,946,bySessVoxZ,S,1.8540138
0.38723257,lang_LH_IFGorb,946,bySessVoxZ,B,4.047936
0.82292867,lang_LH_MFG,946,bySessVoxZ,D,2.534495
-1.3699604,lang_LH_MFG,946,bySessVoxZ,S,1.2685497
0.5470319,lang_LH_MFG,946,bySessVoxZ,B,2.3439255
0.9603656,lang_LH_PostTemp,946,bySessVoxZ,D,2.7297897
-1.3588521,lang_LH_PostTemp,946,bySessVoxZ,S,1.2122878
0.39848652,lang_LH_PostTemp,946,bySessVoxZ,B,2.375342
0.6017943,lang_LH_netw,947,bySessVoxZ,D,0.7238343
-1.016942,lang_LH_netw,947,bySessVoxZ,S,0.3464997
0.41514796,lang_LH_netw,947,bySessVoxZ,B,0.65333223
0.5937949,lang_LH_AntTemp,947,bySessVoxZ,D,0.30392265
-1.0993598,lang_LH_AntTemp,947,bySessVoxZ,S,0.062009357
0.5055649,lang_LH_AntTemp,947,bySessVoxZ,B,0.2790756
0.9460546,lang_LH_IFG,947,bySessVoxZ,D,0.8180418
-1.1002301,lang_LH_IFG,947,bySessVoxZ,S,0.39940342
0.15417549,lang_LH_IFG,947,bySessVoxZ,B,0.64530635
0.1561986,lang_LH_IFGorb,947,bySessVoxZ,D,0.8827419
-1.2355828,lang_LH_IFGorb,947,bySessVoxZ,S,0.43862215
1.0793841,lang_LH_IFGorb,947,bySessVoxZ,B,1.1480377
0.9958643,lang_LH_MFG,947,bySessVoxZ,D,2.5124917
-1.3455713,lang_LH_MFG,947,bySessVoxZ,S,1.4607434
0.34970692,lang_LH_MFG,947,bySessVoxZ,B,2.1942427
0.4964003,lang_LH_PostTemp,947,bySessVoxZ,D,0.6300087
-0.87651634,lang_LH_PostTemp,947,bySessVoxZ,S,0.3029112
0.38011608,lang_LH_PostTemp,947,bySessVoxZ,B,0.56894624
0.025022812,lang_LH_netw,866,bySessVoxZ,D,1.5932429
-1.1699291,lang_LH_netw,866,bySessVoxZ,S,0.9698048
1.1449059,lang_LH_netw,866,bySessVoxZ,B,2.0616693
-0.26408085,lang_LH_AntTemp,866,bySessVoxZ,D,0.64713854
-1.0408839,lang_LH_AntTemp,866,bySessVoxZ,S,0.3617468
1.3049648,lang_LH_AntTemp,866,bySessVoxZ,B,1.2459747
0.009222042,lang_LH_IFG,866,bySessVoxZ,D,0.9725179
-1.1774719,lang_LH_IFG,866,bySessVoxZ,S,0.46151394
1.1682498,lang_LH_IFG,866,bySessVoxZ,B,1.4076401
0.5075651,lang_LH_IFGorb,866,bySessVoxZ,D,1.5583423
-1.3616,lang_LH_IFGorb,866,bySessVoxZ,S,0.4614655
0.8540349,lang_LH_IFGorb,866,bySessVoxZ,B,1.6837441
0.40812582,lang_LH_MFG,866,bySessVoxZ,D,3.9935675
-1.2906522,lang_LH_MFG,866,bySessVoxZ,S,2.8285077
0.8825262,lang_LH_MFG,866,bySessVoxZ,B,4.2088184
0.067223035,lang_LH_PostTemp,866,bySessVoxZ,D,1.8957707
-1.1960403,lang_LH_PostTemp,866,bySessVoxZ,S,1.2026341
1.1288172,lang_LH_PostTemp,866,bySessVoxZ,B,2.3839655
1.1418542,lang_LH_netw,958,bySessVoxZ,D,1.9866107
-1.2185799,lang_LH_netw,958,bySessVoxZ,S,0.22343048
0.07672622,lang_LH_netw,958,bySessVoxZ,B,1.193318
1.1039884,lang_LH_AntTemp,958,bySessVoxZ,D,2.010574
-1.3059016,lang_LH_AntTemp,958,bySessVoxZ,S,0.31388125
0.20191318,lang_LH_AntTemp,958,bySessVoxZ,B,1.3404325
1.1617321,lang_LH_IFG,958,bySessVoxZ,D,0.7470133
-1.2532544,lang_LH_IFG,958,bySessVoxZ,S,-0.56072503
0.09152234,lang_LH_IFG,958,bySessVoxZ,B,0.16489093
1.1256113,lang_LH_IFGorb,958,bySessVoxZ,D,2.4499269
-1.3011894,lang_LH_IFGorb,958,bySessVoxZ,S,-0.2137911
0.17557815,lang_LH_IFGorb,958,bySessVoxZ,B,1.3801675
1.1699059,lang_LH_MFG,958,bySessVoxZ,D,2.3256187
-1.2340045,lang_LH_MFG,958,bySessVoxZ,S,0.7667437
0.06409853,lang_LH_MFG,958,bySessVoxZ,B,1.6215658
1.1552907,lang_LH_PostTemp,958,bySessVoxZ,D,2.1763985
-1.1486976,lang_LH_PostTemp,958,bySessVoxZ,S,0.3410903
-0.006593197,lang_LH_PostTemp,958,bySessVoxZ,B,1.2818322
