model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
bert_base,bert-base-multilingual-cased,6,contentwords,1000,0.8615943193435669,0.030935179442167282,0.000978256268632657
bert_base,bert-base-multilingual-cased,6,nouns,1000,0.8265810608863831,0.0390351228415966,0.0012343989692390938
bert_base,bert-base-multilingual-cased,6,verbs,1000,0.7858226299285889,0.04767585173249245,0.0015076428086316079
bert_base,bert-base-multilingual-cased,6,nounsverbs,1000,0.8533687591552734,0.03162204846739769,0.0009999769743721345
bert_base,bert-base-multilingual-cased,6,nounsverbsadj,1000,0.8594179749488831,0.029041936621069908,0.0009183866738483532
bert_base,bert-base-multilingual-cased,6,functionwords,1000,0.7696093916893005,0.04060356318950653,0.0012839974079741166
bert_base,bert-base-multilingual-cased,6,1LocalWordSwap,1000,0.8699182271957397,0.032825812697410583,0.0010380433416989302
bert_base,bert-base-multilingual-cased,6,2LocalWordSwap,1000,0.8663318753242493,0.03156144544482231,0.0009980605385278465
bert_base,bert-base-multilingual-cased,6,3LocalWordSwaps,1000,0.8628256916999817,0.03175683692097664,0.001004239359528148
bert_base,bert-base-multilingual-cased,6,4LocalWordSwaps,1000,0.8625032901763916,0.031182417646050453,0.000986074627121456
bert_base,bert-base-multilingual-cased,6,5LocalWordSwaps,1000,0.8594292402267456,0.03032786399126053,0.000959051267801882
bert_base,bert-base-multilingual-cased,6,Reversed,1000,0.8470160961151123,0.029668042436242104,0.0009381858781705586
bert_base,bert-base-multilingual-cased,6,paraphrase,1000,0.8662294149398804,0.029597533866763115,0.0009359562014294203
