model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
infoxlm_large,microsoft/infoxlm-large,14,contentwords,1000,0.9122678637504578,0.01606878638267517,0.0005081396420395155
infoxlm_large,microsoft/infoxlm-large,14,nouns,1000,0.8996927738189697,0.015309619717299938,0.0004841326841769094
infoxlm_large,microsoft/infoxlm-large,14,verbs,1000,0.8933678269386292,0.014741376973688602,0.0004661632708401602
infoxlm_large,microsoft/infoxlm-large,14,nounsverbs,1000,0.9084131121635437,0.01628272235393524,0.000514904891465737
infoxlm_large,microsoft/infoxlm-large,14,nounsverbsadj,1000,0.9109066128730774,0.015633665025234222,0.0004943798965585391
infoxlm_large,microsoft/infoxlm-large,14,functionwords,1000,0.888843834400177,0.014505105093121529,0.0004586916979437279
infoxlm_large,microsoft/infoxlm-large,14,1LocalWordSwap,1000,0.9171677231788635,0.01953478343784809,0.0006177440926173428
infoxlm_large,microsoft/infoxlm-large,14,2LocalWordSwap,1000,0.9143245816230774,0.01873304508626461,0.000592390899832216
infoxlm_large,microsoft/infoxlm-large,14,3LocalWordSwaps,1000,0.9122524261474609,0.018651794642210007,0.0005898215351910897
infoxlm_large,microsoft/infoxlm-large,14,4LocalWordSwaps,1000,0.9115563035011292,0.01818593218922615,0.0005750896709132688
infoxlm_large,microsoft/infoxlm-large,14,5LocalWordSwaps,1000,0.9097648859024048,0.017762303352355957,0.0005616933508428916
infoxlm_large,microsoft/infoxlm-large,14,Reversed,1000,0.8990098834037781,0.016807453706860542,0.0005314983538151931
infoxlm_large,microsoft/infoxlm-large,14,paraphrase,1000,0.9163358211517334,0.01546307373791933,0.0004889853263895865
