model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,1000,0.7631850838661194,0.043227117508649826,0.0013669614801107676
mdeberta,microsoft/mdeberta-v3-base,9,nouns,1000,0.7203750610351562,0.05492979288101196,0.001737032569053002
mdeberta,microsoft/mdeberta-v3-base,9,verbs,1000,0.663966715335846,0.06491318345069885,0.0020527350987655673
mdeberta,microsoft/mdeberta-v3-base,9,nounsverbs,1000,0.75152188539505,0.04676292836666107,0.0014787736369794651
mdeberta,microsoft/mdeberta-v3-base,9,nounsverbsadj,1000,0.7611618638038635,0.04466089978814125,0.001412301656830578
mdeberta,microsoft/mdeberta-v3-base,9,functionwords,1000,0.6575819253921509,0.05697093904018402,0.001801579278055885
mdeberta,microsoft/mdeberta-v3-base,9,1LocalWordSwap,1000,0.792959451675415,0.06687220185995102,0.0021146847002799347
mdeberta,microsoft/mdeberta-v3-base,9,2LocalWordSwap,1000,0.7895057201385498,0.06105044484138489,0.0019305845786525332
mdeberta,microsoft/mdeberta-v3-base,9,3LocalWordSwaps,1000,0.7871507406234741,0.05891408398747444,0.0018630269166287406
mdeberta,microsoft/mdeberta-v3-base,9,4LocalWordSwaps,1000,0.7857291102409363,0.058697305619716644,0.0018561717827330583
mdeberta,microsoft/mdeberta-v3-base,9,5LocalWordSwaps,1000,0.7841991782188416,0.056928638368844986,0.0018002416133760294
mdeberta,microsoft/mdeberta-v3-base,9,Reversed,1000,0.7678703665733337,0.05049079656600952,0.0015966591802479824
mdeberta,microsoft/mdeberta-v3-base,9,paraphrase,1000,0.7651401162147522,0.040943026542663574,0.0012947321817554601
