model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
mgpt,ai-forever/mGPT,14,contentwords,1000,0.7418007850646973,0.23697741329669952,0.0074938838003264195
mgpt,ai-forever/mGPT,14,nouns,1000,0.7666687965393066,0.19423803687095642,0.006142346047519875
mgpt,ai-forever/mGPT,14,verbs,1000,0.7547348737716675,0.18974044919013977,0.0060001198370429245
mgpt,ai-forever/mGPT,14,nounsverbs,1000,0.7657928466796875,0.1914442479610443,0.006053998684949462
mgpt,ai-forever/mGPT,14,nounsverbsadj,1000,0.7788200974464417,0.20741388201713562,0.0065590028551158796
mgpt,ai-forever/mGPT,14,functionwords,1000,0.75586998462677,0.19624754786491394,0.006205892364760421
mgpt,ai-forever/mGPT,14,1LocalWordSwap,1000,0.9322892427444458,0.03715680539608002,0.0011750013562724774
mgpt,ai-forever/mGPT,14,2LocalWordSwap,1000,0.931749165058136,0.036859046667814255,0.0011655853985273277
mgpt,ai-forever/mGPT,14,3LocalWordSwaps,1000,0.9306532144546509,0.036870311945676804,0.0011659416378925309
mgpt,ai-forever/mGPT,14,4LocalWordSwaps,1000,0.9304762482643127,0.0371536910533905,0.0011749028721093457
mgpt,ai-forever/mGPT,14,5LocalWordSwaps,1000,0.9296904802322388,0.03688734769821167,0.0011664803556891827
mgpt,ai-forever/mGPT,14,Reversed,1000,0.9127131104469299,0.04579637944698334,0.0014482086764178973
mgpt,ai-forever/mGPT,14,paraphrase,1000,0.8015720248222351,0.21433025598526,0.006777717804003578
