model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
mt5_base,google/mt5-base,9,contentwords,1000,,,
mt5_base,google/mt5-base,9,nouns,1000,,,
mt5_base,google/mt5-base,9,verbs,1000,,,
mt5_base,google/mt5-base,9,nounsverbs,1000,,,
mt5_base,google/mt5-base,9,nounsverbsadj,1000,,,
mt5_base,google/mt5-base,9,functionwords,1000,,,
mt5_base,google/mt5-base,9,1LocalWordSwap,1000,,,
mt5_base,google/mt5-base,9,2LocalWordSwap,1000,,,
mt5_base,google/mt5-base,9,3LocalWordSwaps,1000,,,
mt5_base,google/mt5-base,9,4LocalWordSwaps,1000,,,
mt5_base,google/mt5-base,9,5LocalWordSwaps,1000,,,
mt5_base,google/mt5-base,9,Reversed,1000,,,
mt5_base,google/mt5-base,9,paraphrase,1000,,,
