model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
mt5_small,google/mt5-small,2,contentwords,1000,0.9193389415740967,0.09409040212631226,0.0029753997668029663
mt5_small,google/mt5-small,2,nouns,1000,0.9236148595809937,0.09468766301870346,0.0029942868145759758
mt5_small,google/mt5-small,2,verbs,1000,0.9131651520729065,0.10447448492050171,0.003303773297217008
mt5_small,google/mt5-small,2,nounsverbs,1000,0.9328048229217529,0.08620260655879974,0.0027259657696917664
mt5_small,google/mt5-small,2,nounsverbsadj,1000,0.9318400025367737,0.08603308349847794,0.002720604979826376
mt5_small,google/mt5-small,2,functionwords,1000,0.9141938090324402,0.10341844707727432,0.003270378448417704
mt5_small,google/mt5-small,2,1LocalWordSwap,1000,0.9613179564476013,0.03487427160143852,0.0011028212999987356
mt5_small,google/mt5-small,2,2LocalWordSwap,1000,0.9611700177192688,0.035027649253606796,0.0011076715272289438
mt5_small,google/mt5-small,2,3LocalWordSwaps,1000,0.9611993432044983,0.034866441041231155,0.001102573675942632
mt5_small,google/mt5-small,2,4LocalWordSwaps,1000,0.9611214399337769,0.03493157774209976,0.0011046334792827709
mt5_small,google/mt5-small,2,5LocalWordSwaps,1000,0.9609898924827576,0.035010188817977905,0.0011071193797736834
mt5_small,google/mt5-small,2,Reversed,1000,0.9606269598007202,0.03448297828435898,0.0010904475188469975
mt5_small,google/mt5-small,2,paraphrase,1000,0.952318012714386,0.04767856374382973,0.001507728569960268
