model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,1000,0.9003980755805969,0.07384507358074188,0.0023351862649787026
nllb200_1B,facebook/nllb-200-1.3B,17,nouns,1000,0.9194013476371765,0.06663744151592255,0.0021072609263657876
nllb200_1B,facebook/nllb-200-1.3B,17,verbs,1000,0.9205740690231323,0.06775284558534622,0.0021425331000737816
nllb200_1B,facebook/nllb-200-1.3B,17,nounsverbs,1000,0.8966317176818848,0.08075277507305145,0.002553626966101126
nllb200_1B,facebook/nllb-200-1.3B,17,nounsverbsadj,1000,0.9120838642120361,0.0664772093296051,0.002102193939733472
nllb200_1B,facebook/nllb-200-1.3B,17,functionwords,1000,0.9212183952331543,0.06663783639669418,0.0021072734135922136
nllb200_1B,facebook/nllb-200-1.3B,17,1LocalWordSwap,1000,0.906648576259613,0.08003973215818405,0.0025310785692968605
nllb200_1B,facebook/nllb-200-1.3B,17,2LocalWordSwap,1000,0.9060491919517517,0.08089148253202438,0.002558013281089214
nllb200_1B,facebook/nllb-200-1.3B,17,3LocalWordSwaps,1000,0.9058712124824524,0.08063013851642609,0.002549748857667762
nllb200_1B,facebook/nllb-200-1.3B,17,4LocalWordSwaps,1000,0.9057356119155884,0.08084526658058167,0.0025565518043813066
nllb200_1B,facebook/nllb-200-1.3B,17,5LocalWordSwaps,1000,0.9054380059242249,0.08056065440177917,0.002547551577032917
nllb200_1B,facebook/nllb-200-1.3B,17,Reversed,1000,0.9048942923545837,0.08225183933973312,0.0026010315405179674
nllb200_1B,facebook/nllb-200-1.3B,17,paraphrase,1000,0.9002732634544373,0.07429633289575577,0.0023494563374868156
