model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,1000,0.906639814376831,0.11420278996229172,0.0036114093142665675
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,nouns,1000,0.9264845252037048,0.10699184238910675,0.003383379130073285
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,verbs,1000,0.9235950708389282,0.11238299310207367,0.0035538622846954466
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,nounsverbs,1000,0.8975725173950195,0.1223420798778534,0.003868796260962712
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,nounsverbsadj,1000,0.9239943623542786,0.10340330749750137,0.003269899692868701
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,functionwords,1000,0.9241694808006287,0.11035685986280441,0.003489790325904789
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,1LocalWordSwap,1000,0.93479984998703,0.08624022454023361,0.002727155354714856
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,2LocalWordSwap,1000,0.9342197179794312,0.08707991242408752,0.002753708617081109
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,3LocalWordSwaps,1000,0.9338708519935608,0.08671647310256958,0.0027422156566084795
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,4LocalWordSwaps,1000,0.9333426356315613,0.08789296448230743,0.0027794195806837363
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,5LocalWordSwaps,1000,0.9331349730491638,0.08691978454589844,0.0027486449289614336
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,Reversed,1000,0.9319987893104553,0.08777669072151184,0.00277574268152146
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,paraphrase,1000,0.9284867644309998,0.08590082079172134,0.0027164224657978786
