model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
xglm_large,facebook/xglm-2.9B,40,contentwords,1000,0.9917351603507996,0.002357167424634099,7.454017888197044e-05
xglm_large,facebook/xglm-2.9B,40,nouns,1000,0.9887086749076843,0.004211185034364462,0.00013316936357006147
xglm_large,facebook/xglm-2.9B,40,verbs,1000,0.9843570590019226,0.007809366099536419,0.0002469538395664029
xglm_large,facebook/xglm-2.9B,40,nounsverbs,1000,0.9911007285118103,0.0030365311540663242,9.602354632909245e-05
xglm_large,facebook/xglm-2.9B,40,nounsverbsadj,1000,0.9915589094161987,0.002511945553123951,7.943469306203173e-05
xglm_large,facebook/xglm-2.9B,40,functionwords,1000,0.9849332571029663,0.006515087094157934,0.00020602514371906958
xglm_large,facebook/xglm-2.9B,40,1LocalWordSwap,1000,0.9923666715621948,0.002376103075221181,7.513897673029327e-05
xglm_large,facebook/xglm-2.9B,40,2LocalWordSwap,1000,0.9921380281448364,0.0023264926858246326,7.357015846928368e-05
xglm_large,facebook/xglm-2.9B,40,3LocalWordSwaps,1000,0.991919994354248,0.0023487533908337355,7.427410377078252e-05
xglm_large,facebook/xglm-2.9B,40,4LocalWordSwaps,1000,0.9919400811195374,0.002316150814294815,7.324311977625294e-05
xglm_large,facebook/xglm-2.9B,40,5LocalWordSwaps,1000,0.991830587387085,0.0022567694541066885,7.13653162887197e-05
xglm_large,facebook/xglm-2.9B,40,Reversed,1000,0.9917794466018677,0.0021533218678086996,6.809401637723499e-05
xglm_large,facebook/xglm-2.9B,40,paraphrase,1000,0.9918490648269653,0.0023528761230409145,7.440447601035871e-05
