model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
xglm_med,facebook/xglm-1.7B,16,contentwords,1000,0.9956811666488647,0.0009731387835927308,3.0773350355987235e-05
xglm_med,facebook/xglm-1.7B,16,nouns,1000,0.994333028793335,0.0010708053596317768,3.386183867152135e-05
xglm_med,facebook/xglm-1.7B,16,verbs,1000,0.9927765130996704,0.0011903870617970824,3.76433441247439e-05
xglm_med,facebook/xglm-1.7B,16,nounsverbs,1000,0.9953911304473877,0.0009846456814557314,3.11372304164873e-05
xglm_med,facebook/xglm-1.7B,16,nounsverbsadj,1000,0.9955991506576538,0.0009856282267719507,3.116830122752313e-05
xglm_med,facebook/xglm-1.7B,16,functionwords,1000,0.9930838346481323,0.0011056996881961823,3.49652942283793e-05
xglm_med,facebook/xglm-1.7B,16,1LocalWordSwap,1000,0.9958800673484802,0.001059897942468524,3.351691585526644e-05
xglm_med,facebook/xglm-1.7B,16,2LocalWordSwap,1000,0.9958521723747253,0.0010465176310390234,3.3093793256070385e-05
xglm_med,facebook/xglm-1.7B,16,3LocalWordSwaps,1000,0.9958032369613647,0.0010108663700520992,3.1966401394312555e-05
xglm_med,facebook/xglm-1.7B,16,4LocalWordSwaps,1000,0.9958173632621765,0.0010098761413246393,3.193508761247952e-05
xglm_med,facebook/xglm-1.7B,16,5LocalWordSwaps,1000,0.9957878589630127,0.0009477138519287109,2.996934342186286e-05
xglm_med,facebook/xglm-1.7B,16,Reversed,1000,0.9957624673843384,0.0008610587101429701,2.722906723178514e-05
xglm_med,facebook/xglm-1.7B,16,paraphrase,1000,0.995482325553894,0.0010524251265451312,3.328060466673548e-05
