model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
xlm_align,microsoft/xlm-align-base,7,contentwords,1000,0.8974555134773254,0.022152697667479515,0.0007005298094633464
xlm_align,microsoft/xlm-align-base,7,nouns,1000,0.8482160568237305,0.042266152799129486,0.0013365731077795038
xlm_align,microsoft/xlm-align-base,7,verbs,1000,0.7884048819541931,0.05524890124797821,0.001747123661653304
xlm_align,microsoft/xlm-align-base,7,nounsverbs,1000,0.8843656778335571,0.029789641499519348,0.0009420311781835489
xlm_align,microsoft/xlm-align-base,7,nounsverbsadj,1000,0.8934926986694336,0.023689545691013336,0.0007491292111822957
xlm_align,microsoft/xlm-align-base,7,functionwords,1000,0.7906126379966736,0.04211948439478874,0.001331935045594511
xlm_align,microsoft/xlm-align-base,7,1LocalWordSwap,1000,0.9120755195617676,0.021397598087787628,0.0006766514641427245
xlm_align,microsoft/xlm-align-base,7,2LocalWordSwap,1000,0.9086605310440063,0.021609563380479813,0.00068335439524084
xlm_align,microsoft/xlm-align-base,7,3LocalWordSwaps,1000,0.9057615399360657,0.02163989469408989,0.0006843135555951671
xlm_align,microsoft/xlm-align-base,7,4LocalWordSwaps,1000,0.9047067761421204,0.02203429490327835,0.0006967855853019911
xlm_align,microsoft/xlm-align-base,7,5LocalWordSwaps,1000,0.9024409651756287,0.02213546447455883,0.0006999848480534819
xlm_align,microsoft/xlm-align-base,7,Reversed,1000,0.8885101079940796,0.025292186066508293,0.0007998091497494113
xlm_align,microsoft/xlm-align-base,7,paraphrase,1000,0.9085670113563538,0.017957745119929314,0.000567873762197502
