model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,627,0.8265358209609985,0.032264333218336105,0.0012885133540304792
mdeberta,microsoft/mdeberta-v3-base,9,nouns,627,0.7794805765151978,0.035725343972444534,0.0014267328097041332
mdeberta,microsoft/mdeberta-v3-base,9,verbs,627,0.7226085066795349,0.05585281550884247,0.0022305465963401543
mdeberta,microsoft/mdeberta-v3-base,9,nounsverbs,627,0.8166099190711975,0.031109768897294998,0.001242404496435891
mdeberta,microsoft/mdeberta-v3-base,9,nounsverbsadj,627,0.8222962021827698,0.03030487522482872,0.0012102601394293735
mdeberta,microsoft/mdeberta-v3-base,9,functionwords,627,0.7126915454864502,0.03899317979812622,0.0015572376018433713
mdeberta,microsoft/mdeberta-v3-base,9,paraphrase,627,0.8438549637794495,0.0339631661772728,0.0013563582073254181
mdeberta,microsoft/mdeberta-v3-base,9,1LocalWordSwap,627,0.8626323342323303,0.05249105766415596,0.00209629092006188
mdeberta,microsoft/mdeberta-v3-base,9,2LocalWordSwap,627,0.859499990940094,0.04842627793550491,0.0019339592541285913
mdeberta,microsoft/mdeberta-v3-base,9,3LocalWordSwaps,627,0.8553581833839417,0.04602188244462013,0.00183793694747156
mdeberta,microsoft/mdeberta-v3-base,9,4LocalWordSwaps,627,0.853339433670044,0.045551180839538574,0.0018191389360635174
mdeberta,microsoft/mdeberta-v3-base,9,5LocalWordSwaps,627,0.8506019711494446,0.04468322545289993,0.0017844761367792911
mdeberta,microsoft/mdeberta-v3-base,9,Reversed,627,0.7987556457519531,0.04598965868353844,0.0018366500544125938
