model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
mt5_base,google/mt5-base,9,contentwords,627,,,
mt5_base,google/mt5-base,9,nouns,627,,,
mt5_base,google/mt5-base,9,verbs,627,,,
mt5_base,google/mt5-base,9,nounsverbs,627,,,
mt5_base,google/mt5-base,9,nounsverbsadj,627,,,
mt5_base,google/mt5-base,9,functionwords,627,,,
mt5_base,google/mt5-base,9,paraphrase,627,,,
mt5_base,google/mt5-base,9,1LocalWordSwap,627,,,
mt5_base,google/mt5-base,9,2LocalWordSwap,627,,,
mt5_base,google/mt5-base,9,3LocalWordSwaps,627,,,
mt5_base,google/mt5-base,9,4LocalWordSwaps,627,,,
mt5_base,google/mt5-base,9,5LocalWordSwaps,627,,,
mt5_base,google/mt5-base,9,Reversed,627,,,
