model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
mt5_small,google/mt5-small,2,contentwords,627,0.938866138458252,0.05157207325100899,0.0020595902177578023
mt5_small,google/mt5-small,2,nouns,627,0.9262523055076599,0.04980499669909477,0.0019890199778793715
mt5_small,google/mt5-small,2,verbs,627,0.9080947041511536,0.062132980674505234,0.002481352234464258
mt5_small,google/mt5-small,2,nounsverbs,627,0.9361003637313843,0.051564157009124756,0.002059274073509212
mt5_small,google/mt5-small,2,nounsverbsadj,627,0.9413098692893982,0.0454835444688797,0.0018164377996035645
mt5_small,google/mt5-small,2,functionwords,627,0.9167437553405762,0.05650437995791435,0.0022565675739924526
mt5_small,google/mt5-small,2,paraphrase,627,0.9584208726882935,0.028194399550557137,0.0011259758595946374
mt5_small,google/mt5-small,2,1LocalWordSwap,627,0.9672962427139282,0.017484311014413834,0.0006982561231202237
mt5_small,google/mt5-small,2,2LocalWordSwap,627,0.9672275185585022,0.017407214269042015,0.0006951771756864853
mt5_small,google/mt5-small,2,3LocalWordSwaps,627,0.9671503305435181,0.017413608729839325,0.000695432545852464
mt5_small,google/mt5-small,2,4LocalWordSwaps,627,0.9671266674995422,0.017460094764828682,0.0006972890192670664
mt5_small,google/mt5-small,2,5LocalWordSwaps,627,0.9670765399932861,0.017439773306250572,0.0006964774583842154
mt5_small,google/mt5-small,2,Reversed,627,0.9663649797439575,0.017188113182783127,0.0006864271211412167
