model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
multiminilm,microsoft/Multilingual-MiniLM-L12-H384,9,contentwords,627,0.8793550133705139,0.03029504232108593,0.0012098674510791839
multiminilm,microsoft/Multilingual-MiniLM-L12-H384,9,nouns,627,0.8003591895103455,0.03787953406572342,0.0015127628752730244
multiminilm,microsoft/Multilingual-MiniLM-L12-H384,9,verbs,627,0.7198619842529297,0.06283923238515854,0.002509557210972698
multiminilm,microsoft/Multilingual-MiniLM-L12-H384,9,nounsverbs,627,0.8601880073547363,0.031974680721759796,0.0012769457475548945
multiminilm,microsoft/Multilingual-MiniLM-L12-H384,9,nounsverbsadj,627,0.8718852400779724,0.029413610696792603,0.0011746664627035343
multiminilm,microsoft/Multilingual-MiniLM-L12-H384,9,functionwords,627,0.7177223563194275,0.04189236834645271,0.0016730200398405069
multiminilm,microsoft/Multilingual-MiniLM-L12-H384,9,paraphrase,627,0.9109309911727905,0.021667618304491043,0.0008653213239040482
multiminilm,microsoft/Multilingual-MiniLM-L12-H384,9,1LocalWordSwap,627,0.9199047684669495,0.033739473670721054,0.0013474247891159673
multiminilm,microsoft/Multilingual-MiniLM-L12-H384,9,2LocalWordSwap,627,0.9149068593978882,0.03331850469112396,0.0013306129074578902
multiminilm,microsoft/Multilingual-MiniLM-L12-H384,9,3LocalWordSwaps,627,0.9088962078094482,0.033145658671855927,0.0013237101023538533
multiminilm,microsoft/Multilingual-MiniLM-L12-H384,9,4LocalWordSwaps,627,0.907107412815094,0.03376492112874985,0.0013484410626981407
multiminilm,microsoft/Multilingual-MiniLM-L12-H384,9,5LocalWordSwaps,627,0.9038138389587402,0.03447030112147331,0.0013766112261457948
multiminilm,microsoft/Multilingual-MiniLM-L12-H384,9,Reversed,627,0.8566184043884277,0.03489479050040245,0.0013935636990108921
