model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,627,0.8910700678825378,0.048648688942193985,0.0019428414941632115
nllb200_1B,facebook/nllb-200-1.3B,17,nouns,627,0.8988035917282104,0.04449249058961868,0.0017768589200603232
nllb200_1B,facebook/nllb-200-1.3B,17,verbs,627,0.9028127789497375,0.04614858329296112,0.0018429968919604041
nllb200_1B,facebook/nllb-200-1.3B,17,nounsverbs,627,0.8931049704551697,0.050383903086185455,0.002012139272037788
nllb200_1B,facebook/nllb-200-1.3B,17,nounsverbsadj,627,0.8946095108985901,0.04445576295256615,0.0017753921595206295
nllb200_1B,facebook/nllb-200-1.3B,17,functionwords,627,0.8967960476875305,0.047439273446798325,0.0018945420916668637
nllb200_1B,facebook/nllb-200-1.3B,17,paraphrase,627,0.894415020942688,0.04022828862071037,0.001606563096990319
nllb200_1B,facebook/nllb-200-1.3B,17,1LocalWordSwap,627,0.9039873480796814,0.06276778876781464,0.002506704027725894
nllb200_1B,facebook/nllb-200-1.3B,17,2LocalWordSwap,627,0.9026027917861938,0.06268435716629028,0.0025033720905064017
nllb200_1B,facebook/nllb-200-1.3B,17,3LocalWordSwaps,627,0.9012101888656616,0.06163036450743675,0.0024612796782196647
nllb200_1B,facebook/nllb-200-1.3B,17,4LocalWordSwaps,627,0.9006355404853821,0.06234893575310707,0.0024899766495657927
nllb200_1B,facebook/nllb-200-1.3B,17,5LocalWordSwaps,627,0.8996179103851318,0.06208816543221474,0.0024795624860828288
nllb200_1B,facebook/nllb-200-1.3B,17,Reversed,627,0.8902679681777954,0.06261694431304932,0.0025006798804722914
