model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,627,0.9370323419570923,0.04507163166999817,0.0017999875869658742
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,nouns,627,0.9359681010246277,0.04617645964026451,0.0018441101660367331
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,verbs,627,0.9311989545822144,0.050582390278577805,0.002020066086959728
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,nounsverbs,627,0.936270534992218,0.047631438821554184,0.001902216437511224
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,nounsverbsadj,627,0.9397296905517578,0.04184382036328316,0.001671081220147507
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,functionwords,627,0.9299808740615845,0.0500023290514946,0.0019969006729344584
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,paraphrase,627,0.9426292777061462,0.033301062881946564,0.001329916348694644
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,1LocalWordSwap,627,0.9486199617385864,0.03993457183241844,0.0015948331783381643
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,2LocalWordSwap,627,0.9473133087158203,0.04056575149297714,0.001620040065953623
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,3LocalWordSwaps,627,0.9461002945899963,0.04087001457810402,0.0016321911631317816
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,4LocalWordSwaps,627,0.9457244873046875,0.041088368743658066,0.0016409113885373597
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,5LocalWordSwaps,627,0.9447722434997559,0.041976448148489,0.0016763778636949428
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,Reversed,627,0.9360361099243164,0.04504363611340523,0.0017988695521290962
