model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
xglm_large,facebook/xglm-2.9B,40,contentwords,627,0.9882239103317261,0.0029565265867859125,0.00011807229868475368
xglm_large,facebook/xglm-2.9B,40,nouns,627,0.9857639074325562,0.0028885425999760628,0.00011535727977294365
xglm_large,facebook/xglm-2.9B,40,verbs,627,0.9840092062950134,0.004121808800846338,0.00016460918769685193
xglm_large,facebook/xglm-2.9B,40,nounsverbs,627,0.9880443215370178,0.0027383628766983747,0.00010935967933786227
xglm_large,facebook/xglm-2.9B,40,nounsverbsadj,627,0.9880658984184265,0.0028418099973350763,0.00011349095939483368
xglm_large,facebook/xglm-2.9B,40,functionwords,627,0.9841700196266174,0.0034290472976863384,0.00013694295818145018
xglm_large,facebook/xglm-2.9B,40,paraphrase,627,0.987784206867218,0.003139238804578781,0.00012536912180449635
xglm_large,facebook/xglm-2.9B,40,1LocalWordSwap,627,0.9896972179412842,0.004783902317285538,0.00019105065579649557
xglm_large,facebook/xglm-2.9B,40,2LocalWordSwap,627,0.9895345568656921,0.004574265796691179,0.0001826785795954971
xglm_large,facebook/xglm-2.9B,40,3LocalWordSwaps,627,0.9891800284385681,0.004539991728961468,0.000181309805176146
xglm_large,facebook/xglm-2.9B,40,4LocalWordSwaps,627,0.9891345500946045,0.004503859672695398,0.00017986682984197879
xglm_large,facebook/xglm-2.9B,40,5LocalWordSwaps,627,0.9888264536857605,0.004495545290410519,0.00017953478539735676
xglm_large,facebook/xglm-2.9B,40,Reversed,627,0.9865418672561646,0.004515386186540127,0.0001803271544646463
xglm_large,facebook/xglm-2.9B,40,functionwords,627,0.9841456413269043,0.0035081873647868633,0.00014010350802476577
xglm_large,facebook/xglm-2.9B,40,paraphrase,627,0.9878429174423218,0.0033282130025327206,0.00013291602432323398
xglm_large,facebook/xglm-2.9B,40,1LocalWordSwap,627,0.9992950558662415,0.0007983134128153324,3.188156674905709e-05
xglm_large,facebook/xglm-2.9B,40,2LocalWordSwap,627,0.9985408186912537,0.001232743146829307,4.9231019157600714e-05
xglm_large,facebook/xglm-2.9B,40,3LocalWordSwaps,627,0.9977055788040161,0.0016488945111632347,6.585050379451032e-05
xglm_large,facebook/xglm-2.9B,40,4LocalWordSwaps,627,0.997516930103302,0.001796901342459023,7.176132728253386e-05
xglm_large,facebook/xglm-2.9B,40,5LocalWordSwaps,627,0.9969754219055176,0.0021353329066187143,8.527698207366901e-05
xglm_large,facebook/xglm-2.9B,40,Reversed,627,0.9918575286865234,0.0035391871351748705,0.00014134151960388391
