model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
xglm_med,facebook/xglm-1.7B,16,contentwords,627,0.9941371083259583,0.0012335655046626925,4.926386096601306e-05
xglm_med,facebook/xglm-1.7B,16,nouns,627,0.9925832748413086,0.0010523312957957387,4.2026063837154184e-05
xglm_med,facebook/xglm-1.7B,16,verbs,627,0.9901212453842163,0.0014960381668061018,5.9746009409964514e-05
xglm_med,facebook/xglm-1.7B,16,nounsverbs,627,0.9938894510269165,0.0010708981426432729,4.276755227714124e-05
xglm_med,facebook/xglm-1.7B,16,nounsverbsadj,627,0.9940518736839294,0.0011506343726068735,4.5951910571883744e-05
xglm_med,facebook/xglm-1.7B,16,functionwords,627,0.9913888573646545,0.0010854373686015606,4.334819303229788e-05
xglm_med,facebook/xglm-1.7B,16,paraphrase,627,0.9939385652542114,0.0012939280131831765,5.167450735331297e-05
xglm_med,facebook/xglm-1.7B,16,1LocalWordSwap,627,0.994950532913208,0.0021690179128199816,8.662223164158092e-05
xglm_med,facebook/xglm-1.7B,16,2LocalWordSwap,627,0.9993410706520081,0.00043654628098011017,1.7433979152420308e-05
xglm_med,facebook/xglm-1.7B,16,3LocalWordSwaps,627,0.9989669919013977,0.0006497789290733635,2.594967085211098e-05
xglm_med,facebook/xglm-1.7B,16,4LocalWordSwaps,627,0.9988881349563599,0.0006956283468753099,2.7780720225192597e-05
xglm_med,facebook/xglm-1.7B,16,5LocalWordSwaps,627,0.9986507892608643,0.0008398979553021491,3.354229340821085e-05
xglm_med,facebook/xglm-1.7B,16,Reversed,627,0.9961739778518677,0.0014393108431249857,5.748053832128918e-05
