model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
xglm_small,facebook/xglm-564M,10,contentwords,627,0.9845287203788757,0.0030572758987545967,0.00012209583864147768
xglm_small,facebook/xglm-564M,10,nouns,627,0.9280341267585754,0.009736673906445503,0.00038884530070391275
xglm_small,facebook/xglm-564M,10,verbs,627,0.8544898629188538,0.01659913919866085,0.0006629057658854758
xglm_small,facebook/xglm-564M,10,nounsverbs,627,0.9694304466247559,0.005088902078568935,0.00020323117298649357
xglm_small,facebook/xglm-564M,10,nounsverbsadj,627,0.9814410209655762,0.0034559292253106833,0.00013801651896113999
xglm_small,facebook/xglm-564M,10,functionwords,627,0.8872255086898804,0.010968130081892014,0.00043802492317521696
xglm_small,facebook/xglm-564M,10,paraphrase,627,0.9952621459960938,0.0017059578094631433,6.812939241703021e-05
xglm_small,facebook/xglm-564M,10,1LocalWordSwap,627,0.9966537952423096,0.0014368367847055197,5.7381733945244564e-05
xglm_small,facebook/xglm-564M,10,2LocalWordSwap,627,0.9966259598731995,0.0013797952560707927,5.510371471940829e-05
xglm_small,facebook/xglm-564M,10,3LocalWordSwaps,627,0.9965649843215942,0.0013427207013592124,5.362309962293835e-05
xglm_small,facebook/xglm-564M,10,4LocalWordSwaps,627,0.9965404868125916,0.0013376905117183924,5.3422213198860046e-05
xglm_small,facebook/xglm-564M,10,5LocalWordSwaps,627,0.9964876174926758,0.0013098967028781772,5.2312235391240737e-05
xglm_small,facebook/xglm-564M,10,Reversed,627,0.9958373308181763,0.0011625946499407291,4.6429558039701944e-05
