model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
xglm_xl,facebook/xglm-4.5B,48,contentwords,627,0.8186603784561157,0.05980591103434563,0.0023884180248274537
xglm_xl,facebook/xglm-4.5B,48,nouns,627,0.8001922965049744,0.06114713102579117,0.002441981191869384
xglm_xl,facebook/xglm-4.5B,48,verbs,627,0.8032796382904053,0.062089040875434875,0.0024795974479173786
xglm_xl,facebook/xglm-4.5B,48,nounsverbs,627,0.8173490166664124,0.05942818894982338,0.0023733332577961443
xglm_xl,facebook/xglm-4.5B,48,nounsverbsadj,627,0.8168540596961975,0.058402661234140396,0.0023323776258404546
xglm_xl,facebook/xglm-4.5B,48,functionwords,627,0.8071189522743225,0.06479448825120926,0.002587642608767964
xglm_xl,facebook/xglm-4.5B,48,paraphrase,627,0.7941474914550781,0.06593793630599976,0.0026333075254506497
xglm_xl,facebook/xglm-4.5B,48,1LocalWordSwap,627,0.8346213698387146,0.08371447771787643,0.0033432342064911753
xglm_xl,facebook/xglm-4.5B,48,2LocalWordSwap,627,0.8387123942375183,0.07780702412128448,0.003107313234685744
xglm_xl,facebook/xglm-4.5B,48,3LocalWordSwaps,627,0.8392987251281738,0.07436247915029526,0.0029697513590491572
xglm_xl,facebook/xglm-4.5B,48,4LocalWordSwaps,627,0.8403655290603638,0.07375555485486984,0.002945513137411378
xglm_xl,facebook/xglm-4.5B,48,5LocalWordSwaps,627,0.8396666646003723,0.07213947921991348,0.00288097329328464
xglm_xl,facebook/xglm-4.5B,48,Reversed,627,0.834109365940094,0.06476304680109024,0.0025863869581994464
xglm_xl,facebook/xglm-4.5B,48,3LocalWordSwaps,627,0.9603880643844604,0.024426860734820366,0.000975514852294287
xglm_xl,facebook/xglm-4.5B,48,4LocalWordSwaps,627,0.9579535722732544,0.02701411210000515,0.0010788397191593367
xglm_xl,facebook/xglm-4.5B,48,5LocalWordSwaps,627,0.9511995911598206,0.029919961467385292,0.0011948881646465803
xglm_xl,facebook/xglm-4.5B,48,Reversed,627,0.895308256149292,0.046566978096961975,0.0018597059709475282
