model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
xlm_align,microsoft/xlm-align-base,7,contentwords,627,0.9243408441543579,0.01563442125916481,0.0006243786424671316
xlm_align,microsoft/xlm-align-base,7,nouns,627,0.882217526435852,0.024154718965291977,0.0009646465568965835
xlm_align,microsoft/xlm-align-base,7,verbs,627,0.8096014857292175,0.060804083943367004,0.0024282812110337803
xlm_align,microsoft/xlm-align-base,7,nounsverbs,627,0.9149640798568726,0.016583604738116264,0.0006622853792894192
xlm_align,microsoft/xlm-align-base,7,nounsverbsadj,627,0.9213133454322815,0.015086142346262932,0.0006024824918097892
xlm_align,microsoft/xlm-align-base,7,functionwords,627,0.8181878328323364,0.039374709129333496,0.0015724744156615322
xlm_align,microsoft/xlm-align-base,7,paraphrase,627,0.9425397515296936,0.0114522660151124,0.0004573594499698372
xlm_align,microsoft/xlm-align-base,7,1LocalWordSwap,627,0.9488307237625122,0.01999482698738575,0.0007985164736066473
xlm_align,microsoft/xlm-align-base,7,2LocalWordSwap,627,0.9461541175842285,0.01957819052040577,0.0007818776158361512
xlm_align,microsoft/xlm-align-base,7,3LocalWordSwaps,627,0.9431721568107605,0.019389890134334564,0.0007743576227719847
xlm_align,microsoft/xlm-align-base,7,4LocalWordSwaps,627,0.9418936371803284,0.019956573843955994,0.0007969887902105784
xlm_align,microsoft/xlm-align-base,7,5LocalWordSwaps,627,0.9399659633636475,0.020574960857629776,0.0008216847887203157
xlm_align,microsoft/xlm-align-base,7,Reversed,627,0.9096996784210205,0.026358583942055702,0.0010526604462220972
