model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
xlmr_base,xlm-roberta-base,9,contentwords,627,0.9528308510780334,0.01048403698951006,0.0004186921072788832
xlmr_base,xlm-roberta-base,9,nouns,627,0.9270712733268738,0.01349452044814825,0.000538919235863666
xlmr_base,xlm-roberta-base,9,verbs,627,0.8966273665428162,0.026252182200551033,0.0010484111699735198
xlmr_base,xlm-roberta-base,9,nounsverbs,627,0.9466831088066101,0.011098901741206646,0.0004432474401947184
xlmr_base,xlm-roberta-base,9,nounsverbsadj,627,0.9504318833351135,0.01055209245532751,0.00042140998078729077
xlmr_base,xlm-roberta-base,9,functionwords,627,0.8954957127571106,0.018783152103424072,0.0007501268398224078
xlmr_base,xlm-roberta-base,9,paraphrase,627,0.9665998220443726,0.007084497716277838,0.0002829275860824124
xlmr_base,xlm-roberta-base,9,1LocalWordSwap,627,0.9687777161598206,0.012142372317612171,0.0004849196409849178
xlmr_base,xlm-roberta-base,9,2LocalWordSwap,627,0.9658576846122742,0.012096780352294445,0.0004830988732736855
xlmr_base,xlm-roberta-base,9,3LocalWordSwaps,627,0.9631001353263855,0.012042021378874779,0.00048091201052258606
xlmr_base,xlm-roberta-base,9,4LocalWordSwaps,627,0.9623217582702637,0.01219958160072565,0.0004872043596793161
xlmr_base,xlm-roberta-base,9,5LocalWordSwaps,627,0.9609365463256836,0.012444200925529003,0.0004969735145082747
xlmr_base,xlm-roberta-base,9,Reversed,627,0.944840669631958,0.01366506703197956,0.0005457302103618475
