model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
xlmr_large,xlm-roberta-large,14,contentwords,627,0.9576403498649597,0.010254009626805782,0.0004095056992836784
xlmr_large,xlm-roberta-large,14,nouns,627,0.942808985710144,0.011601272039115429,0.000463310177370885
xlmr_large,xlm-roberta-large,14,verbs,627,0.9374106526374817,0.013996724039316177,0.0005589753154138916
xlmr_large,xlm-roberta-large,14,nounsverbs,627,0.9546396732330322,0.010891585610806942,0.00043496803145199784
xlmr_large,xlm-roberta-large,14,nounsverbsadj,627,0.9563782811164856,0.009482531808316708,0.00037869584294062086
xlmr_large,xlm-roberta-large,14,functionwords,627,0.9349096417427063,0.014965641312301159,0.0005976701440577524
xlmr_large,xlm-roberta-large,14,paraphrase,627,0.9684980511665344,0.006321034859865904,0.000252437816492692
xlmr_large,xlm-roberta-large,14,1LocalWordSwap,627,0.9698237180709839,0.011793790385127068,0.0004709986195293884
xlmr_large,xlm-roberta-large,14,2LocalWordSwap,627,0.967633843421936,0.011990679427981377,0.00047886161050655446
xlmr_large,xlm-roberta-large,14,3LocalWordSwaps,627,0.9653592705726624,0.012222371995449066,0.00048811452037428614
xlmr_large,xlm-roberta-large,14,4LocalWordSwaps,627,0.964939534664154,0.01224811002612114,0.0004891423983100548
xlmr_large,xlm-roberta-large,14,5LocalWordSwaps,627,0.96399986743927,0.012704147957265377,0.0005073547989893856
xlmr_large,xlm-roberta-large,14,Reversed,627,0.9513229727745056,0.014123804867267609,0.0005640504348266681
