step,feature_name,r2
0,log-prob-gpt2-xl_mean,0.8958486844293465
0,rating_gram_mean,0.8673200701647199
0,rating_frequency_mean,0.8850347570477397
0,rating_conversational_mean,0.9043816454951255
0,dep_length_mean,0.9096520041652941
0,avg_word_freq_zipf,0.9781515351509543
0,avg_word_length,0.973485685740411
1,log-prob-gpt2-xl_mean,0.8886273748506889
1,rating_gram_mean,0.8607164661119338
1,rating_frequency_mean,0.8756551217102633
1,rating_conversational_mean,0.9027267229545558
1,dep_length_mean,0.9082465133346818
1,avg_word_freq_zipf,0.9781517717772209
1,avg_word_length,0.973436537550021
8,log-prob-gpt2-xl_mean,0.8633925170349052
8,rating_gram_mean,0.8118618334629712
8,rating_frequency_mean,0.8320358265412382
8,rating_conversational_mean,0.8767983339844836
8,dep_length_mean,0.9018002190019047
8,avg_word_freq_zipf,0.9772965673841688
8,avg_word_length,0.9728858548187498
15,log-prob-gpt2-xl_mean,0.8530647995612537
15,rating_gram_mean,0.7751306833036051
15,rating_frequency_mean,0.8025639899280738
15,rating_conversational_mean,0.8651385127287863
15,dep_length_mean,0.8997376968340428
15,avg_word_freq_zipf,0.9760736202615822
15,avg_word_length,0.9722805807435996
22,log-prob-gpt2-xl_mean,0.8436294358165985
22,rating_gram_mean,0.7586040018461471
22,rating_frequency_mean,0.7910127445843773
22,rating_conversational_mean,0.847369133100457
22,dep_length_mean,0.897772430993405
22,avg_word_freq_zipf,0.975464501854703
22,avg_word_length,0.9718643778464483
29,log-prob-gpt2-xl_mean,0.8359511077202264
29,rating_gram_mean,0.7375776102433704
29,rating_frequency_mean,0.7778766872680059
29,rating_conversational_mean,0.8396733537218759
29,dep_length_mean,0.895139492624177
29,avg_word_freq_zipf,0.9742208021604536
29,avg_word_length,0.9706872420447665
36,log-prob-gpt2-xl_mean,0.8283966714545201
36,rating_gram_mean,0.7158890145846505
36,rating_frequency_mean,0.7607109071720153
36,rating_conversational_mean,0.8280956328388287
36,dep_length_mean,0.8929685542296635
36,avg_word_freq_zipf,0.9738232721879428
36,avg_word_length,0.9699878470716596
43,log-prob-gpt2-xl_mean,0.8217359347956547
43,rating_gram_mean,0.6878876417275379
43,rating_frequency_mean,0.7395087998034593
43,rating_conversational_mean,0.8190987933592387
43,dep_length_mean,0.8855531095242787
43,avg_word_freq_zipf,0.9736073231713237
43,avg_word_length,0.9687826309443485
50,log-prob-gpt2-xl_mean,0.8121718690738439
50,rating_gram_mean,0.663215294454254
50,rating_frequency_mean,0.723999931558768
50,rating_conversational_mean,0.8079967942564098
50,dep_length_mean,0.8845151059302248
50,avg_word_freq_zipf,0.9727970198733927
50,avg_word_length,0.9682235258374055
57,log-prob-gpt2-xl_mean,0.8025745123005723
57,rating_gram_mean,0.6464977326936763
57,rating_frequency_mean,0.7145449572277932
57,rating_conversational_mean,0.7972863203928879
57,dep_length_mean,0.8764744377976424
57,avg_word_freq_zipf,0.9721577658369667
57,avg_word_length,0.9672820087367777
64,log-prob-gpt2-xl_mean,0.8003279801040172
64,rating_gram_mean,0.631336197480496
64,rating_frequency_mean,0.7037654144200112
64,rating_conversational_mean,0.7907454250180844
64,dep_length_mean,0.8726910845849043
64,avg_word_freq_zipf,0.9716486597641395
64,avg_word_length,0.9662045731367698
71,log-prob-gpt2-xl_mean,0.7919062563937301
71,rating_gram_mean,0.6219992577150657
71,rating_frequency_mean,0.6978725120792932
71,rating_conversational_mean,0.7873974662529288
71,dep_length_mean,0.8702943402985748
71,avg_word_freq_zipf,0.9693617390003487
71,avg_word_length,0.9654736724887005
78,log-prob-gpt2-xl_mean,0.786511503666854
78,rating_gram_mean,0.6128135729150703
78,rating_frequency_mean,0.6937262240529825
78,rating_conversational_mean,0.7842001870109722
78,dep_length_mean,0.8683872878776095
