step,feature_name,r2
0,log-prob-gpt2-xl_mean,0.8958486844293465
0,rating_gram_mean,0.8673200701647199
0,rating_frequency_mean,0.8850347570477397
0,rating_conversational_mean,0.9043816454951255
0,dep_length_mean,0.9096520041652941
0,avg_word_freq_zipf,0.9781515351509543
0,avg_word_length,0.973485685740411
1,log-prob-gpt2-xl_mean,0.8046117058584119
1,rating_gram_mean,0.8497446100386633
1,rating_frequency_mean,0.8578761308379413
1,rating_conversational_mean,0.8949898047280992
1,dep_length_mean,0.908529651185786
1,avg_word_freq_zipf,0.9781522734189692
1,avg_word_length,0.9734366642518729
2,log-prob-gpt2-xl_mean,0.8018824768244233
2,rating_gram_mean,0.7625643711522403
2,rating_frequency_mean,0.8503093013025046
2,rating_conversational_mean,0.8893726853510443
2,dep_length_mean,0.9072785880640205
2,avg_word_freq_zipf,0.977850636408014
2,avg_word_length,0.9733109211143879
3,log-prob-gpt2-xl_mean,0.7953885537877706
3,rating_gram_mean,0.7562036119132578
3,rating_frequency_mean,0.7787970434453515
3,rating_conversational_mean,0.8739229428875679
3,dep_length_mean,0.9071660038516975
3,avg_word_freq_zipf,0.9771601769079333
3,avg_word_length,0.9732952314419967
4,log-prob-gpt2-xl_mean,0.7940299925348491
4,rating_gram_mean,0.7507617601768753
4,rating_frequency_mean,0.7669048701918001
4,rating_conversational_mean,0.8233139688616833
4,dep_length_mean,0.9071712900933311
4,avg_word_freq_zipf,0.9765304980451643
4,avg_word_length,0.9731846724199321
5,log-prob-gpt2-xl_mean,0.7939649911653417
5,rating_gram_mean,0.7507636987649349
5,rating_frequency_mean,0.7667931193878162
5,rating_conversational_mean,0.8227372627318483
5,dep_length_mean,0.8178545717736495
5,avg_word_freq_zipf,0.9765209369848645
5,avg_word_length,0.9731842620563913
6,log-prob-gpt2-xl_mean,0.7932730425953483
6,rating_gram_mean,0.7507576984066673
6,rating_frequency_mean,0.7660107574610333
6,rating_conversational_mean,0.8201931755500854
6,dep_length_mean,0.8174998027713801
6,avg_word_freq_zipf,0.9578257196038397
6,avg_word_length,0.9720087614696198
7,log-prob-gpt2-xl_mean,0.7932587799458435
7,rating_gram_mean,0.7498071325208832
7,rating_frequency_mean,0.7659120923099523
7,rating_conversational_mean,0.8188444402648721
7,dep_length_mean,0.8174003879750511
7,avg_word_freq_zipf,0.957018956481454
7,avg_word_length,0.9418463826377226
8,log-prob-gpt2-xl_mean,0.7394903149557974
8,rating_gram_mean,0.747803924131823
8,rating_frequency_mean,0.7635062825522441
8,rating_conversational_mean,0.8173457126969275
8,dep_length_mean,0.8173463178827868
8,avg_word_freq_zipf,0.9570168809765016
8,avg_word_length,0.9418481519684425
9,log-prob-gpt2-xl_mean,0.7338764907095605
9,rating_gram_mean,0.6878957466422957
9,rating_frequency_mean,0.7571678971793117
9,rating_conversational_mean,0.8124369583565673
9,dep_length_mean,0.8170045678656597
9,avg_word_freq_zipf,0.9569159228139176
9,avg_word_length,0.9418009304615018
10,log-prob-gpt2-xl_mean,0.7305098444305211
10,rating_gram_mean,0.6860567293617414
10,rating_frequency_mean,0.708565511932667
10,rating_conversational_mean,0.8024745870151445
10,dep_length_mean,0.8157004766638759
10,avg_word_freq_zipf,0.9551352375424816
10,avg_word_length,0.9417463661012538
11,log-prob-gpt2-xl_mean,0.7290892330050753
11,rating_gram_mean,0.6818111006327028
11,rating_frequency_mean,0.6985379697712177
11,rating_conversational_mean,0.7623110982049154
11,dep_length_mean,0.8155592456055523
11,avg_word_freq_zipf,0.9548173611829853
11,avg_word_length,0.9415736170564216
12,log-prob-gpt2-xl_mean,0.7287813644198551
12,rating_gram_mean,0.681738280195805
12,rating_frequency_mean,0.6984529755914466
12,rating_conversational_mean,0.7620805731229069
12,dep_length_mean,0.7523948262096414
