step,feature_name,r2
0,log-prob-gpt2-xl_mean,0.9296477324647847
0,rating_gram_mean,0.915628395698971
0,rating_frequency_mean,0.9226175917787645
0,rating_conversational_mean,0.9286405551025085
0,dep_length_mean,0.8987859775450162
0,avg_word_freq_zipf,0.9771953605659356
0,avg_word_length,0.9610903274829743
1,log-prob-gpt2-xl_mean,0.8746073025679197
1,rating_gram_mean,0.9138400534146452
1,rating_frequency_mean,0.9184516140869641
1,rating_conversational_mean,0.9280067455058145
1,dep_length_mean,0.8969056827810392
1,avg_word_freq_zipf,0.977178241727479
1,avg_word_length,0.9606003913228406
2,log-prob-gpt2-xl_mean,0.8689325413889087
2,rating_gram_mean,0.854528894819416
2,rating_frequency_mean,0.9126451390638365
2,rating_conversational_mean,0.9243909467982891
2,dep_length_mean,0.8969136172499816
2,avg_word_freq_zipf,0.9759557847001069
2,avg_word_length,0.9603213128876684
3,log-prob-gpt2-xl_mean,0.8560052904145964
3,rating_gram_mean,0.848171215698563
3,rating_frequency_mean,0.866039996230905
3,rating_conversational_mean,0.910443552067557
3,dep_length_mean,0.8957642501855663
3,avg_word_freq_zipf,0.9749694820606177
3,avg_word_length,0.9603215709530428
4,log-prob-gpt2-xl_mean,0.8559587498446187
4,rating_gram_mean,0.8437758552353242
4,rating_frequency_mean,0.8467046686671592
4,rating_conversational_mean,0.8747263948571129
4,dep_length_mean,0.8953781755433035
4,avg_word_freq_zipf,0.9716010206755386
4,avg_word_length,0.960001736456424
5,log-prob-gpt2-xl_mean,0.8559130136582223
5,rating_gram_mean,0.8431588567083352
5,rating_frequency_mean,0.8465341026496603
5,rating_conversational_mean,0.8747200013627598
5,dep_length_mean,0.8049093405743337
5,avg_word_freq_zipf,0.9714000875742601
5,avg_word_length,0.9598622903377191
6,log-prob-gpt2-xl_mean,0.8558736984603983
6,rating_gram_mean,0.8425882145240515
6,rating_frequency_mean,0.8446771208765236
6,rating_conversational_mean,0.8727251121235148
6,dep_length_mean,0.8034330688575266
6,avg_word_freq_zipf,0.9411817848990105
6,avg_word_length,0.9539313946010222
7,log-prob-gpt2-xl_mean,0.8552190505683915
7,rating_gram_mean,0.8421108942908198
7,rating_frequency_mean,0.8446516142586908
7,rating_conversational_mean,0.8703736818073734
7,dep_length_mean,0.8034382934315154
7,avg_word_freq_zipf,0.938571388632733
7,avg_word_length,0.9123235128135452
8,log-prob-gpt2-xl_mean,0.8084798043363052
8,rating_gram_mean,0.838082588623978
8,rating_frequency_mean,0.8400474663567531
8,rating_conversational_mean,0.8650914506162497
8,dep_length_mean,0.8032590959539494
8,avg_word_freq_zipf,0.9377202992894285
8,avg_word_length,0.911873297765423
9,log-prob-gpt2-xl_mean,0.8065844009525787
