step,feature_name,r2
0,log-prob-gpt2-xl_mean,0.9886332205794132
0,rating_gram_mean,0.9858778561277789
0,rating_frequency_mean,0.990799361285002
0,rating_conversational_mean,0.9931034494484817
0,dep_length_mean,0.9869745520990703
0,avg_word_freq_zipf,0.9985863840404656
0,avg_word_length,0.99762025908654
1,log-prob-gpt2-xl_mean,0.9864295036279288
1,rating_gram_mean,0.976258977094707
1,rating_frequency_mean,0.9874042678533478
1,rating_conversational_mean,0.9926077557123969
1,dep_length_mean,0.986876633739509
1,avg_word_freq_zipf,0.9985825521584276
1,avg_word_length,0.9976241018073704
8,log-prob-gpt2-xl_mean,0.9787992346660572
8,rating_gram_mean,0.9455594545681878
8,rating_frequency_mean,0.9699695053432144
8,rating_conversational_mean,0.9809410923989885
8,dep_length_mean,0.984631496228297
8,avg_word_freq_zipf,0.9984585836014799
8,avg_word_length,0.9968756099243158
15,log-prob-gpt2-xl_mean,0.9734913292830419
15,rating_gram_mean,0.9308152118000245
15,rating_frequency_mean,0.9557699378751703
15,rating_conversational_mean,0.9666893767259511
15,dep_length_mean,0.9839042153393973
15,avg_word_freq_zipf,0.9977938551690928
15,avg_word_length,0.9966456233413776
22,log-prob-gpt2-xl_mean,0.9691568159275918
22,rating_gram_mean,0.9181579926777859
22,rating_frequency_mean,0.946592859199537
22,rating_conversational_mean,0.9584128965427761
22,dep_length_mean,0.9823401956824329
22,avg_word_freq_zipf,0.9973074628669689
22,avg_word_length,0.99623482219118
29,log-prob-gpt2-xl_mean,0.9590465569663795
29,rating_gram_mean,0.898638404384154
29,rating_frequency_mean,0.935072081477036
29,rating_conversational_mean,0.950016771106976
29,dep_length_mean,0.981541861011515
29,avg_word_freq_zipf,0.9969389048490588
29,avg_word_length,0.9961176949276793
36,log-prob-gpt2-xl_mean,0.9533665387611934
36,rating_gram_mean,0.8815356806788865
36,rating_frequency_mean,0.9193397428968142
36,rating_conversational_mean,0.9421261678642849
36,dep_length_mean,0.9810025102482081
36,avg_word_freq_zipf,0.9964934568408045
36,avg_word_length,0.9956768700013682
43,log-prob-gpt2-xl_mean,0.9524248530415613
43,rating_gram_mean,0.8632375027638696
43,rating_frequency_mean,0.9099907498050382
43,rating_conversational_mean,0.9372587493495377
43,dep_length_mean,0.9793616894781827
43,avg_word_freq_zipf,0.9958985737100365
43,avg_word_length,0.9951260097843679
50,log-prob-gpt2-xl_mean,0.9467582195460575
50,rating_gram_mean,0.8555383475410779
50,rating_frequency_mean,0.8972425533903088
50,rating_conversational_mean,0.9301199589012411
50,dep_length_mean,0.9776351820597631
50,avg_word_freq_zipf,0.9952291378710074
50,avg_word_length,0.9946724105705285
57,log-prob-gpt2-xl_mean,0.9402251512958735
57,rating_gram_mean,0.8417369909195007
57,rating_frequency_mean,0.8847681420394401
57,rating_conversational_mean,0.9252481302875106
57,dep_length_mean,0.9720428020532087
57,avg_word_freq_zipf,0.9944364734763472
57,avg_word_length,0.9942649476604111
64,log-prob-gpt2-xl_mean,0.9354084926061932
64,rating_gram_mean,0.8286786071021339
64,rating_frequency_mean,0.8734470459597269
64,rating_conversational_mean,0.917220254804366
64,dep_length_mean,0.9672418435850443
64,avg_word_freq_zipf,0.9938898513066645
64,avg_word_length,0.9936794982279618
71,log-prob-gpt2-xl_mean,0.931090526908095
71,rating_gram_mean,0.817652811796425
71,rating_frequency_mean,0.869886259619767
71,rating_conversational_mean,0.9107290799485589
71,dep_length_mean,0.9660847072151295
71,avg_word_freq_zipf,0.9932211766215645
71,avg_word_length,0.9930925213051247
78,log-prob-gpt2-xl_mean,0.9283697398945415
78,rating_gram_mean,0.801201626472584
78,rating_frequency_mean,0.8637293703619573
78,rating_conversational_mean,0.9055325356996833
78,dep_length_mean,0.9646123995849479
78,avg_word_freq_zipf,0.9922008509440209
78,avg_word_length,0.9924811241277884
85,log-prob-gpt2-xl_mean,0.9224486020951796
85,rating_gram_mean,0.7915196982982555
85,rating_frequency_mean,0.8577241391303959
85,rating_conversational_mean,0.9000101538143219
85,dep_length_mean,0.962600010936624
85,avg_word_freq_zipf,0.9920206328568988
85,avg_word_length,0.991635137136105
92,log-prob-gpt2-xl_mean,0.9197437496176666
92,rating_gram_mean,0.7791695261799758
92,rating_frequency_mean,0.8507279193116679
92,rating_conversational_mean,0.8972845951882503
92,dep_length_mean,0.960302353799432
92,avg_word_freq_zipf,0.9911484804206281
92,avg_word_length,0.9914816246910247
99,log-prob-gpt2-xl_mean,0.9186324774266357
99,rating_gram_mean,0.7761347853442718
99,rating_frequency_mean,0.8426908346018585
99,rating_conversational_mean,0.8914712866279844
99,dep_length_mean,0.9586817575554455
99,avg_word_freq_zipf,0.9909994885451198
99,avg_word_length,0.9906574588667152
106,log-prob-gpt2-xl_mean,0.9143401248262168
106,rating_gram_mean,0.7607932915912445
106,rating_frequency_mean,0.8301578760427086
106,rating_conversational_mean,0.8828050847879834
106,dep_length_mean,0.9569131871359017
106,avg_word_freq_zipf,0.9903622302942301
106,avg_word_length,0.9903915251075581
113,log-prob-gpt2-xl_mean,0.9100213728220227
113,rating_gram_mean,0.7489263136535877
113,rating_frequency_mean,0.8182474444768227
113,rating_conversational_mean,0.8732654354580065
113,dep_length_mean,0.9546378756630053
113,avg_word_freq_zipf,0.9895957007356517
113,avg_word_length,0.9897109048831904
120,log-prob-gpt2-xl_mean,0.9054462788552817
120,rating_gram_mean,0.7318477725995021
120,rating_frequency_mean,0.8068949489428031
120,rating_conversational_mean,0.8641292085451022
120,dep_length_mean,0.9477200233395372
120,avg_word_freq_zipf,0.9888160907250706
120,avg_word_length,0.9891399318726437
127,log-prob-gpt2-xl_mean,0.9014540018736122
127,rating_gram_mean,0.7257659267755217
127,rating_frequency_mean,0.8033415675438444
127,rating_conversational_mean,0.8595092744620159
127,dep_length_mean,0.9471311806887164
127,avg_word_freq_zipf,0.9882354294541695
