step,feature_name,r2
0,log-prob-gpt2-xl_mean,0.9925319737689741
0,rating_gram_mean,0.9898576201373634
0,rating_frequency_mean,0.9929455140887821
0,rating_conversational_mean,0.9943009548893533
0,dep_length_mean,0.9888520309873997
0,avg_word_freq_zipf,0.9980728242469932
0,avg_word_length,0.9975235668878085
1,log-prob-gpt2-xl_mean,0.9442855524038736
1,rating_gram_mean,0.9825913095413951
1,rating_frequency_mean,0.9868464281261252
1,rating_conversational_mean,0.9929932410895891
1,dep_length_mean,0.9862017589438552
1,avg_word_freq_zipf,0.9979410819369515
1,avg_word_length,0.9974859181056778
2,log-prob-gpt2-xl_mean,0.9407069776990123
2,rating_gram_mean,0.9459563575146921
2,rating_frequency_mean,0.9851940249113335
2,rating_conversational_mean,0.9904076080657216
2,dep_length_mean,0.986200555614762
2,avg_word_freq_zipf,0.9977285307126899
2,avg_word_length,0.9971336425017814
3,log-prob-gpt2-xl_mean,0.9375787007686468
3,rating_gram_mean,0.9442256408569226
3,rating_frequency_mean,0.9531035467987987
3,rating_conversational_mean,0.9849323457302387
3,dep_length_mean,0.9860184912533115
3,avg_word_freq_zipf,0.9974997600325999
3,avg_word_length,0.9971257452503791
4,log-prob-gpt2-xl_mean,0.9365172877979174
4,rating_gram_mean,0.9422698754203056
4,rating_frequency_mean,0.9465359194998563
4,rating_conversational_mean,0.954030014082329
4,dep_length_mean,0.9859900138847787
4,avg_word_freq_zipf,0.9973747136047312
4,avg_word_length,0.9971255725595662
5,log-prob-gpt2-xl_mean,0.9359622123445928
5,rating_gram_mean,0.9422066807864508
5,rating_frequency_mean,0.9463848505915958
5,rating_conversational_mean,0.954026998922358
5,dep_length_mean,0.9314237104845141
5,avg_word_freq_zipf,0.9973235531548795
5,avg_word_length,0.9971236197621718
6,log-prob-gpt2-xl_mean,0.9359244618135704
6,rating_gram_mean,0.9421897097750045
6,rating_frequency_mean,0.9458606900384517
6,rating_conversational_mean,0.9536923350764615
6,dep_length_mean,0.9314081988498956
6,avg_word_freq_zipf,0.9868191253958513
6,avg_word_length,0.9951644754747839
7,log-prob-gpt2-xl_mean,0.9357512452420595
7,rating_gram_mean,0.9422209924367352
7,rating_frequency_mean,0.9458634964992361
7,rating_conversational_mean,0.9533226888352629
7,dep_length_mean,0.9305073336492289
7,avg_word_freq_zipf,0.9842741503979543
7,avg_word_length,0.9790999820116458
8,log-prob-gpt2-xl_mean,0.8966574800989998
8,rating_gram_mean,0.9392099192155743
8,rating_frequency_mean,0.9410234081943056
8,rating_conversational_mean,0.9529979332286457
8,dep_length_mean,0.930477535475927
8,avg_word_freq_zipf,0.9842551880203907
8,avg_word_length,0.9789476166144886
9,log-prob-gpt2-xl_mean,0.8958139479204899
9,rating_gram_mean,0.9017882342674745
9,rating_frequency_mean,0.9381737404825149
9,rating_conversational_mean,0.9498884753534498
9,dep_length_mean,0.9304672931786382
9,avg_word_freq_zipf,0.9839765955345404
9,avg_word_length,0.9785676161667859
10,log-prob-gpt2-xl_mean,0.8928561024228159
10,rating_gram_mean,0.8999745199012654
10,rating_frequency_mean,0.9051983154848711
10,rating_conversational_mean,0.9427893549987048
10,dep_length_mean,0.9283827597117738
10,avg_word_freq_zipf,0.9829512794438425
10,avg_word_length,0.9783651314199714
11,log-prob-gpt2-xl_mean,0.8923841241950831
11,rating_gram_mean,0.8970492712274759
11,rating_frequency_mean,0.9006148262816019
11,rating_conversational_mean,0.9197633593308858
11,dep_length_mean,0.9282890928227678
11,avg_word_freq_zipf,0.9821499872477787
11,avg_word_length,0.9782545224907411
12,log-prob-gpt2-xl_mean,0.892263877762199
12,rating_gram_mean,0.8966166699286654
12,rating_frequency_mean,0.9002425757998802
12,rating_conversational_mean,0.9197229235060405
12,dep_length_mean,0.8745810094915648
12,avg_word_freq_zipf,0.9820694130398127
12,avg_word_length,0.9782604731604039
13,log-prob-gpt2-xl_mean,0.8922579330642865
13,rating_gram_mean,0.8963357143855362
13,rating_frequency_mean,0.8988660678407554
13,rating_conversational_mean,0.9176895016494073
13,dep_length_mean,0.87437248317826
13,avg_word_freq_zipf,0.9686201355602544
13,avg_word_length,0.975612583823911
14,log-prob-gpt2-xl_mean,0.8920808486018935
14,rating_gram_mean,0.8954459889238129
14,rating_frequency_mean,0.8988731653623033
14,rating_conversational_mean,0.917475497145633
14,dep_length_mean,0.8740622851719874
14,avg_word_freq_zipf,0.9662322559407214
14,avg_word_length,0.9586757208945018
15,log-prob-gpt2-xl_mean,0.8615709800717903
15,rating_gram_mean,0.894634842480159
15,rating_frequency_mean,0.8943413135601853
15,rating_conversational_mean,0.9168799686554924
15,dep_length_mean,0.8737286093324407
15,avg_word_freq_zipf,0.966215116751924
15,avg_word_length,0.9585815467766347
16,log-prob-gpt2-xl_mean,0.8604595887526891
16,rating_gram_mean,0.8570146843819918
16,rating_frequency_mean,0.8897921418243462
16,rating_conversational_mean,0.9135019859719263
16,dep_length_mean,0.8737224002168174
16,avg_word_freq_zipf,0.9662154891510927
16,avg_word_length,0.9585854882585665
17,log-prob-gpt2-xl_mean,0.8571120731230362
17,rating_gram_mean,0.8516186942509114
17,rating_frequency_mean,0.8641789420823549
17,rating_conversational_mean,0.9077776516209736
17,dep_length_mean,0.8735366547200213
17,avg_word_freq_zipf,0.9661792976878752
17,avg_word_length,0.9584648871360818
18,log-prob-gpt2-xl_mean,0.8562243351735171
18,rating_gram_mean,0.8487123035162852
18,rating_frequency_mean,0.8569831012339522
18,rating_conversational_mean,0.8834411889880083
18,dep_length_mean,0.8732855851624194
18,avg_word_freq_zipf,0.9649334516565076
18,avg_word_length,0.9580685965684856
19,log-prob-gpt2-xl_mean,0.8562201302218047
19,rating_gram_mean,0.8483228522241958
19,rating_frequency_mean,0.8565549939644057
19,rating_conversational_mean,0.8834403952389717
19,dep_length_mean,0.8268038261399668
