step,feature_name,r2
0,log-prob-pcfg_mean,0.9949061478316653
0,rating_gram_mean,0.9930658000832483
0,rating_frequency_mean,0.9916390129573016
0,rating_conversational_mean,0.992840564633633
0,dep_length_mean,0.9897951463565005
0,avg_word_freq_zipf,0.9981451374012067
0,avg_word_length,0.9970416020393584
1,log-prob-pcfg_mean,0.9750669834376268
1,rating_gram_mean,0.9907979058080094
1,rating_frequency_mean,0.9906694004451321
1,rating_conversational_mean,0.9923224238126243
1,dep_length_mean,0.9897969354220509
1,avg_word_freq_zipf,0.9980697985756227
1,avg_word_length,0.9967470781304668
2,log-prob-pcfg_mean,0.9745833157046351
2,rating_gram_mean,0.9431192705376186
2,rating_frequency_mean,0.985555197341517
2,rating_conversational_mean,0.989445976332246
2,dep_length_mean,0.989809599061698
2,avg_word_freq_zipf,0.9980551441675918
2,avg_word_length,0.9967140247836345
3,log-prob-pcfg_mean,0.9741401985590774
3,rating_gram_mean,0.9392788936703128
3,rating_frequency_mean,0.939274463573134
3,rating_conversational_mean,0.9772732294712095
3,dep_length_mean,0.9897404398495855
3,avg_word_freq_zipf,0.9979264747593469
3,avg_word_length,0.9964864304676896
4,log-prob-pcfg_mean,0.9740317176780936
4,rating_gram_mean,0.9354932134927884
4,rating_frequency_mean,0.9300662334512125
4,rating_conversational_mean,0.9467059490972519
4,dep_length_mean,0.9884101178748693
4,avg_word_freq_zipf,0.9973024354610847
4,avg_word_length,0.9963836582630897
5,log-prob-pcfg_mean,0.9739091724093855
5,rating_gram_mean,0.9349971041468997
5,rating_frequency_mean,0.9299563080283655
5,rating_conversational_mean,0.9466398450145286
5,dep_length_mean,0.922845527274691
5,avg_word_freq_zipf,0.9973037969159742
5,avg_word_length,0.9963572133254385
6,log-prob-pcfg_mean,0.9737009944360676
6,rating_gram_mean,0.9347663063606565
6,rating_frequency_mean,0.9278484598611033
6,rating_conversational_mean,0.9448527483913823
6,dep_length_mean,0.9226011662112971
6,avg_word_freq_zipf,0.9848950610743916
6,avg_word_length,0.9937916157648615
7,log-prob-pcfg_mean,0.9735899094719421
7,rating_gram_mean,0.9344761284620859
7,rating_frequency_mean,0.9273294046360749
7,rating_conversational_mean,0.9444380227988637
7,dep_length_mean,0.9215792514753227
7,avg_word_freq_zipf,0.9829785052274207
7,avg_word_length,0.9755766261567876
8,log-prob-pcfg_mean,0.9545079633690942
8,rating_gram_mean,0.9333689771639807
8,rating_frequency_mean,0.9271718409947666
8,rating_conversational_mean,0.9444010871820457
8,dep_length_mean,0.9212959555532818
8,avg_word_freq_zipf,0.9823125016256286
8,avg_word_length,0.9750122017427805
9,log-prob-pcfg_mean,0.9537732157431218
9,rating_gram_mean,0.8954895723883615
9,rating_frequency_mean,0.924369139282417
9,rating_conversational_mean,0.9428451160234911
9,dep_length_mean,0.9212129842828707
9,avg_word_freq_zipf,0.9822991172273172
9,avg_word_length,0.975010200863375
10,log-prob-pcfg_mean,0.9537164493710679
10,rating_gram_mean,0.8932164919152283
10,rating_frequency_mean,0.8933922396517853
10,rating_conversational_mean,0.9381406432350781
10,dep_length_mean,0.9211738204546498
10,avg_word_freq_zipf,0.9819284489558805
10,avg_word_length,0.9750081073019663
11,log-prob-pcfg_mean,0.9536593519594321
11,rating_gram_mean,0.8912653777067583
11,rating_frequency_mean,0.8872753537290499
11,rating_conversational_mean,0.911168397914105
11,dep_length_mean,0.9211597350147911
11,avg_word_freq_zipf,0.9816663164144472
11,avg_word_length,0.9748132983684878
12,log-prob-pcfg_mean,0.9535832088895589
12,rating_gram_mean,0.8912640911541346
12,rating_frequency_mean,0.887171948888879
12,rating_conversational_mean,0.9107858567856846
12,dep_length_mean,0.8657626902465272
12,avg_word_freq_zipf,0.9816700469449845
12,avg_word_length,0.9747744343156978
13,log-prob-pcfg_mean,0.9511287382534455
13,rating_gram_mean,0.89126082125927
13,rating_frequency_mean,0.8869477631198903
13,rating_conversational_mean,0.9104269506576795
13,dep_length_mean,0.8650225796548068
13,avg_word_freq_zipf,0.9701766050710458
13,avg_word_length,0.9731583172588725
