step,feature_name,r2
0,log-prob-gpt2-xl_mean,0.9911825559914473
0,rating_gram_mean,0.9868268417289557
0,rating_frequency_mean,0.9857200828742322
0,rating_conversational_mean,0.9887251459575898
0,dep_length_mean,0.9865925458345057
0,avg_word_freq_zipf,0.9969954752260014
0,avg_word_length,0.9967714092418047
1,log-prob-gpt2-xl_mean,0.9905821937568194
1,rating_gram_mean,0.9842262881545829
1,rating_frequency_mean,0.9848676719451515
1,rating_conversational_mean,0.9865825196820848
1,dep_length_mean,0.9866045880572052
1,avg_word_freq_zipf,0.9969642741880561
1,avg_word_length,0.9966541609174305
8,log-prob-gpt2-xl_mean,0.9843468454765857
8,rating_gram_mean,0.958605989133807
8,rating_frequency_mean,0.9540309749003263
8,rating_conversational_mean,0.9699073913248707
8,dep_length_mean,0.984967550304241
8,avg_word_freq_zipf,0.9965721608181312
8,avg_word_length,0.9961083459146102
15,log-prob-gpt2-xl_mean,0.9776548299931821
15,rating_gram_mean,0.9405740057683534
15,rating_frequency_mean,0.9307692263725494
15,rating_conversational_mean,0.9546236321667795
15,dep_length_mean,0.9815588244484906
15,avg_word_freq_zipf,0.9962261301616828
15,avg_word_length,0.9955596528140471
22,log-prob-gpt2-xl_mean,0.9735495471330412
22,rating_gram_mean,0.9206379035445827
22,rating_frequency_mean,0.9203923583831987
22,rating_conversational_mean,0.9472871288997543
22,dep_length_mean,0.9797125097289661
22,avg_word_freq_zipf,0.9956759899174308
22,avg_word_length,0.9954503405844252
29,log-prob-gpt2-xl_mean,0.965806836326243
29,rating_gram_mean,0.906423208365915
29,rating_frequency_mean,0.9091675992240035
29,rating_conversational_mean,0.9401790950999703
29,dep_length_mean,0.9786614300450928
29,avg_word_freq_zipf,0.9952842202043233
29,avg_word_length,0.9951265279490373
36,log-prob-gpt2-xl_mean,0.957947561071639
36,rating_gram_mean,0.8925767564642725
36,rating_frequency_mean,0.8942294467983591
36,rating_conversational_mean,0.9325883623231663
36,dep_length_mean,0.9774874230640285
36,avg_word_freq_zipf,0.99476116401624
36,avg_word_length,0.9946539867091267
43,log-prob-gpt2-xl_mean,0.9514870276511397
43,rating_gram_mean,0.8781093315473496
43,rating_frequency_mean,0.8857553342042523
43,rating_conversational_mean,0.924116977140049
