step,feature_name,r2
0,log-prob-pcfg_mean,0.9959711202452314
0,rating_gram_mean,0.9868268417289557
0,rating_frequency_mean,0.9857200828742322
0,rating_conversational_mean,0.9887251459575898
0,dep_length_mean,0.9865925458345057
0,avg_word_freq_zipf,0.9969954752260014
0,avg_word_length,0.9967714092418047
1,log-prob-pcfg_mean,0.9722879584244313
1,rating_gram_mean,0.986624661407854
1,rating_frequency_mean,0.984425141959607
1,rating_conversational_mean,0.9881681415526237
1,dep_length_mean,0.9862464970487299
1,avg_word_freq_zipf,0.9967988386221104
1,avg_word_length,0.996770891302383
2,log-prob-pcfg_mean,0.9714580482826156
2,rating_gram_mean,0.9356743161341619
2,rating_frequency_mean,0.9755872952409755
2,rating_conversational_mean,0.9828977899181338
2,dep_length_mean,0.9862385606113664
2,avg_word_freq_zipf,0.9967591839736382
2,avg_word_length,0.9966676190414697
3,log-prob-pcfg_mean,0.9711586036620906
3,rating_gram_mean,0.930804100513223
3,rating_frequency_mean,0.920273880356801
3,rating_conversational_mean,0.9713983097357491
3,dep_length_mean,0.9860745158742389
3,avg_word_freq_zipf,0.9964701529509022
3,avg_word_length,0.996664208844432
4,log-prob-pcfg_mean,0.9711468745725724
4,rating_gram_mean,0.9276016453562929
4,rating_frequency_mean,0.9066825208577061
4,rating_conversational_mean,0.930601625475184
4,dep_length_mean,0.9850635527151711
4,avg_word_freq_zipf,0.9961324259194629
4,avg_word_length,0.9965984386532861
5,log-prob-pcfg_mean,0.970773602573069
5,rating_gram_mean,0.9253833909447345
5,rating_frequency_mean,0.9052838289056828
5,rating_conversational_mean,0.9300049356315141
5,dep_length_mean,0.913905945369649
5,avg_word_freq_zipf,0.9954097897278972
5,avg_word_length,0.9964724718068437
6,log-prob-pcfg_mean,0.9707582385646256
6,rating_gram_mean,0.9252596710859917
6,rating_frequency_mean,0.9044967720262052
6,rating_conversational_mean,0.9297584157483818
6,dep_length_mean,0.9129457824084218
6,avg_word_freq_zipf,0.9852276091783488
6,avg_word_length,0.9955037358105479
7,log-prob-pcfg_mean,0.9707524951344748
7,rating_gram_mean,0.9251982320995085
7,rating_frequency_mean,0.904495265234389
7,rating_conversational_mean,0.9296187856320256
7,dep_length_mean,0.9129378113483586
7,avg_word_freq_zipf,0.984465326630502
7,avg_word_length,0.9820288893512138
8,log-prob-pcfg_mean,0.9519386749762985
8,rating_gram_mean,0.9242634379935626
8,rating_frequency_mean,0.9043068504949344
8,rating_conversational_mean,0.9296657464356816
8,dep_length_mean,0.9124554700458877
8,avg_word_freq_zipf,0.9844023481803615
8,avg_word_length,0.9820295206228451
9,log-prob-pcfg_mean,0.9516696083061637
9,rating_gram_mean,0.8862293060116136
9,rating_frequency_mean,0.9009508424533014
9,rating_conversational_mean,0.9282862035550442
9,dep_length_mean,0.9118963832233655
9,avg_word_freq_zipf,0.9844016762979151
9,avg_word_length,0.9820122254141699
10,log-prob-pcfg_mean,0.9507477220833898
10,rating_gram_mean,0.8852694876533753
10,rating_frequency_mean,0.8590770874828035
10,rating_conversational_mean,0.9215874319581701
10,dep_length_mean,0.9118961173483451
10,avg_word_freq_zipf,0.9839480513014963
10,avg_word_length,0.9819991679752562
11,log-prob-pcfg_mean,0.9500349418880248
11,rating_gram_mean,0.8838249102314222
11,rating_frequency_mean,0.8479668267947689
11,rating_conversational_mean,0.8864738000691286
11,dep_length_mean,0.9109658453446761
11,avg_word_freq_zipf,0.9837033600062906
11,avg_word_length,0.9819916348703909
12,log-prob-pcfg_mean,0.9500255061147981
12,rating_gram_mean,0.8836484261888904
12,rating_frequency_mean,0.8477279085465645
12,rating_conversational_mean,0.8864569504204232
12,dep_length_mean,0.8653377678134488
12,avg_word_freq_zipf,0.9836580263858792
12,avg_word_length,0.9818821302547119
13,log-prob-pcfg_mean,0.949719968331455
13,rating_gram_mean,0.883647365889025
13,rating_frequency_mean,0.845998003342127
13,rating_conversational_mean,0.8855969176599428
13,dep_length_mean,0.8651106521789169
13,avg_word_freq_zipf,0.9738668143467054
13,avg_word_length,0.9807862183965127
14,log-prob-pcfg_mean,0.949498241360326
14,rating_gram_mean,0.8836358933984069
14,rating_frequency_mean,0.8459990009187813
14,rating_conversational_mean,0.8853324490066227
14,dep_length_mean,0.8648833347641044
14,avg_word_freq_zipf,0.9724270566609803
14,avg_word_length,0.9671734138571871
15,log-prob-pcfg_mean,0.9323480739371683
15,rating_gram_mean,0.8805480919395894
15,rating_frequency_mean,0.8444351460201208
15,rating_conversational_mean,0.8837727637663519
15,dep_length_mean,0.8648165606224427
15,avg_word_freq_zipf,0.9723687212073366
15,avg_word_length,0.9671283181996759
16,log-prob-pcfg_mean,0.9322000421920067
