step,feature_name,r2
0,log-prob-gpt2-xl_mean,0.999987873547485
0,rating_gram_mean,0.999987044025728
0,rating_frequency_mean,0.9999804498833905
0,rating_conversational_mean,0.999984980850442
0,dep_length_mean,0.9999824766379942
0,avg_word_freq_zipf,0.9999951909259324
0,avg_word_length,0.9999929422113918
1,log-prob-gpt2-xl_mean,0.9960978221928715
1,rating_gram_mean,0.9922087707082532
1,rating_frequency_mean,0.9894743388162847
1,rating_conversational_mean,0.9946409638465445
1,dep_length_mean,0.9983395129251353
1,avg_word_freq_zipf,0.9999654141799635
1,avg_word_length,0.9998576222812274
8,log-prob-gpt2-xl_mean,0.981971403455163
8,rating_gram_mean,0.934205359479588
8,rating_frequency_mean,0.9317091159601939
8,rating_conversational_mean,0.9593904617116268
8,dep_length_mean,0.9953274442101194
8,avg_word_freq_zipf,0.9982679816108898
8,avg_word_length,0.9991205300984126
15,log-prob-gpt2-xl_mean,0.9700643844360285
15,rating_gram_mean,0.8828819766744839
15,rating_frequency_mean,0.9082591557268924
15,rating_conversational_mean,0.9415626383375402
15,dep_length_mean,0.9928705875940032
15,avg_word_freq_zipf,0.9974321427942107
15,avg_word_length,0.9981657182533593
22,log-prob-gpt2-xl_mean,0.9606333416512233
22,rating_gram_mean,0.8625940514717567
22,rating_frequency_mean,0.8906782971506316
22,rating_conversational_mean,0.9284850080543969
22,dep_length_mean,0.9906709530772678
22,avg_word_freq_zipf,0.9969701158340811
22,avg_word_length,0.9979303686546742
29,log-prob-gpt2-xl_mean,0.9448773846809153
29,rating_gram_mean,0.8046689822648082
29,rating_frequency_mean,0.8598593424387049
29,rating_conversational_mean,0.9024124857715733
29,dep_length_mean,0.9880698246274704
29,avg_word_freq_zipf,0.9939513170360802
29,avg_word_length,0.9966515501352844
36,log-prob-gpt2-xl_mean,0.9289245284673439
36,rating_gram_mean,0.7727023832492412
36,rating_frequency_mean,0.8330755906389576
36,rating_conversational_mean,0.8886824520154128
36,dep_length_mean,0.9855960528288644
36,avg_word_freq_zipf,0.9911627891102491
36,avg_word_length,0.9944080703020585
43,log-prob-gpt2-xl_mean,0.9130397375984346
43,rating_gram_mean,0.7382572853884792
43,rating_frequency_mean,0.816575044677498
43,rating_conversational_mean,0.8707158227863298
43,dep_length_mean,0.984153520111307
43,avg_word_freq_zipf,0.9885334937383694
43,avg_word_length,0.9925868375499042
50,log-prob-gpt2-xl_mean,0.9084110614431875
50,rating_gram_mean,0.727622889737156
50,rating_frequency_mean,0.805954808582807
50,rating_conversational_mean,0.8636104070035913
50,dep_length_mean,0.9837640185435921
50,avg_word_freq_zipf,0.987492589786472
50,avg_word_length,0.9916734780612074
57,log-prob-gpt2-xl_mean,0.900810328250045
57,rating_gram_mean,0.7098884007308299
57,rating_frequency_mean,0.7920824718054864
57,rating_conversational_mean,0.853198333923018
57,dep_length_mean,0.9831254484614387
57,avg_word_freq_zipf,0.9843889864741198
57,avg_word_length,0.9899640616618803
64,log-prob-gpt2-xl_mean,0.8921604488103647
64,rating_gram_mean,0.7018595489419539
64,rating_frequency_mean,0.7798129766455737
64,rating_conversational_mean,0.8497956007406585
64,dep_length_mean,0.9824279597360339
64,avg_word_freq_zipf,0.9804091418725689
64,avg_word_length,0.9883719019430143
71,log-prob-gpt2-xl_mean,0.8845021351654376
71,rating_gram_mean,0.6785176148620069
71,rating_frequency_mean,0.7598145172035153
71,rating_conversational_mean,0.8347894777046404
71,dep_length_mean,0.9768091194893673
71,avg_word_freq_zipf,0.9763532407219833
71,avg_word_length,0.9859674290071856
78,log-prob-gpt2-xl_mean,0.8755453718349988
78,rating_gram_mean,0.6593974640238487
78,rating_frequency_mean,0.747448737570118
78,rating_conversational_mean,0.8269760896248451
78,dep_length_mean,0.9747556598067164
78,avg_word_freq_zipf,0.9744358252048918
78,avg_word_length,0.9842065965486375
85,log-prob-gpt2-xl_mean,0.8688548039435018
85,rating_gram_mean,0.6327883077315992
85,rating_frequency_mean,0.7340135914564486
85,rating_conversational_mean,0.8178516867790696
85,dep_length_mean,0.9680487484359565
85,avg_word_freq_zipf,0.9724007274945057
85,avg_word_length,0.9838020625892208
92,log-prob-gpt2-xl_mean,0.8604171885828613
92,rating_gram_mean,0.6235660450123472
92,rating_frequency_mean,0.7266238975870583
92,rating_conversational_mean,0.8103011568536802
92,dep_length_mean,0.9656700032227613
92,avg_word_freq_zipf,0.971085579382105
92,avg_word_length,0.9828559112066765
99,log-prob-gpt2-xl_mean,0.852099892945142
99,rating_gram_mean,0.6142193220177335
99,rating_frequency_mean,0.7095634989943088
99,rating_conversational_mean,0.7950627220023763
99,dep_length_mean,0.9644860416243973
99,avg_word_freq_zipf,0.9650001611796364
99,avg_word_length,0.9804185753523644
106,log-prob-gpt2-xl_mean,0.8414547807173186
106,rating_gram_mean,0.5934607845245887
106,rating_frequency_mean,0.6930179985079066
106,rating_conversational_mean,0.7825853687459283
106,dep_length_mean,0.9626029239549625
106,avg_word_freq_zipf,0.9619642945936692
106,avg_word_length,0.9786755915632633
113,log-prob-gpt2-xl_mean,0.8230730237981767
113,rating_gram_mean,0.5807067004240398
113,rating_frequency_mean,0.6768007882845135
113,rating_conversational_mean,0.7694344420410946
113,dep_length_mean,0.9610945248608482
113,avg_word_freq_zipf,0.9570163749194286
113,avg_word_length,0.9772291241665795
120,log-prob-gpt2-xl_mean,0.8158568589206742
120,rating_gram_mean,0.5720095918040878
120,rating_frequency_mean,0.6634294347679455
120,rating_conversational_mean,0.7606723236872674
120,dep_length_mean,0.9582386352290976
120,avg_word_freq_zipf,0.9540860239890807
120,avg_word_length,0.9748896258420668
127,log-prob-gpt2-xl_mean,0.8088594769987869
127,rating_gram_mean,0.5684302113581945
127,rating_frequency_mean,0.6521215618471619
127,rating_conversational_mean,0.7549165206357188
127,dep_length_mean,0.9498198262925328
127,avg_word_freq_zipf,0.9505421033534835
127,avg_word_length,0.9732803536029049
134,log-prob-gpt2-xl_mean,0.8072239531127776
134,rating_gram_mean,0.5640581649549727
134,rating_frequency_mean,0.6429312089363746
134,rating_conversational_mean,0.7481912255555554
134,dep_length_mean,0.9465519506481672
134,avg_word_freq_zipf,0.9489219331792127
134,avg_word_length,0.9720840026682163
141,log-prob-gpt2-xl_mean,0.8012568420364704
141,rating_gram_mean,0.553506473673844
141,rating_frequency_mean,0.6268782969266182
141,rating_conversational_mean,0.7306163793165794
141,dep_length_mean,0.9438137496267459
141,avg_word_freq_zipf,0.9375961895031026
141,avg_word_length,0.9684415186036628
148,log-prob-gpt2-xl_mean,0.7933946255545136
148,rating_gram_mean,0.5410750660235109
148,rating_frequency_mean,0.6125305146732944
148,rating_conversational_mean,0.7182773343354508
148,dep_length_mean,0.9391777109002613
148,avg_word_freq_zipf,0.9327257262747148
148,avg_word_length,0.9646543173166182
155,log-prob-gpt2-xl_mean,0.7871174194970303
155,rating_gram_mean,0.5292785890239554
155,rating_frequency_mean,0.6063869271038369
155,rating_conversational_mean,0.7117038061150311
155,dep_length_mean,0.9381715426663274
155,avg_word_freq_zipf,0.9262797765139903
155,avg_word_length,0.9624858225957925
162,log-prob-gpt2-xl_mean,0.7858751026323503
162,rating_gram_mean,0.519184889632315
162,rating_frequency_mean,0.5957077830829703
162,rating_conversational_mean,0.6998852054889729
162,dep_length_mean,0.9356360528631936
162,avg_word_freq_zipf,0.9254235468558407
162,avg_word_length,0.9600665600361595
169,log-prob-gpt2-xl_mean,0.7767437418397988
169,rating_gram_mean,0.5040251252685759
169,rating_frequency_mean,0.5803647018614231
169,rating_conversational_mean,0.6825299070054205
169,dep_length_mean,0.9328339645615773
169,avg_word_freq_zipf,0.9146767717676118
169,avg_word_length,0.95656447307903
176,log-prob-gpt2-xl_mean,0.7703709423465963
176,rating_gram_mean,0.49652401794177015
176,rating_frequency_mean,0.5639851976745605
176,rating_conversational_mean,0.6721915804816602
176,dep_length_mean,0.9322003535748753
176,avg_word_freq_zipf,0.9086694245460751
176,avg_word_length,0.949026621737652
183,log-prob-gpt2-xl_mean,0.758406791954112
183,rating_gram_mean,0.482467442111276
183,rating_frequency_mean,0.5406800752682617
183,rating_conversational_mean,0.652822332350077
183,dep_length_mean,0.9310931506963424
183,avg_word_freq_zipf,0.8936594184110985
183,avg_word_length,0.9457903281975863
190,log-prob-gpt2-xl_mean,0.7473872630828438
190,rating_gram_mean,0.4702604511194689
190,rating_frequency_mean,0.5264663864360823
190,rating_conversational_mean,0.6397933261489893
190,dep_length_mean,0.9271680255039363
190,avg_word_freq_zipf,0.8892270709041947
190,avg_word_length,0.9411517040334786
197,log-prob-gpt2-xl_mean,0.7410511861477438
197,rating_gram_mean,0.4603726478220672
197,rating_frequency_mean,0.5106991017239184
197,rating_conversational_mean,0.6267183788196902
197,dep_length_mean,0.9260840817339998
197,avg_word_freq_zipf,0.8815945688376639
197,avg_word_length,0.9354605706090426
204,log-prob-gpt2-xl_mean,0.7369849646642455
204,rating_gram_mean,0.45834482711797264
204,rating_frequency_mean,0.5075318450699324
204,rating_conversational_mean,0.6189236768053523
204,dep_length_mean,0.9191110263040553
204,avg_word_freq_zipf,0.8736571225255282
204,avg_word_length,0.9298165605741153
211,log-prob-gpt2-xl_mean,0.7285610004976578
211,rating_gram_mean,0.453630293007656
211,rating_frequency_mean,0.5011207350354026
211,rating_conversational_mean,0.6120280977397579
211,dep_length_mean,0.9184444345737401
211,avg_word_freq_zipf,0.8628483986570387
211,avg_word_length,0.9212418364186435
218,log-prob-gpt2-xl_mean,0.7213008696492736
218,rating_gram_mean,0.4510981569288738
218,rating_frequency_mean,0.4959721859418581
218,rating_conversational_mean,0.5977942003941615
218,dep_length_mean,0.9162858716953368
218,avg_word_freq_zipf,0.8534222544616805
218,avg_word_length,0.9163635049525592
225,log-prob-gpt2-xl_mean,0.7091128769702171
225,rating_gram_mean,0.44652757290906164
225,rating_frequency_mean,0.48355921444918026
225,rating_conversational_mean,0.5814904778361607
225,dep_length_mean,0.915635700755631
225,avg_word_freq_zipf,0.8484931917899777
225,avg_word_length,0.9109715221734134
232,log-prob-gpt2-xl_mean,0.7040721113388534
232,rating_gram_mean,0.4448785976356018
232,rating_frequency_mean,0.476326104136509
232,rating_conversational_mean,0.5717599039240537
232,dep_length_mean,0.9145317304653895
232,avg_word_freq_zipf,0.8373560170363578
232,avg_word_length,0.9014310818689834
239,log-prob-gpt2-xl_mean,0.6979603083817911
239,rating_gram_mean,0.4377390352207624
239,rating_frequency_mean,0.4665227750885589
239,rating_conversational_mean,0.5593438318031965
239,dep_length_mean,0.9104139185458336
239,avg_word_freq_zipf,0.83248538953124
239,avg_word_length,0.8946984858641623
246,log-prob-gpt2-xl_mean,0.6933193411123271
246,rating_gram_mean,0.4331928190011536
246,rating_frequency_mean,0.4573101518964633
246,rating_conversational_mean,0.5462175076634371
246,dep_length_mean,0.908370869248214
246,avg_word_freq_zipf,0.8198127999993661
246,avg_word_length,0.8854875785286866
253,log-prob-gpt2-xl_mean,0.6898921138711173
253,rating_gram_mean,0.42623105191355715
253,rating_frequency_mean,0.45268564443422077
253,rating_conversational_mean,0.5390858758603354
253,dep_length_mean,0.9048314609892986
253,avg_word_freq_zipf,0.8172181985256989
253,avg_word_length,0.8772698399081997
260,log-prob-gpt2-xl_mean,0.6850809846931296
260,rating_gram_mean,0.4237829183200662
260,rating_frequency_mean,0.4440481592470217
260,rating_conversational_mean,0.5266727870210929
260,dep_length_mean,0.9041163400281714
260,avg_word_freq_zipf,0.801294028423443
260,avg_word_length,0.8754525518791543
267,log-prob-gpt2-xl_mean,0.6832146871650128
267,rating_gram_mean,0.42026882242543084
267,rating_frequency_mean,0.43789114171075716
267,rating_conversational_mean,0.5162433628703776
267,dep_length_mean,0.9025080091290026
267,avg_word_freq_zipf,0.78666178917254
267,avg_word_length,0.8678203570272991
274,log-prob-gpt2-xl_mean,0.6814884678762182
274,rating_gram_mean,0.4176411786334562
274,rating_frequency_mean,0.43500875992919275
274,rating_conversational_mean,0.5128067483990411
274,dep_length_mean,0.8993638140898286
274,avg_word_freq_zipf,0.7727372993621948
274,avg_word_length,0.8622422765558573
281,log-prob-gpt2-xl_mean,0.6780781957242493
281,rating_gram_mean,0.4161935922156298
281,rating_frequency_mean,0.427123275663144
281,rating_conversational_mean,0.5036918438889051
281,dep_length_mean,0.8946272034420556
281,avg_word_freq_zipf,0.7597400102554284
281,avg_word_length,0.8570335749880427
288,log-prob-gpt2-xl_mean,0.6777900859522721
288,rating_gram_mean,0.4144260666908486
288,rating_frequency_mean,0.4254699633310426
288,rating_conversational_mean,0.4996384371899728
288,dep_length_mean,0.890142207828091
288,avg_word_freq_zipf,0.7497270402819696
288,avg_word_length,0.8528458834824773
295,log-prob-gpt2-xl_mean,0.669830981269241
295,rating_gram_mean,0.410473034936343
295,rating_frequency_mean,0.41726099701068675
295,rating_conversational_mean,0.4878647792816415
295,dep_length_mean,0.8853156882560003
295,avg_word_freq_zipf,0.7392862435388725
295,avg_word_length,0.8490318225899339
302,log-prob-gpt2-xl_mean,0.6659142120124446
302,rating_gram_mean,0.40337641186509066
302,rating_frequency_mean,0.41258329391682347
302,rating_conversational_mean,0.4789370487160728
302,dep_length_mean,0.8815594572251999
302,avg_word_freq_zipf,0.7183464509601982
302,avg_word_length,0.841725370036193
309,log-prob-gpt2-xl_mean,0.6639536857530302
309,rating_gram_mean,0.3949204177897693
309,rating_frequency_mean,0.4070720246061609
309,rating_conversational_mean,0.47550794038908806
309,dep_length_mean,0.8768743742584035
309,avg_word_freq_zipf,0.7098113038762832
309,avg_word_length,0.8378316147472393
316,log-prob-gpt2-xl_mean,0.6557066318767828
316,rating_gram_mean,0.38785463111659446
316,rating_frequency_mean,0.39465977031259547
316,rating_conversational_mean,0.456833428115189
316,dep_length_mean,0.8734918548984083
316,avg_word_freq_zipf,0.6854396208356487
316,avg_word_length,0.8306536712226931
323,log-prob-gpt2-xl_mean,0.6498920511124999
323,rating_gram_mean,0.38611118201466177
323,rating_frequency_mean,0.39131972383295943
323,rating_conversational_mean,0.4475239910071547
323,dep_length_mean,0.8703770701052077
323,avg_word_freq_zipf,0.6709201498500719
323,avg_word_length,0.8247916149939503
330,log-prob-gpt2-xl_mean,0.6419042763773177
330,rating_gram_mean,0.38311270682272647
330,rating_frequency_mean,0.3853951724706768
330,rating_conversational_mean,0.44080092062638876
330,dep_length_mean,0.8683151910927717
330,avg_word_freq_zipf,0.6618473159315112
330,avg_word_length,0.8187876958113021
337,log-prob-gpt2-xl_mean,0.6372990912062264
337,rating_gram_mean,0.38135253563620286
337,rating_frequency_mean,0.37817742345638683
337,rating_conversational_mean,0.42909517359565497
337,dep_length_mean,0.8655856271074822
337,avg_word_freq_zipf,0.6476249039458604
337,avg_word_length,0.814818967896262
344,log-prob-gpt2-xl_mean,0.6358579829700512
344,rating_gram_mean,0.3811471435185976
344,rating_frequency_mean,0.3743370799928014
344,rating_conversational_mean,0.4246497182757112
344,dep_length_mean,0.8636857746956577
344,avg_word_freq_zipf,0.6386263734793286
344,avg_word_length,0.8080656185660265
351,log-prob-gpt2-xl_mean,0.6248061751817282
351,rating_gram_mean,0.37981183729426116
351,rating_frequency_mean,0.3623918689111254
351,rating_conversational_mean,0.4141181824092208
351,dep_length_mean,0.8589299153650857
351,avg_word_freq_zipf,0.6221281912268539
351,avg_word_length,0.8007656752265778
358,log-prob-gpt2-xl_mean,0.6223472917332546
358,rating_gram_mean,0.3792929744279193
358,rating_frequency_mean,0.3574090054248059
358,rating_conversational_mean,0.40672857688200026
358,dep_length_mean,0.8579987865322325
358,avg_word_freq_zipf,0.6168959836347049
358,avg_word_length,0.7969133793164651
365,log-prob-gpt2-xl_mean,0.6116903457593207
365,rating_gram_mean,0.3782635025512976
365,rating_frequency_mean,0.3546668313057004
365,rating_conversational_mean,0.3971112437283947
365,dep_length_mean,0.8551904525590542
365,avg_word_freq_zipf,0.6075618378207648
365,avg_word_length,0.7876277593615977
372,log-prob-gpt2-xl_mean,0.6102584060339027
372,rating_gram_mean,0.37763208756407696
372,rating_frequency_mean,0.3541884842634492
372,rating_conversational_mean,0.39609451735117374
372,dep_length_mean,0.8485398812748386
372,avg_word_freq_zipf,0.6002799544838644
372,avg_word_length,0.7862335333079111
379,log-prob-gpt2-xl_mean,0.6074917333553207
379,rating_gram_mean,0.3748016815341705
379,rating_frequency_mean,0.3506049465487464
379,rating_conversational_mean,0.38301927394419244
379,dep_length_mean,0.8446488573268096
379,avg_word_freq_zipf,0.5914899571703452
379,avg_word_length,0.7772380103922857
386,log-prob-gpt2-xl_mean,0.6053391817743123
386,rating_gram_mean,0.37320563463232914
386,rating_frequency_mean,0.349206875715659
386,rating_conversational_mean,0.38027173197831543
386,dep_length_mean,0.837768456821301
386,avg_word_freq_zipf,0.583224158692167
386,avg_word_length,0.7764493172615801
393,log-prob-gpt2-xl_mean,0.6009888398430964
393,rating_gram_mean,0.3706647209803853
393,rating_frequency_mean,0.3381485597320911
393,rating_conversational_mean,0.37018486248905147
393,dep_length_mean,0.8366142297644588
393,avg_word_freq_zipf,0.5766817774751875
393,avg_word_length,0.7694918147131465
400,log-prob-gpt2-xl_mean,0.5961539921387202
400,rating_gram_mean,0.36657830566632577
400,rating_frequency_mean,0.3356243557723223
400,rating_conversational_mean,0.36160270023996954
400,dep_length_mean,0.8335351486035125
400,avg_word_freq_zipf,0.5657707343623208
400,avg_word_length,0.7624308280363671
407,log-prob-gpt2-xl_mean,0.5948153767885693
407,rating_gram_mean,0.36597267576266035
407,rating_frequency_mean,0.33423533674722916
407,rating_conversational_mean,0.35611285129291026
407,dep_length_mean,0.8300675523510064
407,avg_word_freq_zipf,0.5601942168953482
407,avg_word_length,0.7578626177094886
414,log-prob-gpt2-xl_mean,0.5905287893926172
414,rating_gram_mean,0.36373315510380544
414,rating_frequency_mean,0.3309929985143303
414,rating_conversational_mean,0.3473205015713441
414,dep_length_mean,0.8245561107738477
414,avg_word_freq_zipf,0.5517048846125208
414,avg_word_length,0.750495627428564
421,log-prob-gpt2-xl_mean,0.5861423124162464
421,rating_gram_mean,0.36302986764630163
421,rating_frequency_mean,0.32363482040098146
421,rating_conversational_mean,0.3356996963857153
421,dep_length_mean,0.8227967683069488
421,avg_word_freq_zipf,0.539680654395014
