step,feature_name,r2
0,log-prob-gpt2-xl_mean,0.999987873547485
0,rating_gram_mean,0.999987044025728
0,rating_frequency_mean,0.9999804498833905
0,rating_conversational_mean,0.999984980850442
0,dep_length_mean,0.9999824766379942
0,avg_word_freq_zipf,0.9999951909259324
0,avg_word_length,0.9999929422113918
1,log-prob-gpt2-xl_mean,0.8583952627990166
1,rating_gram_mean,0.9839819886705509
1,rating_frequency_mean,0.9748014820767793
1,rating_conversational_mean,0.9907799311699999
1,dep_length_mean,0.9998206025039494
1,avg_word_freq_zipf,0.9996407456095596
1,avg_word_length,0.999178127182202
2,log-prob-gpt2-xl_mean,0.8441912268690096
2,rating_gram_mean,0.9027030125248099
2,rating_frequency_mean,0.9637628986011337
2,rating_conversational_mean,0.9803136701985391
2,dep_length_mean,0.9989157247830013
2,avg_word_freq_zipf,0.9995269327597519
2,avg_word_length,0.9991780684651314
3,log-prob-gpt2-xl_mean,0.8425546359978173
3,rating_gram_mean,0.8371049977327227
3,rating_frequency_mean,0.8716294889838985
3,rating_conversational_mean,0.9535238530265245
3,dep_length_mean,0.9942748147850954
3,avg_word_freq_zipf,0.9970806422518708
3,avg_word_length,0.9986219890732894
4,log-prob-gpt2-xl_mean,0.8324565225247202
4,rating_gram_mean,0.8370199786375019
4,rating_frequency_mean,0.8166139483290704
4,rating_conversational_mean,0.8642448171924615
4,dep_length_mean,0.9941722910006343
4,avg_word_freq_zipf,0.9946158833261274
4,avg_word_length,0.9979178481887133
5,log-prob-gpt2-xl_mean,0.8314479512438591
5,rating_gram_mean,0.8362799913308074
5,rating_frequency_mean,0.8169797548005375
5,rating_conversational_mean,0.8633190795829074
5,dep_length_mean,0.852396579332005
5,avg_word_freq_zipf,0.9942583239283435
5,avg_word_length,0.9975798986843245
6,log-prob-gpt2-xl_mean,0.8313817878436716
6,rating_gram_mean,0.8354267886642219
6,rating_frequency_mean,0.811085359921023
6,rating_conversational_mean,0.8587139504710131
6,dep_length_mean,0.7683733447597145
6,avg_word_freq_zipf,0.9917381272489733
6,avg_word_length,0.9964761075488726
7,log-prob-gpt2-xl_mean,0.8294398533439585
7,rating_gram_mean,0.8351033605358305
7,rating_frequency_mean,0.8091933511939056
7,rating_conversational_mean,0.8579395410916395
7,dep_length_mean,0.7682543847858465
7,avg_word_freq_zipf,0.9535949680521655
7,avg_word_length,0.9010487340954147
8,log-prob-gpt2-xl_mean,0.7207200461857306
8,rating_gram_mean,0.8316313295585807
8,rating_frequency_mean,0.8039720500397897
8,rating_conversational_mean,0.8552414774269685
8,dep_length_mean,0.767479936070744
8,avg_word_freq_zipf,0.9535904074502292
8,avg_word_length,0.8999401210709664
9,log-prob-gpt2-xl_mean,0.7182811161699318
9,rating_gram_mean,0.7278618314836993
9,rating_frequency_mean,0.8038035791033754
9,rating_conversational_mean,0.8437432851025133
9,dep_length_mean,0.7640660663429832
9,avg_word_freq_zipf,0.9535520784986491
9,avg_word_length,0.8991165761858367
10,log-prob-gpt2-xl_mean,0.7128702743744895
10,rating_gram_mean,0.7052117230377463
10,rating_frequency_mean,0.7468827335050507
10,rating_conversational_mean,0.838111101598314
10,dep_length_mean,0.7639723174578359
10,avg_word_freq_zipf,0.9508124928350933
10,avg_word_length,0.8983375851041848
11,log-prob-gpt2-xl_mean,0.7086162395487599
11,rating_gram_mean,0.7054795400182532
11,rating_frequency_mean,0.7012188838249894
11,rating_conversational_mean,0.829548470385777
11,dep_length_mean,0.7633530772466921
11,avg_word_freq_zipf,0.9470767215124645
11,avg_word_length,0.8978190798720559
12,log-prob-gpt2-xl_mean,0.7049316225288043
12,rating_gram_mean,0.7045310952653644
12,rating_frequency_mean,0.7002098685215778
12,rating_conversational_mean,0.816511411280982
12,dep_length_mean,0.6501021490953426
12,avg_word_freq_zipf,0.9463661146681238
12,avg_word_length,0.897807517873792
13,log-prob-gpt2-xl_mean,0.7036753248190768
13,rating_gram_mean,0.699868278022544
13,rating_frequency_mean,0.6982530878436102
13,rating_conversational_mean,0.7722240496803336
13,dep_length_mean,0.644628905580553
13,avg_word_freq_zipf,0.9356051931172481
13,avg_word_length,0.8954218685720883
14,log-prob-gpt2-xl_mean,0.7035326654200957
14,rating_gram_mean,0.6984654188153899
14,rating_frequency_mean,0.6971256515795627
14,rating_conversational_mean,0.7585191707336327
14,dep_length_mean,0.6193516024988447
14,avg_word_freq_zipf,0.9301189611921016
14,avg_word_length,0.8919867111476764
15,log-prob-gpt2-xl_mean,0.6181560593513242
15,rating_gram_mean,0.6933537571906905
15,rating_frequency_mean,0.6879315884338872
15,rating_conversational_mean,0.7564135541987485
15,dep_length_mean,0.6190162344620174
15,avg_word_freq_zipf,0.9230476128005566
15,avg_word_length,0.8789238301548589
16,log-prob-gpt2-xl_mean,0.61569956400483
16,rating_gram_mean,0.6536071095018428
16,rating_frequency_mean,0.6863443045934279
16,rating_conversational_mean,0.7548664194711965
16,dep_length_mean,0.6187362271925705
16,avg_word_freq_zipf,0.9230455044623155
16,avg_word_length,0.878689012838068
17,log-prob-gpt2-xl_mean,0.6134546010093888
17,rating_gram_mean,0.5974570519374405
17,rating_frequency_mean,0.6821535956778377
17,rating_conversational_mean,0.7518643774268166
17,dep_length_mean,0.6183293038075531
17,avg_word_freq_zipf,0.9230687319835716
17,avg_word_length,0.8782756273389292
18,log-prob-gpt2-xl_mean,0.609200063342255
18,rating_gram_mean,0.5949025476227854
18,rating_frequency_mean,0.6489645706285673
18,rating_conversational_mean,0.7078519297648118
18,dep_length_mean,0.6181571289865634
18,avg_word_freq_zipf,0.9229339004547663
18,avg_word_length,0.8724714431196041
19,log-prob-gpt2-xl_mean,0.609206071628063
19,rating_gram_mean,0.5942922223739231
19,rating_frequency_mean,0.6489510406323336
19,rating_conversational_mean,0.7073131941184538
19,dep_length_mean,0.5581116644137699
19,avg_word_freq_zipf,0.922933750820728
19,avg_word_length,0.8724526505252312
20,log-prob-gpt2-xl_mean,0.6070682260113565
20,rating_gram_mean,0.5922553327289486
20,rating_frequency_mean,0.6362513154930909
20,rating_conversational_mean,0.7058339179832802
20,dep_length_mean,0.5564219760332353
20,avg_word_freq_zipf,0.8692445837871333
20,avg_word_length,0.8639622813790027
21,log-prob-gpt2-xl_mean,0.607078780291261
21,rating_gram_mean,0.590537879523641
21,rating_frequency_mean,0.63580965682979
21,rating_conversational_mean,0.7058250883568711
21,dep_length_mean,0.5271515333544905
21,avg_word_freq_zipf,0.8570792111065773
21,avg_word_length,0.8544921194783344
22,log-prob-gpt2-xl_mean,0.5868687539912876
22,rating_gram_mean,0.5905402727388737
22,rating_frequency_mean,0.6339151887326545
22,rating_conversational_mean,0.7058019592764097
22,dep_length_mean,0.5244985184122776
22,avg_word_freq_zipf,0.8569239049964841
22,avg_word_length,0.8142747255338048
23,log-prob-gpt2-xl_mean,0.5766520763752859
23,rating_gram_mean,0.553090867896647
23,rating_frequency_mean,0.6303552375805668
23,rating_conversational_mean,0.7017142121659692
23,dep_length_mean,0.5243477830583693
23,avg_word_freq_zipf,0.8551561620117929
23,avg_word_length,0.8087296395578123
24,log-prob-gpt2-xl_mean,0.5665257956221705
24,rating_gram_mean,0.5202651902368656
24,rating_frequency_mean,0.6253978707831171
24,rating_conversational_mean,0.6977869093914411
24,dep_length_mean,0.5242778551730711
24,avg_word_freq_zipf,0.8535763277901057
24,avg_word_length,0.8026385107187965
25,log-prob-gpt2-xl_mean,0.5653517208371874
25,rating_gram_mean,0.518741759371591
25,rating_frequency_mean,0.6224300587068408
25,rating_conversational_mean,0.6864980918424235
25,dep_length_mean,0.5242210065041242
25,avg_word_freq_zipf,0.852130040908653
25,avg_word_length,0.8005160583828915
26,log-prob-gpt2-xl_mean,0.5526996894720027
26,rating_gram_mean,0.5188226233079798
26,rating_frequency_mean,0.6194481925613587
26,rating_conversational_mean,0.6743059871092961
26,dep_length_mean,0.4823984699547781
26,avg_word_freq_zipf,0.8494712687513191
26,avg_word_length,0.7960568583960024
27,log-prob-gpt2-xl_mean,0.5525048949705132
27,rating_gram_mean,0.5129033642366777
27,rating_frequency_mean,0.6105044106722299
27,rating_conversational_mean,0.6488338390192956
27,dep_length_mean,0.457716103351549
27,avg_word_freq_zipf,0.8433483002421627
27,avg_word_length,0.7943401686495527
28,log-prob-gpt2-xl_mean,0.5484010224407837
28,rating_gram_mean,0.5130526775878407
28,rating_frequency_mean,0.6064655936362475
28,rating_conversational_mean,0.6469428785557212
28,dep_length_mean,0.44968291822970363
28,avg_word_freq_zipf,0.8352080042380204
28,avg_word_length,0.7763808662276184
29,log-prob-gpt2-xl_mean,0.531580170490988
29,rating_gram_mean,0.5114390024355581
29,rating_frequency_mean,0.6033793623690684
29,rating_conversational_mean,0.6469061024033274
29,dep_length_mean,0.44965600781375736
29,avg_word_freq_zipf,0.8239601036839546
29,avg_word_length,0.7343321938570062
30,log-prob-gpt2-xl_mean,0.5277317195125173
30,rating_gram_mean,0.4547969923852031
30,rating_frequency_mean,0.5979364014342361
30,rating_conversational_mean,0.6424960822930926
30,dep_length_mean,0.4496414671300589
30,avg_word_freq_zipf,0.8214636554476166
30,avg_word_length,0.732605479724967
31,log-prob-gpt2-xl_mean,0.527171819929847
31,rating_gram_mean,0.4511803084529299
31,rating_frequency_mean,0.595432999922825
31,rating_conversational_mean,0.6419678148609795
31,dep_length_mean,0.44964282221839036
31,avg_word_freq_zipf,0.8212609373172679
31,avg_word_length,0.7326550997010809
32,log-prob-gpt2-xl_mean,0.5225672067908773
32,rating_gram_mean,0.4495878654401836
32,rating_frequency_mean,0.5355135227921721
32,rating_conversational_mean,0.6283966759828264
32,dep_length_mean,0.4496382915320052
32,avg_word_freq_zipf,0.8194310403718251
32,avg_word_length,0.7323133559830945
33,log-prob-gpt2-xl_mean,0.5215886654106727
33,rating_gram_mean,0.44934774406998146
33,rating_frequency_mean,0.5347112352859383
33,rating_conversational_mean,0.6281844616523047
33,dep_length_mean,0.39120005971685046
33,avg_word_freq_zipf,0.8185273002953819
33,avg_word_length,0.7322190330423008
34,log-prob-gpt2-xl_mean,0.5214298598872993
34,rating_gram_mean,0.4492487046414121
34,rating_frequency_mean,0.5325813739687428
34,rating_conversational_mean,0.6266777662008465
34,dep_length_mean,0.38853334017829066
34,avg_word_freq_zipf,0.8168322981162529
34,avg_word_length,0.7321717525586686
35,log-prob-gpt2-xl_mean,0.5173132284890545
35,rating_gram_mean,0.4467698917118913
35,rating_frequency_mean,0.5314761916055746
35,rating_conversational_mean,0.6146678003389079
35,dep_length_mean,0.38647267274394037
35,avg_word_freq_zipf,0.7751020736988082
35,avg_word_length,0.6983219908837892
36,log-prob-gpt2-xl_mean,0.515517362132351
36,rating_gram_mean,0.44632872769242404
36,rating_frequency_mean,0.5306652010218784
36,rating_conversational_mean,0.6135449341582861
36,dep_length_mean,0.385888562231824
36,avg_word_freq_zipf,0.7723561404412959
36,avg_word_length,0.6960366425598097
37,log-prob-gpt2-xl_mean,0.4716051112664825
37,rating_gram_mean,0.41573380620789535
37,rating_frequency_mean,0.5235123642567122
37,rating_conversational_mean,0.6088765039994534
37,dep_length_mean,0.38578199796589563
37,avg_word_freq_zipf,0.7698867210844447
37,avg_word_length,0.6931103620097738
38,log-prob-gpt2-xl_mean,0.4684291114057526
38,rating_gram_mean,0.41508271888338333
38,rating_frequency_mean,0.5016622964528528
38,rating_conversational_mean,0.6083343884374233
38,dep_length_mean,0.3856064113783715
38,avg_word_freq_zipf,0.7655754604178898
38,avg_word_length,0.6918770874343754
39,log-prob-gpt2-xl_mean,0.4645555102744805
39,rating_gram_mean,0.41384836674035064
39,rating_frequency_mean,0.4689901313254965
39,rating_conversational_mean,0.6059021827128943
39,dep_length_mean,0.38520113951444135
39,avg_word_freq_zipf,0.760017949205423
39,avg_word_length,0.6901094261826823
40,log-prob-gpt2-xl_mean,0.46439334805974586
40,rating_gram_mean,0.4061381576395542
40,rating_frequency_mean,0.4675435985423825
40,rating_conversational_mean,0.5962173705146957
40,dep_length_mean,0.3483574316083641
40,avg_word_freq_zipf,0.7597656873219639
40,avg_word_length,0.6900326083258131
41,log-prob-gpt2-xl_mean,0.464113936439839
41,rating_gram_mean,0.4054865598279095
41,rating_frequency_mean,0.467024389855335
41,rating_conversational_mean,0.596238153812747
41,dep_length_mean,0.3454572969688092
41,avg_word_freq_zipf,0.7395436490262118
41,avg_word_length,0.6893100900327738
42,log-prob-gpt2-xl_mean,0.46305260993669894
42,rating_gram_mean,0.4054556350474854
42,rating_frequency_mean,0.4664618001970715
42,rating_conversational_mean,0.5960722330204801
42,dep_length_mean,0.345400828544006
42,avg_word_freq_zipf,0.7103285427821393
42,avg_word_length,0.6834411330062595
43,log-prob-gpt2-xl_mean,0.42221641563835566
43,rating_gram_mean,0.40545596123039507
43,rating_frequency_mean,0.4612412764735351
43,rating_conversational_mean,0.5861361386309742
43,dep_length_mean,0.345353892836609
43,avg_word_freq_zipf,0.7032044564882054
43,avg_word_length,0.6553330624383923
44,log-prob-gpt2-xl_mean,0.4215806464003846
44,rating_gram_mean,0.3696628611151802
44,rating_frequency_mean,0.458352758280547
44,rating_conversational_mean,0.5781136613567832
44,dep_length_mean,0.3447135892697357
44,avg_word_freq_zipf,0.7016580842800633
44,avg_word_length,0.6514239769631711
45,log-prob-gpt2-xl_mean,0.42200485429639367
45,rating_gram_mean,0.366701725218329
45,rating_frequency_mean,0.45667571127287254
45,rating_conversational_mean,0.5768973698192382
45,dep_length_mean,0.34459134260258883
45,avg_word_freq_zipf,0.7014640652674363
45,avg_word_length,0.6512926236228265
46,log-prob-gpt2-xl_mean,0.40923824621609406
46,rating_gram_mean,0.3644110607061225
46,rating_frequency_mean,0.43028511313609863
46,rating_conversational_mean,0.5655772112970441
46,dep_length_mean,0.3441230179557564
46,avg_word_freq_zipf,0.6992037008645346
46,avg_word_length,0.639437802824647
47,log-prob-gpt2-xl_mean,0.40920437174243285
47,rating_gram_mean,0.3631331148906657
47,rating_frequency_mean,0.42761346807310374
47,rating_conversational_mean,0.5655495245977834
47,dep_length_mean,0.30850200451666265
47,avg_word_freq_zipf,0.6991673717280473
47,avg_word_length,0.6358803012509446
48,log-prob-gpt2-xl_mean,0.40817780612229504
48,rating_gram_mean,0.36294359525957487
48,rating_frequency_mean,0.42630953762334445
48,rating_conversational_mean,0.5642188965251136
48,dep_length_mean,0.307313535975805
48,avg_word_freq_zipf,0.6897691991164157
48,avg_word_length,0.6333204829378789
49,log-prob-gpt2-xl_mean,0.4073959873222285
49,rating_gram_mean,0.3629205726491864
49,rating_frequency_mean,0.42026940636616994
49,rating_conversational_mean,0.5607963864633365
49,dep_length_mean,0.30721579223888495
49,avg_word_freq_zipf,0.6522116640661555
49,avg_word_length,0.609555279659604
50,log-prob-gpt2-xl_mean,0.40478210250754953
50,rating_gram_mean,0.3630308798558277
50,rating_frequency_mean,0.42018724498617155
50,rating_conversational_mean,0.5605658878784298
50,dep_length_mean,0.3065705444353043
50,avg_word_freq_zipf,0.6506260142857982
50,avg_word_length,0.6093260278604227
51,log-prob-gpt2-xl_mean,0.35512706254275217
51,rating_gram_mean,0.35507558074127166
51,rating_frequency_mean,0.41897060210218684
51,rating_conversational_mean,0.5595036865276799
51,dep_length_mean,0.30656513532972796
51,avg_word_freq_zipf,0.6449741758014398
51,avg_word_length,0.6084577362357534
52,log-prob-gpt2-xl_mean,0.3517950021239097
52,rating_gram_mean,0.3523748149339865
52,rating_frequency_mean,0.38729596576568126
52,rating_conversational_mean,0.5562913536418062
52,dep_length_mean,0.30566794336098446
52,avg_word_freq_zipf,0.6447241729717004
52,avg_word_length,0.6044775137030162
53,log-prob-gpt2-xl_mean,0.3513546435819547
53,rating_gram_mean,0.35188305385128604
53,rating_frequency_mean,0.38195260970208
53,rating_conversational_mean,0.5552677527871905
53,dep_length_mean,0.3056168799190222
53,avg_word_freq_zipf,0.644678493999316
53,avg_word_length,0.60379029539503
54,log-prob-gpt2-xl_mean,0.3513242411672688
54,rating_gram_mean,0.35037989767681166
54,rating_frequency_mean,0.3813112985781817
54,rating_conversational_mean,0.5523272423392405
54,dep_length_mean,0.2725545288299428
54,avg_word_freq_zipf,0.6425976584974384
54,avg_word_length,0.6030204467568814
55,log-prob-gpt2-xl_mean,0.35136857428779034
55,rating_gram_mean,0.3501980469280799
55,rating_frequency_mean,0.38111569508549104
55,rating_conversational_mean,0.551527154951357
55,dep_length_mean,0.26930990608103644
55,avg_word_freq_zipf,0.6416260888379004
55,avg_word_length,0.6027293511330206
56,log-prob-gpt2-xl_mean,0.3448839267278979
56,rating_gram_mean,0.3499180468639085
56,rating_frequency_mean,0.37887705619822276
56,rating_conversational_mean,0.5408134650450097
56,dep_length_mean,0.2690275098409971
56,avg_word_freq_zipf,0.6146090049775248
56,avg_word_length,0.5641851260462777
57,log-prob-gpt2-xl_mean,0.34275338770412755
57,rating_gram_mean,0.3498643040792254
57,rating_frequency_mean,0.37858145712660396
57,rating_conversational_mean,0.5404056800858117
57,dep_length_mean,0.2689834259617486
57,avg_word_freq_zipf,0.614150981497926
57,avg_word_length,0.5640511342581036
58,log-prob-gpt2-xl_mean,0.3055730625517713
58,rating_gram_mean,0.3416207113374041
58,rating_frequency_mean,0.37158213038500587
58,rating_conversational_mean,0.5330934369252559
58,dep_length_mean,0.2686608074125272
58,avg_word_freq_zipf,0.6108890890058938
58,avg_word_length,0.5639150930842423
59,log-prob-gpt2-xl_mean,0.3049693471104217
59,rating_gram_mean,0.3374267854122659
59,rating_frequency_mean,0.3481723206270234
59,rating_conversational_mean,0.5249859882702763
59,dep_length_mean,0.26855425718874326
59,avg_word_freq_zipf,0.6070703447239649
59,avg_word_length,0.5637603523521423
60,log-prob-gpt2-xl_mean,0.30479150962273804
60,rating_gram_mean,0.33568367998283466
60,rating_frequency_mean,0.33910910538808925
60,rating_conversational_mean,0.5214333762676722
60,dep_length_mean,0.2685116790778911
60,avg_word_freq_zipf,0.6056186538496795
60,avg_word_length,0.5636934562418952
61,log-prob-gpt2-xl_mean,0.30386808718913105
61,rating_gram_mean,0.3277664418432147
61,rating_frequency_mean,0.3387831174247461
61,rating_conversational_mean,0.5211202991073351
61,dep_length_mean,0.24402329912308762
61,avg_word_freq_zipf,0.6054405121367009
61,avg_word_length,0.5618583328532867
