step,feature_name,r2
0,log-prob-pcfg_mean,0.9948445353223174
0,rating_gram_mean,0.9898255564737986
0,rating_frequency_mean,0.99069127443976
0,rating_conversational_mean,0.9903854017082996
0,dep_length_mean,0.9915067751240921
0,avg_word_freq_zipf,0.9980068742491986
0,avg_word_length,0.9972970393276965
1,log-prob-pcfg_mean,0.9948023596720217
1,rating_gram_mean,0.9869386827394406
1,rating_frequency_mean,0.9878632576328732
1,rating_conversational_mean,0.9886609962643871
1,dep_length_mean,0.991154498484708
1,avg_word_freq_zipf,0.9978803933622885
1,avg_word_length,0.9971969300174405
2,log-prob-pcfg_mean,0.994790630177749
2,rating_gram_mean,0.9846234606190628
2,rating_frequency_mean,0.9846002732866859
2,rating_conversational_mean,0.9856535418662002
2,dep_length_mean,0.991149024421893
2,avg_word_freq_zipf,0.9978857576557785
2,avg_word_length,0.9971004444190742
3,log-prob-pcfg_mean,0.9947935444854443
3,rating_gram_mean,0.9846232421114985
3,rating_frequency_mean,0.9844185448907004
3,rating_conversational_mean,0.9847329678912378
3,dep_length_mean,0.9910821236787367
3,avg_word_freq_zipf,0.9978869775769873
3,avg_word_length,0.9969878179756454
4,log-prob-pcfg_mean,0.9946602413372203
4,rating_gram_mean,0.9846065572482258
4,rating_frequency_mean,0.9843930001082005
4,rating_conversational_mean,0.9842926052886781
4,dep_length_mean,0.9908555574775268
4,avg_word_freq_zipf,0.9977620583105631
4,avg_word_length,0.9969804241265924
5,log-prob-pcfg_mean,0.9946589233993329
5,rating_gram_mean,0.9846127812849813
5,rating_frequency_mean,0.9806537528294712
5,rating_conversational_mean,0.9842891709986547
5,dep_length_mean,0.9908221757544385
5,avg_word_freq_zipf,0.997737165434423
5,avg_word_length,0.9968953215727924
6,log-prob-pcfg_mean,0.9932992107225604
6,rating_gram_mean,0.9823697485292717
6,rating_frequency_mean,0.9789820392940342
6,rating_conversational_mean,0.9807965203056925
6,dep_length_mean,0.9908050472227493
6,avg_word_freq_zipf,0.9972229849549913
6,avg_word_length,0.9968936494245082
7,log-prob-pcfg_mean,0.9930975266108487
7,rating_gram_mean,0.9740679244309604
7,rating_frequency_mean,0.9668392563883883
7,rating_conversational_mean,0.9711608478463523
7,dep_length_mean,0.9905924882946394
7,avg_word_freq_zipf,0.996758947079308
7,avg_word_length,0.9968906203461521
8,log-prob-pcfg_mean,0.9930089293303521
8,rating_gram_mean,0.9725572473403481
8,rating_frequency_mean,0.9652675397362326
8,rating_conversational_mean,0.9706036873880632
8,dep_length_mean,0.990564642884014
8,avg_word_freq_zipf,0.996465494550281
8,avg_word_length,0.9968353358792392
9,log-prob-pcfg_mean,0.9929915694724673
9,rating_gram_mean,0.9707602518816538
9,rating_frequency_mean,0.9626976456256574
9,rating_conversational_mean,0.9692847165845563
9,dep_length_mean,0.9905716061106654
9,avg_word_freq_zipf,0.9964557531072942
9,avg_word_length,0.996811470795721
10,log-prob-pcfg_mean,0.9929784713308347
10,rating_gram_mean,0.9705039990982872
10,rating_frequency_mean,0.9627034639334549
10,rating_conversational_mean,0.9686231419717327
10,dep_length_mean,0.9900270471076589
10,avg_word_freq_zipf,0.9962049017814067
10,avg_word_length,0.996781662209324
11,log-prob-pcfg_mean,0.9928674781127445
11,rating_gram_mean,0.9703629050865552
11,rating_frequency_mean,0.962606030042314
11,rating_conversational_mean,0.9686138666738587
11,dep_length_mean,0.9900058106210096
11,avg_word_freq_zipf,0.9961748299141189
11,avg_word_length,0.9967732858864075
12,log-prob-pcfg_mean,0.9928553513259588
12,rating_gram_mean,0.9703133350500237
12,rating_frequency_mean,0.9615616804423178
12,rating_conversational_mean,0.9681296060587106
12,dep_length_mean,0.9892624188361838
12,avg_word_freq_zipf,0.9961109576989132
12,avg_word_length,0.9967719675688539
13,log-prob-pcfg_mean,0.9927847007925329
13,rating_gram_mean,0.9699005090507278
13,rating_frequency_mean,0.9615606927030167
13,rating_conversational_mean,0.968081089784349
13,dep_length_mean,0.9892434372989737
13,avg_word_freq_zipf,0.9960489151024216
13,avg_word_length,0.9967231925153189
14,log-prob-pcfg_mean,0.99257166534994
14,rating_gram_mean,0.9522182199938807
14,rating_frequency_mean,0.9524024378504965
14,rating_conversational_mean,0.9625572465891705
14,dep_length_mean,0.9892354931966783
14,avg_word_freq_zipf,0.9960278544665709
14,avg_word_length,0.996690217355224
15,log-prob-pcfg_mean,0.9925506339876362
15,rating_gram_mean,0.9518764457768336
15,rating_frequency_mean,0.9516611644362568
15,rating_conversational_mean,0.9626072334838064
15,dep_length_mean,0.9892488829222801
15,avg_word_freq_zipf,0.9960282005098698
15,avg_word_length,0.9966858393365292
16,log-prob-pcfg_mean,0.9916511365744376
16,rating_gram_mean,0.9512431819029099
16,rating_frequency_mean,0.9506818380522636
16,rating_conversational_mean,0.9615076724173881
16,dep_length_mean,0.9892463239043058
16,avg_word_freq_zipf,0.9959371139497797
16,avg_word_length,0.9966698850114594
17,log-prob-pcfg_mean,0.991508464159042
17,rating_gram_mean,0.9508364370141613
17,rating_frequency_mean,0.9493530856207437
17,rating_conversational_mean,0.9587136780497825
17,dep_length_mean,0.988654231750512
17,avg_word_freq_zipf,0.9956483584027904
17,avg_word_length,0.9966729286906361
18,log-prob-pcfg_mean,0.9914886088829774
18,rating_gram_mean,0.9506638121059596
18,rating_frequency_mean,0.9488179685508735
18,rating_conversational_mean,0.9574199226077712
18,dep_length_mean,0.9885667870239301
18,avg_word_freq_zipf,0.9955533153158845
18,avg_word_length,0.996659720487523
19,log-prob-pcfg_mean,0.9914908150229897
19,rating_gram_mean,0.9505556231711555
19,rating_frequency_mean,0.9488266612190523
19,rating_conversational_mean,0.9574308127857251
19,dep_length_mean,0.9885676388512904
19,avg_word_freq_zipf,0.9955515849647852
19,avg_word_length,0.9966545187732812
20,log-prob-pcfg_mean,0.9914745120023497
20,rating_gram_mean,0.9505620366127772
20,rating_frequency_mean,0.9488003702362894
20,rating_conversational_mean,0.9564716534933041
20,dep_length_mean,0.9862517766766469
20,avg_word_freq_zipf,0.9954709241629607
20,avg_word_length,0.9966367621745545
21,log-prob-pcfg_mean,0.9914058008164925
21,rating_gram_mean,0.9363318124010753
21,rating_frequency_mean,0.9389596960406209
21,rating_conversational_mean,0.9506442189100903
21,dep_length_mean,0.9860925414980373
21,avg_word_freq_zipf,0.9951637665387334
21,avg_word_length,0.9966274432622132
22,log-prob-pcfg_mean,0.9911741135018913
22,rating_gram_mean,0.9356497978505127
22,rating_frequency_mean,0.9376615169479603
22,rating_conversational_mean,0.949608178322068
22,dep_length_mean,0.985671743185567
22,avg_word_freq_zipf,0.9951179316705396
22,avg_word_length,0.9965709848388205
23,log-prob-pcfg_mean,0.9911428724590617
23,rating_gram_mean,0.9334478431395009
23,rating_frequency_mean,0.9372372425638009
23,rating_conversational_mean,0.9480363955716595
23,dep_length_mean,0.9855922016392374
23,avg_word_freq_zipf,0.9949193162391602
23,avg_word_length,0.996584017560094
24,log-prob-pcfg_mean,0.9910884346806099
24,rating_gram_mean,0.933370735916854
24,rating_frequency_mean,0.9372040912189202
24,rating_conversational_mean,0.947092746950599
24,dep_length_mean,0.9850072819121932
24,avg_word_freq_zipf,0.9948498829999495
24,avg_word_length,0.9965243045080179
25,log-prob-pcfg_mean,0.9909847874992824
25,rating_gram_mean,0.9323005898035606
25,rating_frequency_mean,0.9371991480603657
25,rating_conversational_mean,0.9470755041494616
25,dep_length_mean,0.9847097647763884
25,avg_word_freq_zipf,0.994853492292321
25,avg_word_length,0.9964882191347669
26,log-prob-pcfg_mean,0.9909601061427872
26,rating_gram_mean,0.9320925088182814
26,rating_frequency_mean,0.9360253291183646
26,rating_conversational_mean,0.9465337549594172
26,dep_length_mean,0.98460502879979
26,avg_word_freq_zipf,0.9947888435616706
26,avg_word_length,0.9964295826718543
27,log-prob-pcfg_mean,0.9908167834215558
27,rating_gram_mean,0.9309071204484193
27,rating_frequency_mean,0.9353664282338782
27,rating_conversational_mean,0.9462750742407573
27,dep_length_mean,0.9838182362121952
27,avg_word_freq_zipf,0.9947674406113418
27,avg_word_length,0.9964216234180622
28,log-prob-pcfg_mean,0.9907692854941119
28,rating_gram_mean,0.9203631797167633
28,rating_frequency_mean,0.9285943422349057
28,rating_conversational_mean,0.940685202980368
28,dep_length_mean,0.9834586033569107
28,avg_word_freq_zipf,0.9941308935438893
28,avg_word_length,0.9964029003491068
29,log-prob-pcfg_mean,0.9907090040101065
29,rating_gram_mean,0.9188677112729134
29,rating_frequency_mean,0.9268855845629141
29,rating_conversational_mean,0.940318564415884
29,dep_length_mean,0.9834188375487695
29,avg_word_freq_zipf,0.9940759451025725
29,avg_word_length,0.9964028423433401
30,log-prob-pcfg_mean,0.9906821090439021
30,rating_gram_mean,0.9173894134552032
30,rating_frequency_mean,0.9260220819347603
30,rating_conversational_mean,0.938560877621823
30,dep_length_mean,0.9834064884515001
30,avg_word_freq_zipf,0.9940123959696068
30,avg_word_length,0.9956762792936502
31,log-prob-pcfg_mean,0.9905694321696886
31,rating_gram_mean,0.9173555991678748
31,rating_frequency_mean,0.9256690795726311
31,rating_conversational_mean,0.938431629526506
31,dep_length_mean,0.9831873019291234
31,avg_word_freq_zipf,0.9939357953087514
31,avg_word_length,0.9956435267157864
32,log-prob-pcfg_mean,0.9902764519947601
32,rating_gram_mean,0.9171073688641327
32,rating_frequency_mean,0.9256605463598526
32,rating_conversational_mean,0.9378239690903513
32,dep_length_mean,0.9831353869411803
32,avg_word_freq_zipf,0.9938242602111564
32,avg_word_length,0.9955657052067897
33,log-prob-pcfg_mean,0.9902628808647924
33,rating_gram_mean,0.9167638978141599
33,rating_frequency_mean,0.9249712159344733
33,rating_conversational_mean,0.9369766012613955
33,dep_length_mean,0.9830174591019428
33,avg_word_freq_zipf,0.9937630045910306
33,avg_word_length,0.9955592991058044
34,log-prob-pcfg_mean,0.9902609573938493
34,rating_gram_mean,0.9161694634615358
34,rating_frequency_mean,0.9248351738571315
34,rating_conversational_mean,0.935788327562855
34,dep_length_mean,0.9830145723160494
34,avg_word_freq_zipf,0.9937618273672301
34,avg_word_length,0.9955150279181377
35,log-prob-pcfg_mean,0.9897718526491663
35,rating_gram_mean,0.9044302734161996
35,rating_frequency_mean,0.9158316600275477
35,rating_conversational_mean,0.9299418205979932
35,dep_length_mean,0.9829460743317037
35,avg_word_freq_zipf,0.9931550406699593
35,avg_word_length,0.9953104164809966
36,log-prob-pcfg_mean,0.9896644382272104
36,rating_gram_mean,0.9031330819357901
36,rating_frequency_mean,0.9139133383877135
36,rating_conversational_mean,0.9288373805568917
36,dep_length_mean,0.982001032627692
36,avg_word_freq_zipf,0.9931422865414091
36,avg_word_length,0.9952801125525792
37,log-prob-pcfg_mean,0.9895441278463278
37,rating_gram_mean,0.9026170297392984
37,rating_frequency_mean,0.9132675749982517
37,rating_conversational_mean,0.9288332022132361
37,dep_length_mean,0.9819828138671081
37,avg_word_freq_zipf,0.9930031957344715
37,avg_word_length,0.9947672048806082
38,log-prob-pcfg_mean,0.9894583322087195
38,rating_gram_mean,0.9024382392894412
38,rating_frequency_mean,0.9126423578117104
38,rating_conversational_mean,0.9284659810051672
38,dep_length_mean,0.981676543428851
38,avg_word_freq_zipf,0.9929235130014286
38,avg_word_length,0.9945705367790444
39,log-prob-pcfg_mean,0.9894624765810922
39,rating_gram_mean,0.9020163237958571
39,rating_frequency_mean,0.9126542999848345
39,rating_conversational_mean,0.9281072532992183
39,dep_length_mean,0.9816112581250201
39,avg_word_freq_zipf,0.992711768453468
39,avg_word_length,0.9945748983894546
40,log-prob-pcfg_mean,0.9894671005675062
40,rating_gram_mean,0.9020157281003699
40,rating_frequency_mean,0.9103278533102281
40,rating_conversational_mean,0.9274189072211181
40,dep_length_mean,0.9815716667378241
40,avg_word_freq_zipf,0.9926732509515331
40,avg_word_length,0.9943953254650787
41,log-prob-pcfg_mean,0.9894495446735663
41,rating_gram_mean,0.9020076349484955
41,rating_frequency_mean,0.9100956347737442
41,rating_conversational_mean,0.9273298356681686
41,dep_length_mean,0.981366395436281
41,avg_word_freq_zipf,0.992664492527217
41,avg_word_length,0.9943503180314381
42,log-prob-pcfg_mean,0.9887403529145008
42,rating_gram_mean,0.8900129404805113
42,rating_frequency_mean,0.9045707978793313
42,rating_conversational_mean,0.9223603101751757
42,dep_length_mean,0.9812355968517873
42,avg_word_freq_zipf,0.9921999129126233
42,avg_word_length,0.9943489191134122
43,log-prob-pcfg_mean,0.9884889147855316
43,rating_gram_mean,0.8880943174677234
43,rating_frequency_mean,0.9045761989046511
43,rating_conversational_mean,0.9214536328709464
43,dep_length_mean,0.9791608713169183
43,avg_word_freq_zipf,0.992118533975992
43,avg_word_length,0.9943342364834161
44,log-prob-pcfg_mean,0.9883384395824526
44,rating_gram_mean,0.8881051527778504
44,rating_frequency_mean,0.9045283829701233
44,rating_conversational_mean,0.9211070709853268
44,dep_length_mean,0.9782778147411647
44,avg_word_freq_zipf,0.9921170189810796
44,avg_word_length,0.9938286690120279
45,log-prob-pcfg_mean,0.9877517355072768
45,rating_gram_mean,0.8880344203929532
45,rating_frequency_mean,0.904537808063069
45,rating_conversational_mean,0.9210192456999253
45,dep_length_mean,0.9771677651414641
45,avg_word_freq_zipf,0.9920997947621378
45,avg_word_length,0.993829563833282
46,log-prob-pcfg_mean,0.9877509221403468
46,rating_gram_mean,0.8878458246312216
46,rating_frequency_mean,0.9044157907490793
46,rating_conversational_mean,0.9208901821922668
46,dep_length_mean,0.9771676528007179
46,avg_word_freq_zipf,0.9921024875159674
46,avg_word_length,0.9937840090246551
47,log-prob-pcfg_mean,0.9873568602063081
47,rating_gram_mean,0.8878331910080663
47,rating_frequency_mean,0.9034817115868603
47,rating_conversational_mean,0.9206559347188473
47,dep_length_mean,0.9768793123542989
47,avg_word_freq_zipf,0.9920953650893801
47,avg_word_length,0.9937735184955404
48,log-prob-pcfg_mean,0.9873773697309525
48,rating_gram_mean,0.887834633833387
48,rating_frequency_mean,0.9034934205560552
48,rating_conversational_mean,0.9205485440476386
48,dep_length_mean,0.976837663069621
48,avg_word_freq_zipf,0.992094722280751
48,avg_word_length,0.9937022692606984
49,log-prob-pcfg_mean,0.9870294368279834
49,rating_gram_mean,0.8783217232310943
49,rating_frequency_mean,0.89870531081546
49,rating_conversational_mean,0.9121974218685817
49,dep_length_mean,0.9768351314527853
49,avg_word_freq_zipf,0.9920242663697005
49,avg_word_length,0.9936202397130551
50,log-prob-pcfg_mean,0.9866592768276878
50,rating_gram_mean,0.8775826884509303
50,rating_frequency_mean,0.8981722114516676
50,rating_conversational_mean,0.9118195193664433
50,dep_length_mean,0.9766247959445521
50,avg_word_freq_zipf,0.9919412597410934
50,avg_word_length,0.9935610275132339
51,log-prob-pcfg_mean,0.9866584438404423
51,rating_gram_mean,0.8769026295488609
51,rating_frequency_mean,0.8964609879353169
51,rating_conversational_mean,0.9107786495516719
51,dep_length_mean,0.9759745007276281
51,avg_word_freq_zipf,0.9919009032126355
51,avg_word_length,0.9934058992759011
52,log-prob-pcfg_mean,0.9866331200271203
52,rating_gram_mean,0.8763509375759122
52,rating_frequency_mean,0.8950028925252156
52,rating_conversational_mean,0.9087758111058477
52,dep_length_mean,0.9755262442021967
52,avg_word_freq_zipf,0.9918752791022764
52,avg_word_length,0.9932373760984018
53,log-prob-pcfg_mean,0.9864943486670315
53,rating_gram_mean,0.8763829884984439
53,rating_frequency_mean,0.8948853854433554
53,rating_conversational_mean,0.9086473780637989
53,dep_length_mean,0.9753664568394746
53,avg_word_freq_zipf,0.9917669656942938
53,avg_word_length,0.9932384608923038
54,log-prob-pcfg_mean,0.9860984749243658
54,rating_gram_mean,0.8755366465552377
54,rating_frequency_mean,0.8931047665384074
54,rating_conversational_mean,0.9086202567197719
54,dep_length_mean,0.9753689626312239
54,avg_word_freq_zipf,0.9916861589740178
54,avg_word_length,0.9930075458267492
55,log-prob-pcfg_mean,0.9857649812300381
55,rating_gram_mean,0.8752372846226625
55,rating_frequency_mean,0.8927703977126294
55,rating_conversational_mean,0.9085577506840203
55,dep_length_mean,0.975295020345166
55,avg_word_freq_zipf,0.9916840824492443
55,avg_word_length,0.9928264879210936
56,log-prob-pcfg_mean,0.9855768537550493
56,rating_gram_mean,0.8681592958220593
56,rating_frequency_mean,0.8879212469763688
56,rating_conversational_mean,0.9020216798047631
56,dep_length_mean,0.9752871543157968
56,avg_word_freq_zipf,0.991649199897113
56,avg_word_length,0.9927293193469001
57,log-prob-pcfg_mean,0.985613228197025
57,rating_gram_mean,0.867433847745435
57,rating_frequency_mean,0.886990961547367
57,rating_conversational_mean,0.9011055620065315
57,dep_length_mean,0.9751914656417157
57,avg_word_freq_zipf,0.9915376271993321
57,avg_word_length,0.9927221346084183
58,log-prob-pcfg_mean,0.9854775566514606
58,rating_gram_mean,0.867184529827574
58,rating_frequency_mean,0.8866928809987692
58,rating_conversational_mean,0.9000154389882434
58,dep_length_mean,0.9752041398602166
58,avg_word_freq_zipf,0.9914916182779512
58,avg_word_length,0.9926590806859604
59,log-prob-pcfg_mean,0.9854801918443216
59,rating_gram_mean,0.8654965620941837
59,rating_frequency_mean,0.8859994927289236
59,rating_conversational_mean,0.8974518945984304
59,dep_length_mean,0.9748621471107242
59,avg_word_freq_zipf,0.9914609739205626
59,avg_word_length,0.992627517486927
60,log-prob-pcfg_mean,0.9851933899305743
60,rating_gram_mean,0.8637336468628352
60,rating_frequency_mean,0.8859998583654811
60,rating_conversational_mean,0.8974367652356169
60,dep_length_mean,0.9746370822716142
60,avg_word_freq_zipf,0.9914613720339519
60,avg_word_length,0.9924822393472281
61,log-prob-pcfg_mean,0.9851322025715256
61,rating_gram_mean,0.8631826139762715
61,rating_frequency_mean,0.8851241870071351
61,rating_conversational_mean,0.897413883656041
61,dep_length_mean,0.974471578075573
61,avg_word_freq_zipf,0.9913980868791683
61,avg_word_length,0.9924817774690997
62,log-prob-pcfg_mean,0.9848429378364456
62,rating_gram_mean,0.8630235431256217
62,rating_frequency_mean,0.8841874549616372
62,rating_conversational_mean,0.8963956659495717
62,dep_length_mean,0.9734845334427685
62,avg_word_freq_zipf,0.9913733919989534
62,avg_word_length,0.9923371424028737
63,log-prob-pcfg_mean,0.9838589263655526
63,rating_gram_mean,0.8527981456991232
63,rating_frequency_mean,0.8804100595563731
63,rating_conversational_mean,0.893035439615091
63,dep_length_mean,0.9731219538263827
63,avg_word_freq_zipf,0.991091286909956
63,avg_word_length,0.9922664707948579
64,log-prob-pcfg_mean,0.9826373135770035
64,rating_gram_mean,0.8496927962252314
64,rating_frequency_mean,0.8793164163819494
64,rating_conversational_mean,0.8919648185850694
64,dep_length_mean,0.9704804729251811
64,avg_word_freq_zipf,0.9910126568823245
64,avg_word_length,0.9922510969906425
65,log-prob-pcfg_mean,0.9826357133204431
65,rating_gram_mean,0.8496963793393039
65,rating_frequency_mean,0.8792494606530742
65,rating_conversational_mean,0.8916323056130818
65,dep_length_mean,0.9703184479987634
65,avg_word_freq_zipf,0.9909728479424929
65,avg_word_length,0.9922322383117061
66,log-prob-pcfg_mean,0.9822266594544463
66,rating_gram_mean,0.8496651876896936
66,rating_frequency_mean,0.8791234252885449
66,rating_conversational_mean,0.8912675621987135
66,dep_length_mean,0.9702936814913307
66,avg_word_freq_zipf,0.9909432452475864
66,avg_word_length,0.992180831027882
67,log-prob-pcfg_mean,0.9822261509318496
67,rating_gram_mean,0.8496314020006828
67,rating_frequency_mean,0.8788466271166325
67,rating_conversational_mean,0.8912663984226088
67,dep_length_mean,0.970166266636194
67,avg_word_freq_zipf,0.9907826491578539
67,avg_word_length,0.9921290318455089
68,log-prob-pcfg_mean,0.9822024947975581
68,rating_gram_mean,0.849571144938022
68,rating_frequency_mean,0.8774471352290736
68,rating_conversational_mean,0.8894294431152758
68,dep_length_mean,0.9698123087108587
68,avg_word_freq_zipf,0.990772774648215
68,avg_word_length,0.9921319527879368
69,log-prob-pcfg_mean,0.9822030766373016
69,rating_gram_mean,0.8494475483623066
69,rating_frequency_mean,0.8774307617518629
69,rating_conversational_mean,0.8891851622380946
69,dep_length_mean,0.9689467819068202
69,avg_word_freq_zipf,0.9907651245742027
69,avg_word_length,0.9919097333940906
70,log-prob-pcfg_mean,0.9821901377646473
70,rating_gram_mean,0.839014807556119
70,rating_frequency_mean,0.8701584296477796
70,rating_conversational_mean,0.8855926444544405
70,dep_length_mean,0.9681846252318704
70,avg_word_freq_zipf,0.989643822761253
70,avg_word_length,0.9917948719847547
71,log-prob-pcfg_mean,0.9817102406944498
71,rating_gram_mean,0.8385418061367396
71,rating_frequency_mean,0.8670186728253895
71,rating_conversational_mean,0.8837266039498519
71,dep_length_mean,0.9665396682680755
71,avg_word_freq_zipf,0.9896420774446267
71,avg_word_length,0.9916497334059282
72,log-prob-pcfg_mean,0.981708567450807
72,rating_gram_mean,0.8385430057254727
72,rating_frequency_mean,0.8670751863560007
72,rating_conversational_mean,0.8831567558838654
72,dep_length_mean,0.9665102196741513
72,avg_word_freq_zipf,0.9894356536197274
72,avg_word_length,0.9916165667387302
73,log-prob-pcfg_mean,0.9814163865850661
73,rating_gram_mean,0.8383215557444383
73,rating_frequency_mean,0.8667411068452764
73,rating_conversational_mean,0.8831446588800039
73,dep_length_mean,0.966523258955143
73,avg_word_freq_zipf,0.9892773370954232
73,avg_word_length,0.9916095829266709
74,log-prob-pcfg_mean,0.9813742537429858
74,rating_gram_mean,0.8374298661085908
74,rating_frequency_mean,0.8666636250680615
74,rating_conversational_mean,0.8830960611145784
74,dep_length_mean,0.9665109818243693
74,avg_word_freq_zipf,0.98922918423536
74,avg_word_length,0.9916135214152585
75,log-prob-pcfg_mean,0.9812249300522662
75,rating_gram_mean,0.8374217516706219
75,rating_frequency_mean,0.8655738338729091
75,rating_conversational_mean,0.8830459674616018
75,dep_length_mean,0.9658319972207515
75,avg_word_freq_zipf,0.9889538790321156
75,avg_word_length,0.9915493907511742
76,log-prob-pcfg_mean,0.9812033666967584
76,rating_gram_mean,0.8374122264987532
76,rating_frequency_mean,0.8653411575426758
76,rating_conversational_mean,0.8830484835487906
76,dep_length_mean,0.9648566403794645
76,avg_word_freq_zipf,0.9889217982231038
76,avg_word_length,0.9911562857130777
77,log-prob-pcfg_mean,0.9808243342884587
77,rating_gram_mean,0.8300742444275058
77,rating_frequency_mean,0.8599487528308959
77,rating_conversational_mean,0.8777187762951101
77,dep_length_mean,0.9644292797173898
77,avg_word_freq_zipf,0.9885149701500491
77,avg_word_length,0.990808901236072
78,log-prob-pcfg_mean,0.9807287333146019
78,rating_gram_mean,0.8288913294484459
78,rating_frequency_mean,0.8591426919897784
78,rating_conversational_mean,0.8777222989177429
78,dep_length_mean,0.9643640376650822
78,avg_word_freq_zipf,0.9883873951311429
78,avg_word_length,0.9906220005312669
79,log-prob-pcfg_mean,0.9806982896233817
79,rating_gram_mean,0.8283129471134278
79,rating_frequency_mean,0.8564227831296518
79,rating_conversational_mean,0.87565665666764
79,dep_length_mean,0.9642166876244543
79,avg_word_freq_zipf,0.9878993321161846
79,avg_word_length,0.9905029878274723
80,log-prob-pcfg_mean,0.9804526037281631
80,rating_gram_mean,0.8272146092722985
80,rating_frequency_mean,0.855894945270245
80,rating_conversational_mean,0.8756723810473956
80,dep_length_mean,0.9610086663645311
80,avg_word_freq_zipf,0.9875860214054795
80,avg_word_length,0.9903506837696919
81,log-prob-pcfg_mean,0.9804669590300886
81,rating_gram_mean,0.8271976270845571
81,rating_frequency_mean,0.8557770899196004
81,rating_conversational_mean,0.8752620677674728
81,dep_length_mean,0.9604071553941876
81,avg_word_freq_zipf,0.9874184320607755
81,avg_word_length,0.9901989811974434
82,log-prob-pcfg_mean,0.9804492231440414
82,rating_gram_mean,0.8270280569344126
82,rating_frequency_mean,0.8549956988091134
82,rating_conversational_mean,0.8752008852078332
82,dep_length_mean,0.96040612598288
82,avg_word_freq_zipf,0.9874210504237645
82,avg_word_length,0.990175575804748
83,log-prob-pcfg_mean,0.9793122794727523
83,rating_gram_mean,0.8269318378595647
83,rating_frequency_mean,0.8549528347619958
