step,feature_name,r2
0,log-prob-pcfg_mean,0.9948445353223174
0,rating_gram_mean,0.9898255564737986
0,rating_frequency_mean,0.99069127443976
0,rating_conversational_mean,0.9903854017082996
0,dep_length_mean,0.9915067751240921
0,avg_word_freq_zipf,0.9980068742491986
0,avg_word_length,0.9972970393276965
1,log-prob-pcfg_mean,0.9683374574435337
1,rating_gram_mean,0.9889921690603454
1,rating_frequency_mean,0.9898938679037246
1,rating_conversational_mean,0.9903512305445473
1,dep_length_mean,0.9914966071999617
1,avg_word_freq_zipf,0.9976829826263857
1,avg_word_length,0.9970866652376346
2,log-prob-pcfg_mean,0.9678966726314422
2,rating_gram_mean,0.9468199979442742
2,rating_frequency_mean,0.9849947164917169
2,rating_conversational_mean,0.984891341018417
2,dep_length_mean,0.9912684675897334
2,avg_word_freq_zipf,0.9976049450934562
2,avg_word_length,0.9970781537110162
3,log-prob-pcfg_mean,0.9672993047623344
3,rating_gram_mean,0.9405711763008265
3,rating_frequency_mean,0.9328702268529812
3,rating_conversational_mean,0.9714560872899619
3,dep_length_mean,0.9910289770533037
3,avg_word_freq_zipf,0.9971458232093647
3,avg_word_length,0.9970834717701765
4,log-prob-pcfg_mean,0.9672997108211856
4,rating_gram_mean,0.9375586512801569
4,rating_frequency_mean,0.9261988283574157
4,rating_conversational_mean,0.9362898127431317
4,dep_length_mean,0.9907645787727274
4,avg_word_freq_zipf,0.9971382591272867
4,avg_word_length,0.9970566411076612
5,log-prob-pcfg_mean,0.9673053607605645
5,rating_gram_mean,0.9375472904843262
5,rating_frequency_mean,0.9261846461645995
5,rating_conversational_mean,0.9361236330055434
5,dep_length_mean,0.9378119541801359
5,avg_word_freq_zipf,0.9971005997821833
5,avg_word_length,0.9969718817171345
6,log-prob-pcfg_mean,0.9673131927271043
6,rating_gram_mean,0.9370250441063587
6,rating_frequency_mean,0.9248431297414345
6,rating_conversational_mean,0.9361033539173899
6,dep_length_mean,0.9370469527925426
6,avg_word_freq_zipf,0.9851123040000894
6,avg_word_length,0.9962392231766009
7,log-prob-pcfg_mean,0.9671123063864019
7,rating_gram_mean,0.937006876813357
7,rating_frequency_mean,0.92384025646827
7,rating_conversational_mean,0.9360970729505211
7,dep_length_mean,0.9369489851212081
7,avg_word_freq_zipf,0.9841350290194676
7,avg_word_length,0.9824449723961651
8,log-prob-pcfg_mean,0.9466700355254769
8,rating_gram_mean,0.9364018176805056
8,rating_frequency_mean,0.9236394003730023
8,rating_conversational_mean,0.9360966578509381
8,dep_length_mean,0.9363420460814467
8,avg_word_freq_zipf,0.9840123046330667
8,avg_word_length,0.9823174319335984
9,log-prob-pcfg_mean,0.945993844814262
9,rating_gram_mean,0.8982754599556196
9,rating_frequency_mean,0.9213451977531278
9,rating_conversational_mean,0.9354228749766272
9,dep_length_mean,0.9363443318841956
9,avg_word_freq_zipf,0.9839921482521197
9,avg_word_length,0.982319023854172
10,log-prob-pcfg_mean,0.9459295672276802
10,rating_gram_mean,0.8934408804470576
10,rating_frequency_mean,0.8896640142095624
10,rating_conversational_mean,0.9293241183045753
10,dep_length_mean,0.9355580312007634
10,avg_word_freq_zipf,0.9833577627728447
10,avg_word_length,0.9822193136099846
11,log-prob-pcfg_mean,0.9457551450624487
11,rating_gram_mean,0.8858130083480624
11,rating_frequency_mean,0.8772679212767934
11,rating_conversational_mean,0.8970223510279557
11,dep_length_mean,0.9353661087559552
11,avg_word_freq_zipf,0.9829661507354055
11,avg_word_length,0.9822201268482081
12,log-prob-pcfg_mean,0.9456241880834139
12,rating_gram_mean,0.885807737736723
12,rating_frequency_mean,0.8772702550357475
12,rating_conversational_mean,0.896997859604211
12,dep_length_mean,0.8861248587717183
12,avg_word_freq_zipf,0.9828493348476296
12,avg_word_length,0.9821421643659922
13,log-prob-pcfg_mean,0.9452380706244334
13,rating_gram_mean,0.8854916503810638
13,rating_frequency_mean,0.8754656763070048
13,rating_conversational_mean,0.8964082518117573
13,dep_length_mean,0.8855367114398346
13,avg_word_freq_zipf,0.970907908946745
13,avg_word_length,0.9812205958919907
14,log-prob-pcfg_mean,0.9452610691434478
14,rating_gram_mean,0.8852250490482029
14,rating_frequency_mean,0.8753915927313898
14,rating_conversational_mean,0.8962373230536608
14,dep_length_mean,0.8855636610284854
14,avg_word_freq_zipf,0.9704189528105106
14,avg_word_length,0.968439728461066
15,log-prob-pcfg_mean,0.9252686257703739
15,rating_gram_mean,0.8821854252838977
15,rating_frequency_mean,0.8744714630360145
15,rating_conversational_mean,0.8946974713824172
15,dep_length_mean,0.884791722459093
15,avg_word_freq_zipf,0.9702660750893283
15,avg_word_length,0.9680072854643637
16,log-prob-pcfg_mean,0.9236255258426895
16,rating_gram_mean,0.8466223943485602
16,rating_frequency_mean,0.8686618690845053
16,rating_conversational_mean,0.8908756989610759
16,dep_length_mean,0.884327914483191
16,avg_word_freq_zipf,0.969772340529356
16,avg_word_length,0.967815660304868
17,log-prob-pcfg_mean,0.9229684355116239
17,rating_gram_mean,0.8417867257115696
17,rating_frequency_mean,0.8372471408411883
17,rating_conversational_mean,0.8804171225535266
17,dep_length_mean,0.8843240675790376
17,avg_word_freq_zipf,0.9693499531193457
17,avg_word_length,0.9677626848322125
18,log-prob-pcfg_mean,0.9226653716153165
18,rating_gram_mean,0.839410853781595
18,rating_frequency_mean,0.8330679478569969
18,rating_conversational_mean,0.8601039936526569
18,dep_length_mean,0.8843258874362321
18,avg_word_freq_zipf,0.9687778632742483
18,avg_word_length,0.96753471050398
19,log-prob-pcfg_mean,0.920968641140874
19,rating_gram_mean,0.8390613816893766
19,rating_frequency_mean,0.8328600865927503
19,rating_conversational_mean,0.860012560888248
19,dep_length_mean,0.8423672773754304
19,avg_word_freq_zipf,0.9685484527757684
19,avg_word_length,0.9669414986535859
20,log-prob-pcfg_mean,0.9189904235746392
20,rating_gram_mean,0.8378495321989192
20,rating_frequency_mean,0.8317894215285381
20,rating_conversational_mean,0.8585181172176306
20,dep_length_mean,0.8418941811757175
20,avg_word_freq_zipf,0.9584151853708819
20,avg_word_length,0.9664512078690748
21,log-prob-pcfg_mean,0.9180395093977758
21,rating_gram_mean,0.8372506917873728
21,rating_frequency_mean,0.831375808635369
21,rating_conversational_mean,0.8579834366070422
21,dep_length_mean,0.8415980181208518
21,avg_word_freq_zipf,0.9577194752282354
21,avg_word_length,0.9504198558795799
22,log-prob-pcfg_mean,0.9024930557416034
22,rating_gram_mean,0.8367172270842347
22,rating_frequency_mean,0.830987755981357
22,rating_conversational_mean,0.8576026349789672
22,dep_length_mean,0.8413713415614121
22,avg_word_freq_zipf,0.9571718008103238
22,avg_word_length,0.950083355791154
23,log-prob-pcfg_mean,0.9022772680336608
23,rating_gram_mean,0.8063720573680524
23,rating_frequency_mean,0.8276382927456212
23,rating_conversational_mean,0.8558297440390765
23,dep_length_mean,0.8413867093562403
23,avg_word_freq_zipf,0.957013877798187
23,avg_word_length,0.9498053565198796
24,log-prob-pcfg_mean,0.9021628561017508
24,rating_gram_mean,0.8050317977023511
24,rating_frequency_mean,0.8039882400403698
24,rating_conversational_mean,0.8535143940861912
24,dep_length_mean,0.8413713117627086
24,avg_word_freq_zipf,0.9563379708481213
24,avg_word_length,0.9498065387492551
25,log-prob-pcfg_mean,0.9019948720034223
25,rating_gram_mean,0.8020315401829987
25,rating_frequency_mean,0.7992810403297582
25,rating_conversational_mean,0.8318454504852439
25,dep_length_mean,0.8413711787053588
25,avg_word_freq_zipf,0.9557976867036291
25,avg_word_length,0.9496382882842067
26,log-prob-pcfg_mean,0.9019744344784606
26,rating_gram_mean,0.8013354137711042
26,rating_frequency_mean,0.7992449710109539
26,rating_conversational_mean,0.8318229834475899
26,dep_length_mean,0.8042664545980646
26,avg_word_freq_zipf,0.9556487558789404
26,avg_word_length,0.9495991352246613
27,log-prob-pcfg_mean,0.9010171743476086
27,rating_gram_mean,0.8013367466539497
27,rating_frequency_mean,0.7976571241163053
27,rating_conversational_mean,0.8310756493014764
27,dep_length_mean,0.8037895599402852
27,avg_word_freq_zipf,0.9437236528182529
27,avg_word_length,0.948872879209233
28,log-prob-pcfg_mean,0.9006369701890868
28,rating_gram_mean,0.8013158470806513
28,rating_frequency_mean,0.7975675346094109
28,rating_conversational_mean,0.8308187510535309
28,dep_length_mean,0.8035814530997158
28,avg_word_freq_zipf,0.9425730094166641
28,avg_word_length,0.9349499820783723
29,log-prob-pcfg_mean,0.8825800268720511
29,rating_gram_mean,0.8011565540888762
29,rating_frequency_mean,0.7963277892172491
29,rating_conversational_mean,0.8305862017308081
29,dep_length_mean,0.8032596018881182
29,avg_word_freq_zipf,0.9415819270540735
29,avg_word_length,0.9346695064453621
30,log-prob-pcfg_mean,0.8823884152242497
30,rating_gram_mean,0.77789334152096
30,rating_frequency_mean,0.795721925525441
30,rating_conversational_mean,0.8294800058087113
30,dep_length_mean,0.8032596479155778
30,avg_word_freq_zipf,0.9413395614181483
30,avg_word_length,0.9344159848037943
31,log-prob-pcfg_mean,0.8819275169212174
31,rating_gram_mean,0.7777992184287691
31,rating_frequency_mean,0.7759351866140322
31,rating_conversational_mean,0.8261107454923717
31,dep_length_mean,0.8030828709346505
31,avg_word_freq_zipf,0.9411968554434789
31,avg_word_length,0.9342749147045708
32,log-prob-pcfg_mean,0.881737917025256
32,rating_gram_mean,0.7760623549169149
32,rating_frequency_mean,0.7715766808161032
32,rating_conversational_mean,0.804323504602949
32,dep_length_mean,0.8026146513638601
32,avg_word_freq_zipf,0.9407447027613993
32,avg_word_length,0.9342049087542055
33,log-prob-pcfg_mean,0.8817211547689655
33,rating_gram_mean,0.7760138525282738
33,rating_frequency_mean,0.7715736989417876
33,rating_conversational_mean,0.8043228645392096
33,dep_length_mean,0.7669419182436938
33,avg_word_freq_zipf,0.9407323051240963
33,avg_word_length,0.9341987652205058
34,log-prob-pcfg_mean,0.8814713041946904
34,rating_gram_mean,0.7756947570504621
34,rating_frequency_mean,0.7706252978188293
34,rating_conversational_mean,0.8016656414361855
34,dep_length_mean,0.7669441174151639
34,avg_word_freq_zipf,0.9293240530038117
34,avg_word_length,0.9314779139152892
35,log-prob-pcfg_mean,0.8807219352938851
35,rating_gram_mean,0.7756230872645303
35,rating_frequency_mean,0.7705641145649917
35,rating_conversational_mean,0.8015261739577404
35,dep_length_mean,0.7668380141299971
35,avg_word_freq_zipf,0.9272646913886641
35,avg_word_length,0.9170119243218491
36,log-prob-pcfg_mean,0.8648862434919425
36,rating_gram_mean,0.7745930383549263
36,rating_frequency_mean,0.7693529104179827
36,rating_conversational_mean,0.8006825155814732
36,dep_length_mean,0.7666995799283819
36,avg_word_freq_zipf,0.926186675269567
36,avg_word_length,0.9166285966535591
37,log-prob-pcfg_mean,0.8643316778125465
37,rating_gram_mean,0.7478458782803823
37,rating_frequency_mean,0.767995233349625
37,rating_conversational_mean,0.8000326305481723
37,dep_length_mean,0.7665234792876945
37,avg_word_freq_zipf,0.9260165826469005
37,avg_word_length,0.9162964202971231
38,log-prob-pcfg_mean,0.8635638099664521
38,rating_gram_mean,0.747259004276525
38,rating_frequency_mean,0.7489804005819967
38,rating_conversational_mean,0.7951675705212092
38,dep_length_mean,0.7659277257984799
38,avg_word_freq_zipf,0.9254034938780059
38,avg_word_length,0.9161199051496743
39,log-prob-pcfg_mean,0.8626035254314628
39,rating_gram_mean,0.7471054063852016
39,rating_frequency_mean,0.7441557315308938
39,rating_conversational_mean,0.777503903849877
39,dep_length_mean,0.7654738708374003
39,avg_word_freq_zipf,0.9240709797320291
39,avg_word_length,0.9153678253633202
40,log-prob-pcfg_mean,0.8626075388606648
40,rating_gram_mean,0.7465576919982442
40,rating_frequency_mean,0.7441514788445551
40,rating_conversational_mean,0.7774726748403239
40,dep_length_mean,0.7378763798148018
40,avg_word_freq_zipf,0.9239167603877457
40,avg_word_length,0.9153658980048984
41,log-prob-pcfg_mean,0.8611843192756805
41,rating_gram_mean,0.7462802605096125
41,rating_frequency_mean,0.7439359646447306
41,rating_conversational_mean,0.7765694973774326
41,dep_length_mean,0.737821321548141
41,avg_word_freq_zipf,0.9112209667906651
41,avg_word_length,0.9124598977261298
42,log-prob-pcfg_mean,0.8605702847763874
42,rating_gram_mean,0.74608323352174
42,rating_frequency_mean,0.742767741028882
42,rating_conversational_mean,0.7733585595486572
42,dep_length_mean,0.7377525179132873
42,avg_word_freq_zipf,0.9093606654734868
42,avg_word_length,0.8973964338456321
43,log-prob-pcfg_mean,0.8468928011913275
43,rating_gram_mean,0.7457599024157253
43,rating_frequency_mean,0.741870406101164
43,rating_conversational_mean,0.7720648510463334
43,dep_length_mean,0.737636785713083
43,avg_word_freq_zipf,0.9085336249101704
43,avg_word_length,0.8962325096860403
44,log-prob-pcfg_mean,0.8458756008750281
44,rating_gram_mean,0.7251227066575876
44,rating_frequency_mean,0.740842692065558
44,rating_conversational_mean,0.7711232342069149
44,dep_length_mean,0.7374199154048
44,avg_word_freq_zipf,0.908524747919016
44,avg_word_length,0.8962048243920003
45,log-prob-pcfg_mean,0.8456326762403237
45,rating_gram_mean,0.7247286232371709
45,rating_frequency_mean,0.7237313335908443
45,rating_conversational_mean,0.7697851580370745
45,dep_length_mean,0.7374146481005577
45,avg_word_freq_zipf,0.9081478869351977
45,avg_word_length,0.8962122410757699
46,log-prob-pcfg_mean,0.8453219981010879
46,rating_gram_mean,0.722424694667107
46,rating_frequency_mean,0.7218071229140584
46,rating_conversational_mean,0.7541914019096633
46,dep_length_mean,0.7373497597516172
46,avg_word_freq_zipf,0.9065078533765883
46,avg_word_length,0.8949251732336587
47,log-prob-pcfg_mean,0.8453193385780007
47,rating_gram_mean,0.7224228100874963
47,rating_frequency_mean,0.7218041194984777
47,rating_conversational_mean,0.754191473661047
47,dep_length_mean,0.7033659798966045
47,avg_word_freq_zipf,0.9061845273382556
47,avg_word_length,0.8949243276749989
48,log-prob-pcfg_mean,0.8446269529227944
48,rating_gram_mean,0.722284953288702
48,rating_frequency_mean,0.7196343409766844
48,rating_conversational_mean,0.7532004093189308
48,dep_length_mean,0.703189161910132
48,avg_word_freq_zipf,0.8939347149973749
48,avg_word_length,0.893452094836096
49,log-prob-pcfg_mean,0.8445964602973922
49,rating_gram_mean,0.7213879012000637
49,rating_frequency_mean,0.719618838498006
49,rating_conversational_mean,0.7531487568825048
49,dep_length_mean,0.7031708413394998
49,avg_word_freq_zipf,0.8929973002369773
49,avg_word_length,0.8776155206721278
50,log-prob-pcfg_mean,0.8292935313542561
50,rating_gram_mean,0.7199164186926856
50,rating_frequency_mean,0.719398156324536
50,rating_conversational_mean,0.7529504209246132
50,dep_length_mean,0.7031789823889367
50,avg_word_freq_zipf,0.89155319636708
50,avg_word_length,0.877140940631821
51,log-prob-pcfg_mean,0.8287355798816665
51,rating_gram_mean,0.6993754657283464
51,rating_frequency_mean,0.7182942006033601
51,rating_conversational_mean,0.7506248762205034
51,dep_length_mean,0.7031054508879451
51,avg_word_freq_zipf,0.8914655132216944
51,avg_word_length,0.8771406545057006
52,log-prob-pcfg_mean,0.8275900960470204
52,rating_gram_mean,0.6967587843723237
52,rating_frequency_mean,0.6983356003871749
52,rating_conversational_mean,0.7475862473961263
52,dep_length_mean,0.7023738380852704
52,avg_word_freq_zipf,0.8907167666795194
52,avg_word_length,0.8760428985901787
53,log-prob-pcfg_mean,0.8269624938184997
53,rating_gram_mean,0.6944998069023355
53,rating_frequency_mean,0.6960901613052821
53,rating_conversational_mean,0.7312674803859638
53,dep_length_mean,0.7019416334136175
53,avg_word_freq_zipf,0.8902323707296589
53,avg_word_length,0.8747421316001038
54,log-prob-pcfg_mean,0.8268131153986216
54,rating_gram_mean,0.6944870474361143
54,rating_frequency_mean,0.6960112938585971
54,rating_conversational_mean,0.7312673544109962
54,dep_length_mean,0.6721844420280834
54,avg_word_freq_zipf,0.8899384912800106
54,avg_word_length,0.8747277602728657
55,log-prob-pcfg_mean,0.8246523775162083
55,rating_gram_mean,0.692813218721638
55,rating_frequency_mean,0.6923411692608059
55,rating_conversational_mean,0.7300640088282322
55,dep_length_mean,0.6720189013342044
55,avg_word_freq_zipf,0.8772407698455174
55,avg_word_length,0.8729769994795502
56,log-prob-pcfg_mean,0.8241042286715996
56,rating_gram_mean,0.6923054162719889
56,rating_frequency_mean,0.6920818337556223
56,rating_conversational_mean,0.7291264090422597
56,dep_length_mean,0.6715845751738426
56,avg_word_freq_zipf,0.8755638542042633
56,avg_word_length,0.8588456423143512
57,log-prob-pcfg_mean,0.809595882773212
57,rating_gram_mean,0.6911649162638116
57,rating_frequency_mean,0.6900645048510692
57,rating_conversational_mean,0.7284350603068621
57,dep_length_mean,0.67074809878771
57,avg_word_freq_zipf,0.8745704552614979
57,avg_word_length,0.858658106899353
58,log-prob-pcfg_mean,0.8091877382940088
58,rating_gram_mean,0.6703231527972704
58,rating_frequency_mean,0.6888307049556235
58,rating_conversational_mean,0.7276258477914461
58,dep_length_mean,0.6707331319631791
58,avg_word_freq_zipf,0.8744192993710923
58,avg_word_length,0.8584460930544557
59,log-prob-pcfg_mean,0.8077847179150903
59,rating_gram_mean,0.6699990263530144
59,rating_frequency_mean,0.6740235362564576
59,rating_conversational_mean,0.7240471242487474
59,dep_length_mean,0.6706798974749968
59,avg_word_freq_zipf,0.8728164828566621
59,avg_word_length,0.8582159228481783
60,log-prob-pcfg_mean,0.8067560402591175
60,rating_gram_mean,0.6690138779512169
60,rating_frequency_mean,0.671912334024001
60,rating_conversational_mean,0.709721024343966
60,dep_length_mean,0.6704295502976155
60,avg_word_freq_zipf,0.8725309069425399
60,avg_word_length,0.8579281767908464
61,log-prob-pcfg_mean,0.8067554225106404
61,rating_gram_mean,0.6690125669881053
61,rating_frequency_mean,0.6719037172738151
61,rating_conversational_mean,0.7097231194901206
61,dep_length_mean,0.640524486527829
61,avg_word_freq_zipf,0.8723705726947691
61,avg_word_length,0.8579184300903804
62,log-prob-pcfg_mean,0.8048347343455025
62,rating_gram_mean,0.668763702491007
62,rating_frequency_mean,0.6706014301409671
62,rating_conversational_mean,0.7079762850303449
62,dep_length_mean,0.6393326232474421
62,avg_word_freq_zipf,0.8585645100720856
62,avg_word_length,0.8563208540582193
63,log-prob-pcfg_mean,0.8042490482828606
63,rating_gram_mean,0.6685353114019263
63,rating_frequency_mean,0.6702350294005066
63,rating_conversational_mean,0.7071489020381843
63,dep_length_mean,0.6387077323347989
63,avg_word_freq_zipf,0.8559095004035215
63,avg_word_length,0.8408924449873794
64,log-prob-pcfg_mean,0.7899628522886217
64,rating_gram_mean,0.6671013319817417
64,rating_frequency_mean,0.6702350835331119
64,rating_conversational_mean,0.7069517617055986
64,dep_length_mean,0.6386101816123232
64,avg_word_freq_zipf,0.8557684582157806
64,avg_word_length,0.8405726539367426
65,log-prob-pcfg_mean,0.7889574043879306
65,rating_gram_mean,0.6465687257820474
65,rating_frequency_mean,0.6695946430936909
65,rating_conversational_mean,0.7064341580171389
65,dep_length_mean,0.6381412216451828
65,avg_word_freq_zipf,0.8556067833303529
65,avg_word_length,0.8402223814707337
66,log-prob-pcfg_mean,0.7889638096110216
66,rating_gram_mean,0.6439681385805638
66,rating_frequency_mean,0.6549099691267148
66,rating_conversational_mean,0.7030109020303265
66,dep_length_mean,0.6374120942452337
66,avg_word_freq_zipf,0.8550326453320714
66,avg_word_length,0.8400949468946203
67,log-prob-pcfg_mean,0.7877079476860984
67,rating_gram_mean,0.6428890392980634
67,rating_frequency_mean,0.6515629378058131
67,rating_conversational_mean,0.6887730866081939
67,dep_length_mean,0.6372982180692706
67,avg_word_freq_zipf,0.8541844620180361
67,avg_word_length,0.8391142035614948
68,log-prob-pcfg_mean,0.7872584806045273
68,rating_gram_mean,0.6428650027203672
68,rating_frequency_mean,0.6515326580841858
68,rating_conversational_mean,0.6886999600531045
68,dep_length_mean,0.6150818182119382
68,avg_word_freq_zipf,0.8540969434077907
68,avg_word_length,0.8390783567271558
69,log-prob-pcfg_mean,0.7854160140130391
69,rating_gram_mean,0.6428641374756938
69,rating_frequency_mean,0.650289043814319
69,rating_conversational_mean,0.6866813252162081
69,dep_length_mean,0.6148325040333422
69,avg_word_freq_zipf,0.8406479324696583
69,avg_word_length,0.8341945334813196
70,log-prob-pcfg_mean,0.784876162548863
70,rating_gram_mean,0.6427839151673589
70,rating_frequency_mean,0.649413089689884
70,rating_conversational_mean,0.6850452165610245
70,dep_length_mean,0.614620924970462
70,avg_word_freq_zipf,0.8374156786860265
70,avg_word_length,0.8146981024165934
71,log-prob-pcfg_mean,0.7683679922198735
71,rating_gram_mean,0.6402536263848975
71,rating_frequency_mean,0.6479774875516499
71,rating_conversational_mean,0.6833372782253249
71,dep_length_mean,0.6146252439605693
71,avg_word_freq_zipf,0.8363288806552286
71,avg_word_length,0.8130016023770279
72,log-prob-pcfg_mean,0.7676715386353192
72,rating_gram_mean,0.6166323052096025
72,rating_frequency_mean,0.6473586903896746
72,rating_conversational_mean,0.6820019320571036
72,dep_length_mean,0.6146142520343352
72,avg_word_freq_zipf,0.8363247886929266
72,avg_word_length,0.8128637094869224
73,log-prob-pcfg_mean,0.7674628504429511
73,rating_gram_mean,0.6160994982763165
73,rating_frequency_mean,0.6314769122148725
73,rating_conversational_mean,0.6784645833618828
73,dep_length_mean,0.6143746527812984
73,avg_word_freq_zipf,0.8346076847794371
73,avg_word_length,0.8121307820961929
74,log-prob-pcfg_mean,0.7674459054839331
74,rating_gram_mean,0.6143096871248342
74,rating_frequency_mean,0.628583852907785
74,rating_conversational_mean,0.6640275461256987
74,dep_length_mean,0.6137142283899903
74,avg_word_freq_zipf,0.8337234879584062
74,avg_word_length,0.811282973638766
75,log-prob-pcfg_mean,0.7673556239687062
75,rating_gram_mean,0.6141799768594198
75,rating_frequency_mean,0.628582923157776
75,rating_conversational_mean,0.6639917301582937
75,dep_length_mean,0.5879800009911522
75,avg_word_freq_zipf,0.833639013117354
75,avg_word_length,0.8111505372660801
76,log-prob-pcfg_mean,0.7658696400596128
76,rating_gram_mean,0.6141611484107736
76,rating_frequency_mean,0.6270892841239519
76,rating_conversational_mean,0.6627094158924278
76,dep_length_mean,0.5879822196750695
76,avg_word_freq_zipf,0.8193386291115314
76,avg_word_length,0.8088620921738633
77,log-prob-pcfg_mean,0.7658955840658382
77,rating_gram_mean,0.6137377672784905
77,rating_frequency_mean,0.6269477893916076
77,rating_conversational_mean,0.6615883216437399
77,dep_length_mean,0.5876679967703886
77,avg_word_freq_zipf,0.8162512363110015
77,avg_word_length,0.7930252439620462
78,log-prob-pcfg_mean,0.7524381849348947
78,rating_gram_mean,0.6133798044525456
78,rating_frequency_mean,0.6259935138528326
78,rating_conversational_mean,0.659814055619383
78,dep_length_mean,0.5875918154077536
78,avg_word_freq_zipf,0.8150070563690132
78,avg_word_length,0.7917987991559869
79,log-prob-pcfg_mean,0.7516591058855404
79,rating_gram_mean,0.5918068538866712
79,rating_frequency_mean,0.6252673083715912
79,rating_conversational_mean,0.6584854848758928
79,dep_length_mean,0.5874904402974338
79,avg_word_freq_zipf,0.8149985530617445
79,avg_word_length,0.7912476414814076
80,log-prob-pcfg_mean,0.7513857054868118
80,rating_gram_mean,0.5900616403652297
80,rating_frequency_mean,0.6080469709408634
80,rating_conversational_mean,0.656301094635366
80,dep_length_mean,0.5873908557518168
80,avg_word_freq_zipf,0.8136899578742389
80,avg_word_length,0.7900976589144546
81,log-prob-pcfg_mean,0.7506329836652523
81,rating_gram_mean,0.5895238548484663
81,rating_frequency_mean,0.5997256554175665
81,rating_conversational_mean,0.6418074919744181
81,dep_length_mean,0.5873938758970731
81,avg_word_freq_zipf,0.8127731677859765
81,avg_word_length,0.7895046364188155
82,log-prob-pcfg_mean,0.7506455382347912
82,rating_gram_mean,0.5895250410512949
82,rating_frequency_mean,0.5997177583346889
82,rating_conversational_mean,0.6417292386136744
82,dep_length_mean,0.5621403855182349
82,avg_word_freq_zipf,0.8127726554555095
82,avg_word_length,0.789381155065358
83,log-prob-pcfg_mean,0.7499984679826881
83,rating_gram_mean,0.5896024676623274
83,rating_frequency_mean,0.5981508404392537
