sentence,rating_imageability_mean,rating_others_thoughts_mean,rating_physical_mean,rating_places_mean,rating_valence_mean,rating_arousal_mean,rating_sense_mean
"""I think it's overblown,"" he said.",3.6875,6.0714285714286,1.2666666666667,1.0,1.9444444444444,2.4117647058824,6.9411764705882
A bunny can be fluffy sometimes.,6.1333333333333,3.125,5.5,2.4285714285714,5.2941176470588,3.2777777777778,6.9444444444444
A car drove down the road.,6.2666666666667,2.8125,6.6875,4.8571428571429,3.4117647058824,2.2222222222222,6.8333333333333
"A childish notion, to be sure.",2.3076923076923,4.3888888888889,1.5714285714286,1.3333333333333,2.5,1.7857142857143,6.9333333333333
A cigarette would taste particularly good.,4.75,4.5294117647059,5.1875,2.0625,2.6923076923077,3.4,6.25
A creature both demon and beast.,4.9375,2.8235294117647,4.4666666666667,2.0,1.5,5.1875,6.1818181818182
A fully substantiated and provable fact.,1.625,2.7777777777778,1.2307692307692,1.1875,3.8823529411765,3.3571428571429,6.8461538461538
"A game of football, I suggest?",4.75,3.9285714285714,4.8125,2.75,4.25,2.9285714285714,5.8235294117647
A gun fired into the air.,6.3076923076923,2.3888888888889,6.2142857142857,3.4,2.0,4.2142857142857,6.8
A king must have an heir.,3.8,3.2352941176471,2.1176470588235,2.4285714285714,2.7058823529412,3.1875,6.9
A large band played folk tunes.,5.9375,4.6428571428571,4.3333333333333,2.7777777777778,4.2222222222222,4.1764705882353,6.9411764705882
A letter awaited her at Princeton.,5.1875,3.3571428571429,6.0625,4.5,4.9375,3.5,6.8235294117647
"A little scary, but not surprising.",2.7894736842105,5.4,1.3846153846154,1.5294117647059002,2.9285714285714,3.3333333333333,6.8
A loud rumbling noise interrupted him.,4.7142857142857,5.1875,2.5555555555556,2.8666666666667,1.9333333333333,4.7333333333333,6.7272727272727
A monkey with a bird's voice!,4.7894736842105,2.7333333333333,3.1538461538462,2.0588235294118,4.2142857142857,4.5,6.0666666666667
A must for all hosta collections.,2.5,1.7142857142857,3.3125,2.0833333333333,2.3125,2.0714285714286,5.7647058823529
A photo appears on the screen.,5.9230769230769,1.5625,5.9285714285714,2.8125,3.4736842105263,3.1538461538462,6.8235294117647
A shower and clean clothes helped.,5.2857142857143,3.7142857142857,6.0,2.4285714285714,6.1538461538462,3.3571428571429,6.8823529411765
A student intellectual turned leftist radical.,3.9230769230769,4.1875,2.0714285714286,1.4375,2.5789473684211,4.2307692307692,6.0
A tall man with sun-streaked hair.,6.1666666666667,4.1764705882353,4.4375,3.125,3.1538461538462,3.4,6.75
"A test was necessary, she decided.",2.5625,5.0588235294118,2.7333333333333,1.3157894736842002,2.6875,3.3125,7.0
A tree covered with red berries.,6.75,2.0625,6.6153846153846,6.75,5.1875,2.7142857142857,6.8333333333333
A vampire can full on cry?,3.7857142857143,4.0,2.6,1.3571428571429,3.0,3.0714285714286,5.7647058823529
A voice came over his radio.,4.5625,3.2142857142857,4.9375,2.0,3.1875,2.7857142857143,6.8235294117647
A wooden table lay between them.,5.8666666666667,3.3684210526315996,6.375,3.6428571428571,3.0588235294118005,2.1875,6.625
A work of art in itself.,3.0,2.8,3.5333333333333,1.5,4.8571428571429,2.8666666666667,6.75
AWA shall provide applicable training materials.,2.9285714285714,1.3125,3.3333333333333,1.7142857142857,2.6666666666667,1.2857142857143,6.3333333333333
Across the street was a pub.,6.375,2.4117647058824,5.8,5.6315789473684,4.75,2.6875,7.0
Addiction is not a pretty face.,3.4166666666667,3.8235294117647,2.125,1.5625,1.7692307692308,3.2666666666667,4.6666666666667
Adding this one to my list!,3.1875,4.0625,2.8461538461538,1.3333333333333,4.9375,2.8571428571429,6.8333333333333
Admin coordinators do primarily administrative work.,3.3076923076923,3.0,2.5333333333333,1.3125,2.5714285714286,1.6,6.5
Afraid of what she might do.,2.125,5.3888888888889,1.9230769230769,1.1875,1.5882352941176,4.7857142857143,6.8461538461538
"After that, no others remained intact.",2.9230769230769,2.625,1.7857142857143,1.625,1.7368421052632,3.8461538461538,6.7058823529412
"After that, what do we do?",2.1428571428571,4.375,1.2777777777778,1.3333333333333,3.0,2.6,6.8181818181818
"Again, it's been nearly a week.",1.5625,3.2222222222222,1.8461538461538,1.5,2.4117647058824,2.6428571428571,6.9230769230769
All sorts of treasure there too.,4.8666666666667,2.6315789473684004,4.8125,3.7142857142857,5.2941176470588,4.4375,6.0625
All the way to the rear!,5.1428571428571,2.5714285714286,3.4666666666667,3.1428571428571,2.5384615384615,3.7857142857143,6.5882352941176
Already inflation was destabilizing financial markets.,2.6666666666667,3.4285714285714,1.625,1.2631578947368,1.7058823529412,4.1666666666667,6.4117647058824
Amazing place to learn martial arts.,4.3846153846154,3.4375,3.2857142857143,4.5625,4.5789473684211,4.1538461538462,6.7058823529412
An escalating excitement hurried her words.,3.8571428571429,5.875,1.7777777777778,1.5333333333333,5.1333333333333,4.2666666666667,6.1818181818182
And I've actually spoken with him.,2.2,3.875,2.0,1.0,3.4117647058824,2.6666666666667,6.7777777777778
And beautiful and smart and witty.,3.3333333333333,4.0,1.4375,2.25,5.2307692307692,2.9333333333333,6.1666666666667
And command doesn't first believe them.,2.4,2.7142857142857,1.8235294117647,1.4,1.5555555555556,1.9285714285714,5.0
And how do you get one?,1.6428571428571,3.6875,1.8888888888889,1.0,3.0,2.0666666666667,7.0
And how does it impact mobile?,1.4375,2.1111111111111,1.9230769230769,1.0625,2.5294117647059,2.4285714285714,6.0769230769231
And it was boring and miserable.,3.3333333333333,5.7857142857143,2.9411764705881995,1.3333333333333,1.3333333333333,1.5,6.8333333333333
And please not over the phone.,2.8461538461538,3.5555555555556,3.1428571428571,1.6,1.7857142857143,2.7857142857143,6.6
"And she smiled, a little nervously.",5.8461538461538,6.2666666666667,2.4,1.0625,3.1428571428571,3.0666666666667,6.6875
And so very thoughtful of you.,2.8947368421053,5.2666666666667,1.0,1.5882352941176,5.8571428571429,3.1666666666667,6.6
And some green beans and tomatoes.,6.0,1.5882352941176,5.4375,3.5625,3.6923076923077,2.0,6.1666666666667
And stitches all over the place.,3.875,2.4375,3.3076923076923,1.6666666666667,1.8125,3.0,5.4444444444444
And that is a direct strategy.,1.4,2.5625,1.375,1.1428571428571,3.1176470588235,2.9444444444444,6.3333333333333
And that is immigration form changes.,2.1538461538462,1.9375,2.0,1.0625,2.3157894736842,2.0769230769231,4.2941176470588
And that's the power you have.,2.4666666666667,4.4285714285714,2.5882352941176,1.3333333333333,3.5555555555556,3.5,6.75
And the criminal investigation will continue.,3.8421052631579,2.4666666666667,1.9230769230769,1.8823529411765,2.3571428571429,3.9166666666667,7.0
And tomorrow would be another day.,3.3125,2.8571428571429,1.2,1.2777777777778,3.7777777777778,2.7647058823529,6.5882352941176
And we need a spy camera.,5.2,4.4285714285714,5.2142857142857,1.2142857142857,1.5,3.7333333333333,6.8666666666667
"And with your arrogance, it seems.",2.1333333333333,4.7142857142857,1.3571428571429,1.2857142857143,1.25,2.7333333333333,5.0666666666667
And yet it's come so quickly.,1.7692307692308,2.625,1.7142857142857,1.0,2.9473684210526,3.7692307692308,6.7058823529412
And you can ask me why.,2.4666666666667,3.4285714285714,1.8571428571429,1.1428571428571,2.25,2.2,6.6666666666667
Another dance is about to begin.,4.4,2.7647058823529,2.5882352941176,2.0714285714286,4.3529411764706,3.5625,6.8
Another driver waited in a car.,6.0666666666667,3.6842105263158,4.9375,4.2142857142857,2.7647058823529,2.875,6.625
"Another mourner, another well-wisher, another liar.",2.8125,5.2941176470588,2.0666666666667,1.4736842105263,1.4375,3.5625,6.5454545454545
Another spike in unemployment was predicted.,2.7333333333333,3.0588235294118005,1.2352941176471,1.5714285714286,1.3529411764706,3.5625,6.9
"Anyway, all that and much more.",1.8571428571429,2.6875,1.1666666666667,1.2,3.6666666666667,2.8666666666667,6.1818181818182
"Appears to be far, far older.",3.25,3.3888888888889,3.5384615384615,1.9375,2.4117647058824,3.3571428571429,6.9230769230769
Approaching shore their masts appeared first.,5.1875,1.7142857142857,4.9375,5.5,3.25,3.5714285714286,5.7647058823529
Are they going to expel her?,3.9375,5.5,1.4666666666667,1.3888888888889,1.6666666666667,4.0,7.0
Are you ready for an exploration?,3.8125,4.3571428571429,2.6875,3.4166666666667,5.0,4.5714285714286,6.4117647058824
Armed security guards arrived in force.,6.1578947368421,3.6666666666667,5.0769230769231,3.1764705882353,2.0714285714286,4.8333333333333,7.0
