model,condition,mean_r,se_r
xlmr_large,intact,0.4171837461741689,0.03480658770727039
xlmr_large,semantics_ablated,0.2215831717752385,0.04293568652461919
xlmr_large,syntax_ablated,0.22122277428471543,0.033612868066990605
mdeberta,intact,0.45165026222247046,0.03681388367214496
mdeberta,semantics_ablated,0.15414191369456795,0.022049098037610966
mdeberta,syntax_ablated,0.13809936459484823,0.0028996297944460254
mt5_base,intact,0.3401875951542529,0.04780843519547628
mt5_base,semantics_ablated,0.15237552602896978,0.00933625658266617
mt5_base,syntax_ablated,0.20014191536179182,0.03988942145656799
bert_base,intact,0.4384440684383586,0.028113074684860878
bert_base,semantics_ablated,0.11070157098991476,0.03051054319083941
bert_base,syntax_ablated,0.10431405106579994,0.01952470525049482
xglm_large,intact,0.3960975959892515,0.035821425418784476
xglm_large,semantics_ablated,0.08288625571939959,0.01673876599543282
xglm_large,syntax_ablated,0.08376230335634308,0.018317535213127404
xlm_align,intact,0.4457301376711301,0.03433199475213438
xlm_align,semantics_ablated,0.18785507619304184,0.029858949573234275
xlm_align,syntax_ablated,0.18880839102535077,0.04066694785659626
nllb200_distilled_1B,intact,0.4439159427049006,0.03770970941149003
nllb200_distilled_1B,semantics_ablated,0.08611320224951514,0.024127636229115734
nllb200_distilled_1B,syntax_ablated,0.1490778653064165,0.02329559430484627
xglm_xl,intact,0.41012817537613017,0.03772198989010141
xglm_xl,semantics_ablated,0.07038577906498149,0.016898219620867103
xglm_xl,syntax_ablated,-0.0012593292362890183,0.012656434905808608
mt5_large,intact,0.45710324223105037,0.03610017643361067
mt5_large,semantics_ablated,0.3795341863300573,0.02895973008772411
mt5_large,syntax_ablated,0.3463983471648251,0.03177762843154796
nllb200_1B,intact,0.46905399893977195,0.02794671367573748
nllb200_1B,semantics_ablated,0.07770924040583269,0.02516347623862151
nllb200_1B,syntax_ablated,0.15488645175955063,0.024211795222906993
infoxlm_large,intact,0.44187366886607615,0.026259005516446984
infoxlm_large,semantics_ablated,0.10022160650537296,0.01572158607671901
infoxlm_large,syntax_ablated,0.11107120361187248,0.013070788628554687
nllb200_distilled_600M,intact,0.4567829759524343,0.032068996822379084
nllb200_distilled_600M,semantics_ablated,0.06267335727824756,0.02251170695216427
nllb200_distilled_600M,syntax_ablated,0.07645139729594883,0.019590664628198435
distilmbert,intact,0.40779193176055645,0.038636759188338886
distilmbert,semantics_ablated,0.10795873808188203,0.020922751220912115
distilmbert,syntax_ablated,0.14712471044660771,0.022904062823769014
mt5_small,intact,0.3733485243067344,0.03504813938259606
mt5_small,semantics_ablated,0.1508313335626902,0.022303787544221604
mt5_small,syntax_ablated,0.15121915654131332,0.021410985279888908
multiminilm,intact,0.45830844396685516,0.02841618617587317
multiminilm,semantics_ablated,0.32097262270235843,0.022632623799696026
multiminilm,syntax_ablated,0.2900134027158484,0.026904949201416596
infoxlm_base,intact,0.46523383819556063,0.03333099150204375
infoxlm_base,semantics_ablated,0.16520489810302205,0.01732191007813557
infoxlm_base,syntax_ablated,0.16339715392972293,0.0304423735697516
xlmr_base,intact,0.459425835181531,0.028183350199347187
xlmr_base,semantics_ablated,0.322382025225771,0.02960861722040143
xlmr_base,syntax_ablated,0.3346074398905675,0.025263197275713002
mgpt,intact,0.426926063454777,0.03595526187455932
mgpt,semantics_ablated,0.12591495812441428,0.01592066332380431
mgpt,syntax_ablated,0.12086010319585427,0.026809461199631245
xglm_med,intact,0.42869175121351794,0.03197837602968301
xglm_med,semantics_ablated,0.1477612186960972,0.02500134258128099
xglm_med,syntax_ablated,0.11222702827173256,0.024518854310675135
xglm_small,intact,0.42351884055753536,0.03225081685323325
xglm_small,semantics_ablated,0.08755539109593112,0.029783660869187708
xglm_small,syntax_ablated,0.07721361829843248,0.02428265998376935
