model,fold,comparison,r_test,r_ref,z,p_two
xlmr_large,0,semantics_ablated vs intact,0.1373308782567964,0.3582224860106752,-1.1224872666636005,0.2616553185639403
xlmr_large,1,semantics_ablated vs intact,0.2730280839057645,0.4653433958442527,-1.0624171483603135,0.28804635225236286
xlmr_large,2,semantics_ablated vs intact,0.2964208083469439,0.44110695228660696,-0.7969570660112788,0.4254759666346173
xlmr_large,3,semantics_ablated vs intact,0.3021566571685751,0.5048985575474466,-1.1572408853732739,0.24717395787097862
xlmr_large,4,semantics_ablated vs intact,0.09897943119811267,0.31634733918186353,-1.0828197111825786,0.2788884546661825
xlmr_large,0,syntax_ablated vs intact,0.14424528184379004,0.3582224860106752,-1.0890259809422513,0.27614242872598993
xlmr_large,1,syntax_ablated vs intact,0.2605763467639586,0.4653433958442527,-1.1260086584897222,0.26016185440605244
xlmr_large,2,syntax_ablated vs intact,0.31729451413212956,0.44110695228660696,-0.6876458438490599,0.49167583146116756
xlmr_large,3,syntax_ablated vs intact,0.26688285061107,0.5048985575474466,-1.339324736151374,0.18046497937014472
xlmr_large,4,syntax_ablated vs intact,0.18678731630908613,0.31634733918186353,-0.657327259186812,0.5109705125444353
xlmr_large,0,semantics_ablated vs syntax_ablated,0.1373308782567964,0.14424528184379004,-0.033461285721349286,0.9733067380503717
xlmr_large,1,semantics_ablated vs syntax_ablated,0.2730280839057645,0.2605763467639586,0.06359151012940857,0.9492954919960754
xlmr_large,2,semantics_ablated vs syntax_ablated,0.2964208083469439,0.31729451413212956,-0.1093112221622188,0.9129556459367691
xlmr_large,3,semantics_ablated vs syntax_ablated,0.3021566571685751,0.26688285061107,0.18208385077810038,0.8555169220880268
xlmr_large,4,semantics_ablated vs syntax_ablated,0.09897943119811267,0.18678731630908613,-0.42549245199576646,0.6704777228217356
mdeberta,0,semantics_ablated vs intact,0.16867108706335804,0.35382586564232055,-0.9463679739595311,0.3439609343081891
mdeberta,1,semantics_ablated vs intact,0.10846292699814461,0.5290108974623455,-2.2762678910942826,0.022829980666563277
mdeberta,2,semantics_ablated vs intact,0.1311369136776942,0.4412640428761378,-1.6217879431813835,0.10484876088277462
mdeberta,3,semantics_ablated vs intact,0.23332491436154365,0.5411266737643063,-1.7457882335021455,0.08084775632631325
mdeberta,4,semantics_ablated vs intact,0.12911372637209928,0.39302383136724206,-1.3544011333913677,0.17560843622193412
mdeberta,0,syntax_ablated vs intact,0.10554028418452302,0.35382586564232055,-1.2516719664588578,0.21068941912237538
mdeberta,1,syntax_ablated vs intact,0.1458491286162392,0.5290108974623455,-2.0959923721636087,0.03608286760421464
mdeberta,2,syntax_ablated vs intact,0.13838885111586288,0.4412640428761378,-1.5867525394708304,0.11256870176878309
mdeberta,3,syntax_ablated vs intact,0.16159166898200444,0.5411266737643063,-2.100037647154022,0.03572552954211616
