model,language,comparison,r_test,r_ref,z,p_two
bert_base,Arabic,semantics_ablated vs intact,0.1779663006023364,0.09556639332631,0.6695511467622,0.5031439656030832
bert_base,Arabic,syntax_ablated vs intact,0.0635358471060384,0.09556639332631,-0.25688967248591754,0.7972639432771649
bert_base,Arabic,semantics_ablated vs syntax_ablated,0.1779663006023364,0.0635358471060384,0.9264408192481174,0.35421693915383456
bert_base,German,semantics_ablated vs intact,-0.0582380401798619,-0.0705967685292712,0.09889451186026905,0.9212220264472255
bert_base,German,syntax_ablated vs intact,-0.1224213060221385,-0.0705967685292712,-0.416953964123672,0.6767120806618365
bert_base,German,semantics_ablated vs syntax_ablated,-0.0582380401798619,-0.1224213060221385,0.515848475983941,0.6059602423767636
bert_base,Hindi,semantics_ablated vs intact,-0.254320172132795,-0.1784133394120136,-0.6349687206378692,0.5254488156041068
bert_base,Hindi,syntax_ablated vs intact,-0.1676296309647616,-0.1784133394120136,0.08858489627867133,0.9294118119133019
bert_base,Hindi,semantics_ablated vs syntax_ablated,-0.254320172132795,-0.1676296309647616,-0.7235536169165405,0.4693398259507391
bert_base,Italian,semantics_ablated vs intact,0.0061962925150584,0.0553286242769807,-0.3919703535911259,0.6950801189892228
bert_base,Italian,syntax_ablated vs intact,0.1506905847305627,0.0553286242769807,0.7686740970787816,0.44208680578816395
bert_base,Italian,semantics_ablated vs syntax_ablated,0.0061962925150584,0.1506905847305627,-1.1606444506699074,0.24578652073533291
bert_base,Korean,semantics_ablated vs intact,0.0155963132872951,0.1444535978474174,-1.0349219223177042,0.3007053757564251
bert_base,Korean,syntax_ablated vs intact,0.1265055174246703,0.1444535978474174,-0.14570117287135387,0.8841572954339458
bert_base,Korean,semantics_ablated vs syntax_ablated,0.0155963132872951,0.1265055174246703,-0.8892207494463503,0.3738844534883552
bert_base,Mandarin,semantics_ablated vs intact,0.0306502277836437,0.0092457641162649,0.17063993525317409,0.8645068946390031
bert_base,Mandarin,syntax_ablated vs intact,0.1167068611370249,0.0092457641162649,0.8605791336587157,0.38946988239992586
bert_base,Mandarin,semantics_ablated vs syntax_ablated,0.0306502277836437,0.1167068611370249,-0.6899391984055415,0.4902324240428546
bert_base,Polish,semantics_ablated vs intact,0.2323185134975576,0.2137195727466399,0.15597227731944766,0.8760548732481603
bert_base,Polish,syntax_ablated vs intact,0.3033510747483057,0.2137195727466399,0.766113490161743,0.4436087768182668
bert_base,Polish,semantics_ablated vs syntax_ablated,0.2323185134975576,0.3033510747483057,-0.6101412128422953,0.5417682680623193
bert_base,Portuguese,semantics_ablated vs intact,0.0786762674984119,0.115731006046365,-0.29812999009698526,0.7656039529555927
bert_base,Portuguese,syntax_ablated vs intact,0.2828298707425408,0.115731006046365,1.3905636332935996,0.164357790603896
bert_base,Portuguese,semantics_ablated vs syntax_ablated,0.0786762674984119,0.2828298707425408,-1.6886936233905847,0.09127815826926011
bert_base,Russian,semantics_ablated vs intact,-0.0711950670588552,-0.0701294925279373,-0.008533843400748533,0.9931910607515169
bert_base,Russian,syntax_ablated vs intact,0.1424961294764568,-0.0701294925279373,1.703046823170758,0.0885593062437342
