train,condition,language,model,r1,r2,r3,r_mean,r_sd
main,experimental,Arabic,nllb200_distilled_600M,0.20606263282433274,0.30718463400481116,0.16983698849833884,0.22769475177582757,0.058120881842883367
main,experimental,Arabic,nllb200_distilled_1B,0.17454173793963093,0.1670408458531999,0.20478868851501578,0.18212375743594886,0.016316457359308745
main,experimental,Arabic,nllb200_1B,-0.021100577909479997,0.2063910223179686,0.28690765963604226,0.15739936801484364,0.1304285378856749
main,experimental,Arabic,xlm_align,-0.01245682974567944,0.17109552680918186,0.11107971291230201,0.08990613665860148,0.07641599809699183
main,experimental,Arabic,infoxlm_base,-0.04354869472104583,0.22804879984874157,0.20161777393802355,0.1287059596885731,0.12227945931896111
main,experimental,Arabic,infoxlm_large,0.13660847780518837,0.257236382586187,0.09604697415558033,0.16329727818231857,0.06845789653370876
main,experimental,Arabic,multiminilm,0.0014307832330266472,0.18704303729907915,0.3022164867710516,0.16356343576771915,0.12391254612096318
main,experimental,Arabic,xlmr_base,0.11909292945284972,0.23623958442388,0.07223213445829907,0.14252154944500958,0.0689748074159733
main,experimental,Arabic,xlmr_large,-0.022355849187784355,0.29443777164920937,0.12954325026259897,0.13387505757467466,0.12936672154949008
main,experimental,Arabic,distilmbert,0.0022443434456758202,0.3492080084443157,0.019240476894188348,0.12356427626139328,0.15970501462201853
main,experimental,Arabic,bert_base,-0.3424974392249829,0.2598950331493935,0.25586599538291926,0.05775452976910996,0.283025661144082
main,experimental,Arabic,mdeberta,0.0023922015637238224,0.03139133676803996,0.152628112485108,0.06213721693895726,0.06507272389774292
main,experimental,Arabic,mt5_small,-0.02481386217358294,0.2338951423054088,-0.0747925025796425,0.044762925850727796,0.13528417645831012
main,experimental,Arabic,mt5_base,-0.1151907244501255,0.16046351478911483,-0.10434681211140175,-0.01969134059080414,0.12746562032282044
main,experimental,Arabic,mt5_large,0.16322673522244674,0.13699635704055238,0.30520304858258535,0.20180871361519484,0.07389090860813219
main,experimental,Arabic,mgpt,0.28498010179240973,0.14320193654946012,0.2827930167585123,0.23699168503346071,0.06632537737425219
main,experimental,Arabic,xglm_small,0.2895876996122277,0.3168431061012935,0.30349854859364606,0.3033097847690558,0.01112777364846351
main,experimental,Arabic,xglm_med,0.17983007479461716,0.26257532872540273,0.33934110822238156,0.26058217058080047,0.06513535627619554
main,experimental,Arabic,xglm_large,-0.26019981146205096,0.16878842428795607,0.13918809492777354,0.015925569251226217,0.19562372773617728
main,experimental,Arabic,xglm_xl,0.08168500114842776,0.2278109665683809,0.382900507613387,0.23079882511006522,0.12298886347344438
pereira,experimental,Arabic,nllb200_distilled_600M,-0.44626229348560253,-0.10618975653766231,-0.05501558855998443,-0.2024892128610831,0.17363502909825587
pereira,experimental,Arabic,nllb200_distilled_1B,-0.4645450088860675,-0.14487163821864715,-0.13091366820463654,-0.24677677176978374,0.15409079586243624
pereira,experimental,Arabic,nllb200_1B,-0.34093624906966613,-0.26975675146665673,0.1151979800238916,-0.16516500683747712,0.20036497285557872
pereira,experimental,Arabic,xlm_align,-0.42742057187791355,-0.2889339517480439,-0.01901192499362647,-0.2451221495398613,0.1695857919009535
pereira,experimental,Arabic,infoxlm_base,-0.2649573715861383,-0.22935275513196873,-0.043343316104051975,-0.179217814274053,0.09717109178462609
pereira,experimental,Arabic,infoxlm_large,-0.09750819203158242,0.2220452036186002,-0.0002906079226271144,0.04141546788813022,0.13374887099221938
pereira,experimental,Arabic,multiminilm,-0.22791715571824825,-0.11975399787846196,-0.012569980389814729,-0.1200803779955083,0.08791541910066886
pereira,experimental,Arabic,xlmr_base,-0.2861500029885794,-0.11794533500982254,0.04133654740410957,-0.12091959686476411,0.13371236504081468
pereira,experimental,Arabic,xlmr_large,-0.3661976341745518,0.05288885492540211,-0.004281036183042009,-0.10586327181073056,0.1855578692894679
pereira,experimental,Arabic,distilmbert,-0.5667718552659535,-0.19795329139329926,-0.32286110777157,-0.3625287514769409,0.15315988319862348
