dataset,perturb_type,model,r,SE
Pereira2018,1LocalWordSwap,bert_base,0.03104135613334752,0.05681743843166259
Pereira2018,1LocalWordSwap,distilmbert,-0.009010002187444133,0.06675846820954336
Pereira2018,1LocalWordSwap,infoxlm_base,0.026033495277560454,0.03701039957737009
Pereira2018,1LocalWordSwap,infoxlm_large,0.032963835351547656,0.038495201183859226
Pereira2018,1LocalWordSwap,mdeberta,0.02340714978629231,0.02387162218881191
Pereira2018,1LocalWordSwap,mgpt,-0.0510976535312557,0.06596424559450303
Pereira2018,1LocalWordSwap,mt5_base,0.019349503208250834,0.03511918424275623
Pereira2018,1LocalWordSwap,mt5_large,0.07244856678674684,0.04551339243349802
Pereira2018,1LocalWordSwap,mt5_small,-0.04184461337562736,0.030319019600993004
Pereira2018,1LocalWordSwap,multiminilm,0.04469612470039338,0.033604681124073256
Pereira2018,1LocalWordSwap,nllb200_1B,0.0002622940873086442,0.04131045205431608
Pereira2018,1LocalWordSwap,nllb200_distilled_1B,-0.00604846035672161,0.0465471187290003
Pereira2018,1LocalWordSwap,nllb200_distilled_600M,-0.0005332479076785887,0.04970258465172609
Pereira2018,1LocalWordSwap,xglm_large,-0.0199748811085594,0.03280320419789561
Pereira2018,1LocalWordSwap,xglm_med,-0.0017057070530755987,0.0344562491353858
Pereira2018,1LocalWordSwap,xglm_small,0.0527799497642952,0.08887677399224081
Pereira2018,1LocalWordSwap,xglm_xl,0.06687704272852008,0.06020710753427111
Pereira2018,1LocalWordSwap,xlm_align,0.05058273620173496,0.04719274692046435
Pereira2018,1LocalWordSwap,xlmr_base,0.03733009386693372,0.0307329437793247
Pereira2018,1LocalWordSwap,xlmr_large,0.0404933861474378,0.028046167710534146
Pereira2018,2LocalWordSwap,bert_base,0.017495123644131378,0.05788152206878308
Pereira2018,2LocalWordSwap,distilmbert,-0.005883683078206983,0.07072817076682612
Pereira2018,2LocalWordSwap,infoxlm_base,0.016574652064947074,0.03615793453785873
Pereira2018,2LocalWordSwap,infoxlm_large,0.006594039886365677,0.03005623076685759
