text,start,end
U,0.0,1.58
wejścia,1.58,1.94
do,1.94,2.08
ogrodu,2.08,2.5
rosło,2.5,3.02
spore,3.02,3.44
drzewko,3.44,3.92
różane.,3.92,4.36
Kwitło,5.14,5.6
na,5.6,5.78
"biało,",5.78,6.16
ale,6.84,6.98
trzej,6.98,7.32
uwijający,7.32,8.1
się,8.1,8.3
przy,8.3,8.64
nim,8.64,8.96
ogrodnicy,8.96,9.68
gorliwie,10.22,10.9
przemalowywali,10.9,12.14
róży,12.14,12.82
na,12.82,12.98
czerwono.,12.98,13.5
Alicje,14.22,14.7
bardzo,14.7,15.04
to,15.04,15.2
"zdziwiło,",15.2,15.84
więc,16.08,16.86
postanowiło,16.86,17.68
przyjrzeć,17.68,18.22
się,18.22,18.54
im,18.54,18.88
z,18.88,19.02
bliska.,19.02,19.4
A,20.02,20.22
gdy,20.22,20.34
podeszła,20.34,20.78
do,20.78,20.94
"ogrodników,",20.94,21.5
usłyszała,21.66,22.34
jak,22.34,23.56
jeden,23.56,23.86
z,23.86,24.04
nich,24.04,24.22
sarka.,24.22,24.78
—,25.56,25.58
"Uważaj,",25.58,26.12
"piątko,",26.18,26.56
chlapiesz,27.08,27.48
na,27.48,27.6
mnie,27.6,27.74
farbą.,27.74,28.22
—,29.04,29.34
Nie,29.34,29.46
moja,29.46,29.72
"wina,",29.72,30.04
burknął,30.48,31.02
obrażony,31.02,31.56
piątka.,31.56,32.02
Siódemka,32.44,32.98
szturchnął,32.98,33.64
mnie,33.64,33.8
w,33.8,33.94
łokieć.,33.94,34.44
Na,35.42,35.64
to,35.64,35.8
siódemka,35.8,36.26
spojrzał,36.26,37.0
znad,37.0,37.58
pędzla,37.58,38.02
i,38.02,38.14
odświadczył.,38.14,38.84
—,39.06,39.36
Słysz,39.36,39.58
"mnie,",39.58,39.7
"piątko,",39.76,40.16
grunt,40.94,41.22
to,41.22,41.38
mieć,41.38,41.58
na,41.58,41.76
kogo,41.76,41.98
zwalić,41.98,42.48
winę.,42.48,42.84
—,44.14,44.24
A,44.24,44.4
ty,44.4,44.58
lepiej,44.58,44.92
siedź,44.92,45.2
"cicho,",45.2,45.5
poradził,45.8,46.28
mu,46.28,46.38
piątka.,46.38,46.8
—,47.44,47.64
Sam,47.64,47.74
słyszałem.,47.74,48.34
—,50.28,50.3
I,50.3,50.42
to,50.42,50.56
nie,50.56,50.72
dalej,50.72,50.94
niż,50.94,51.16
"wczoraj,",51.16,51.6
jak,51.72,51.82
królowa,51.82,52.22
"mówiła,",52.22,52.72
że,53.0,53.16
zasługujesz,53.16,53.88
na,53.88,54.02
ścięcie.,54.02,54.52
—,55.42,55.52
Za,55.52,55.72
co?,55.72,55.98
—,56.5,57.0
zainteresował,57.0,57.68
się,57.68,57.88
ochlapany,57.88,58.54
farbą.,58.54,59.08
—,59.36,59.42
Nie,59.42,59.56
twój,59.56,59.78
"interes,",59.78,60.12
"dwójko,",60.24,60.64
był,61.24,61.54
go,61.54,61.7
siódemka.,61.7,62.22
—,62.58,62.72
"Owszem,",62.72,63.12
to,64.0,64.14
jest,64.14,64.34
jego,64.34,64.54
"interes,",64.54,64.96
zaprocesował,65.04,65.72
piątka.,65.72,66.24
Sam,66.56,66.82
mu,66.82,67.02
"powiem,",67.02,67.36
za,67.8,68.0
"to,",68.0,68.24
że,68.44,68.62
przyniósł,68.62,69.3
kucharce,69.3,69.88
cebulki,69.88,70.42
tulipanów,70.42,71.18
zamiast,71.18,72.9
z,72.9,73.22
zwyczajnej,73.22,73.96
cebuli.,73.96,74.4
—,75.46,75.62
Piątko.,75.62,76.44
Siódemka,79.36,79.94
cisnął,79.94,80.36
pędzel,80.36,80.8
na,80.8,81.0
ziemię,81.0,81.38
i,81.38,81.5
zaczął,81.5,81.88
biadolić.,81.88,82.52
—,82.88,82.9
To,82.9,83.04
"niesprawiedliwość,",83.04,84.16
jak,84.68,84.86
jej,84.86,85.0
świat,85.0,85.28
nie,85.28,85.5
widział.,85.5,85.9
Tym,86.84,87.12
kątem,87.12,87.44
oka,87.44,87.76
dostrzegł,87.76,88.4
podglądającą,88.4,89.42
ich,89.42,89.58
alicję,89.58,90.14
i,90.14,90.64
natychmiast,90.64,91.36
się,91.36,91.7
zmitygował.,91.7,92.78
Wówczas,93.64,94.22
jego,94.22,94.78
koledzy,94.78,95.22
też,95.22,95.54
spojrzeli,95.54,96.24
na,96.24,96.46
nią,96.46,96.66
i,96.66,97.12
wszyscy,97.12,97.5
trzej,97.5,97.92
skłonili,97.92,99.22
się,99.22,99.5
uniżnie.,99.5,100.18
Piątka,102.3,102.68
i,102.68,102.76
siódemka,102.76,103.24
"milczeli,",103.24,103.8
popatrując,104.12,105.1
wymownie,105.1,105.6
na,105.6,105.74
dwójkę.,105.74,106.0
—,106.0,107.72
"Widzi,",107.72,107.88
"panienka,",107.96,108.4
rzecz,108.76,109.02
w,109.02,109.16
"tym,",109.16,109.36
wyjąknął,109.56,111.96
cicho,111.96,112.18
"dwójka,",112.18,112.66
że,113.04,113.66
róże,113.66,115.28
na,115.28,115.56
tym,115.56,115.72
drzewku,115.72,116.18
miały,116.18,116.56
być,116.56,116.78
"czerwone,",116.78,117.52
a,118.42,118.74
myśmy,118.74,119.26
przez,119.26,119.52
pomyłkę,119.52,119.98
zasadzili,119.98,120.52
białe.,120.52,120.96
Gdyby,121.84,122.16
królowa,122.16,122.68
się,122.68,122.94
o,122.94,123.12
tym,123.12,123.26
"dowiedziała,",123.26,123.92
kazałaby,124.44,125.02
nas,125.02,125.32
wszystkich,125.32,125.76
ściąć.,125.76,126.34
I,127.08,127.2
"dlatego,",127.2,127.6
widzi,127.72,127.94
"panienka,",127.94,128.46
robimy,128.62,128.96
co,128.96,129.12
się,129.12,129.28
"da,",129.28,129.52
żeby,129.72,130.02
przed,130.02,132.02
jej,132.02,132.34
"nadejściem,",132.34,133.18
w,133.8,133.92
tej,133.92,134.08
samej,134.08,134.54
chwili,134.54,134.86
"piątka,",134.86,135.36
który,135.42,135.66
cały,135.66,135.96
czas,135.96,136.14
zerkał,136.14,136.62
nerwowo,136.62,137.64
ku,137.64,137.82
"alei,",137.82,138.26
zawołał,138.62,139.2
—,139.2,139.66
—,139.84,139.96
"Królowa,",139.96,140.42
królowa!,140.7,141.28
I,141.98,142.18
wszyscy,142.18,142.5
trzej,142.5,142.86
ogrodnicy,142.86,143.74
padli,143.74,144.24
plackiem,144.24,144.78
twarzami,144.78,145.36
do,145.36,145.54
ziemi.,145.54,145.84
Alicja,146.06,147.08
usłyszała,147.08,147.74
tu,147.74,147.96
pod,147.96,148.16
wielu,148.16,148.56
stóp,148.56,149.24
i,149.24,149.82
obejrzała,149.82,150.34
"się,",150.34,150.6
chcąc,150.96,151.42
koniecznie,151.42,152.34
zobaczyć,152.34,152.96
królową.,152.96,153.5
Przodem,154.4,154.8
maszerowało,154.8,155.5
dziesięciu,155.5,156.08
żołnierzy,156.08,156.6
z,156.6,156.72
"pikami,",156.72,157.22
wszyscy,157.72,158.0
tej,158.0,158.26
samej,158.26,158.62
postury,158.62,159.1
co,159.1,159.86
trzej,159.86,160.12
ogrodnicy.,160.12,160.82
"Prostokątni,",161.18,162.18
"płasy,",162.32,162.88
z,163.36,163.8
dłońmi,163.8,164.22
i,164.22,164.4
stopami,164.4,164.96
w,164.96,165.2
czterech,165.2,165.98
rowach.,165.98,166.5
Za,167.06,167.32
nimi,167.32,167.62
również,167.62,168.22
dwójkami,168.22,168.94
szło,168.94,169.38
dziesięciu,169.38,170.0
dworzan,170.0,170.54
w,170.54,171.82
liberiach,171.82,172.92
wyszywanych,172.92,173.64
wrąby.,173.64,174.1
Dalej,175.92,176.38
ciągnęła,176.38,177.16
dziatwa,177.16,178.4
królewska.,178.4,179.26
W,180.12,180.14
tych,180.14,180.16
trzy,180.16,180.22
"maleństwach,",180.22,181.0
a,181.44,181.8
było,181.8,181.98
ich,181.98,182.18
"dziesięcioro,",182.18,182.86
podskakiwały,183.3,184.48
wesoło,184.48,185.36
w,185.36,185.48
"parach,",185.48,185.78
trzymając,185.94,186.46
się,186.46,186.62
za,186.62,186.78
"rączki,",186.78,187.3
a,187.88,188.1
ozdobą,188.1,188.68
ich,188.68,188.8
strojów,188.8,189.34
były,189.34,189.66
czerwone,189.66,190.16
serduszka.,190.16,190.86
Jeszcze,191.98,192.38
dalej,192.38,192.84
sunęli,192.84,193.58
"goście,",193.58,194.08
przeważnie,194.74,195.32
królowe,195.32,195.98
i,195.98,196.16
królowie,196.16,196.68
i,196.68,196.8
"królowa,",196.8,197.3
lecz,199.26,199.6
także,199.6,199.9
"inni,",199.9,200.3
wśród,200.68,200.96
których,200.96,201.28
Alicja,201.28,201.88
rozpoznała,201.88,202.76
białego,202.76,203.18
królika.,203.18,203.72
Oferowany,205.12,205.76
drajkował,205.76,206.56
coś,206.56,206.82
nerwowo,206.82,207.32
pod,207.32,207.56
"wąsem,",207.56,208.04
uśmiechając,208.5,209.16
się,209.16,209.4
z,209.4,209.52
zadowoleniem,209.52,210.28
po,210.28,210.64
każdym,210.64,211.12
"zdaniu,",211.12,211.5
tak,211.98,212.26
"przyjęty,",212.26,212.84
że,213.02,213.32
minął,213.32,214.0
Alicja,214.0,214.36
i,214.36,214.52
nawet,214.52,214.8
jej,214.8,214.98
nie,214.98,215.14
zauważył.,215.14,215.78
Za,216.44,216.66
gośćmi,216.66,217.32
kroczył,217.32,218.26
walet,218.26,218.62
"kier,",218.62,218.98
niosąc,219.5,220.1
koronę,220.1,220.68
królewską,220.68,221.5
w,221.5,221.64
karmadynowej,221.64,222.42
aksamitnej,222.42,223.12
"poduszce,",223.12,223.74
a,224.42,224.68
całą,224.68,225.1
tę,225.1,225.34
imponującą,225.34,226.08
procesję,226.08,226.66
zamykali,226.66,227.26
król,227.26,227.62
i,227.62,227.78
królowa,227.78,228.22
kier.,228.22,228.52
Alicja,229.64,230.16
nie,230.16,230.34
była,230.34,230.58
"pewna,",230.58,231.06
czy,231.56,231.74
nie,231.74,231.88
powinna,231.88,232.3
przypadkiem,232.3,232.82
paść,232.82,233.14
na,233.14,233.34
"twarz,",233.34,233.66
tak,233.92,235.34
jak,235.34,235.54
jej,235.54,235.98
trzej,235.98,236.88
"ogrodnicy,",236.88,237.54
ale,238.08,238.3
zdawało,238.3,238.8
"się,",238.8,239.06
że,239.44,239.64
publiczność,239.64,240.38
na,240.38,240.56
paradach,240.56,241.1
nie,241.1,241.26
miała,241.26,241.58
takiego,241.58,241.94
obowiązku.,241.94,242.72
No,243.44,243.64
bo,243.64,243.78
jaki,243.78,244.02
sens,244.02,244.42
miałaby,244.42,244.86
"parada,",244.86,245.34
"pomyślała,",245.48,246.14
żeby,246.34,246.76
widzowie,246.76,247.28
leżeli,247.28,247.64
plackiem,247.64,248.18
twarzami,248.18,248.66
do,248.66,248.84
ziemi,248.84,249.14
i,249.14,249.38
niczego,249.38,249.72
nie,249.72,249.9
widzieli.,249.9,250.3
