text,start,end
国,0.0,0.36
王,0.36,0.54
接,0.54,0.76
着,0.76,0.88
说,0.88,1.08
道,1.08,1.3
:「,1.3,1.96
"好吧,",1.96,2.28
叫,2.72,2.92
第一,2.92,3.24
位,3.24,3.48
证,3.48,3.7
人,3.7,3.86
进,3.86,4.12
来,4.12,4.34
。」,4.34,4.52
白,5.34,5.6
兔,5.6,5.84
又,5.84,6.08
吹,6.08,6.24
了,6.24,6.38
三,6.38,6.58
声,6.58,6.74
喇,6.74,6.94
"叭,",6.94,7.14
大,7.48,7.66
声,7.66,7.84
喊,7.84,8.06
道,8.06,8.3
:「,8.3,8.74
第一,8.74,9.26
位,9.26,9.54
证,9.54,9.72
人,9.72,9.94
入,9.94,10.22
席,10.22,10.46
!」,10.46,10.68
第一,11.68,11.96
位,11.96,12.18
证,12.18,12.38
人,12.38,12.62
手,12.62,12.88
上,12.88,13.1
拿,13.1,13.28
着,13.28,13.38
茶,13.38,13.6
杯,13.6,13.84
和,13.84,14.34
一,14.34,14.5
片,14.5,14.66
面,14.66,14.88
包,14.88,15.12
走,15.12,15.34
进,15.34,15.54
来。,15.54,15.74
他,16.5,16.72
就是,16.72,16.98
那个,16.98,17.28
帽,17.28,17.52
子,17.52,17.68
将。,17.68,17.86
帽,18.74,19.0
子,19.0,19.2
将,19.2,19.4
向,19.4,19.74
国,19.74,20.04
王,20.04,20.28
解,20.28,20.58
释,20.58,20.72
道,20.72,20.94
:「,20.94,21.38
国,21.38,21.9
王,21.9,22.06
陛,22.06,22.28
"下,",22.28,22.54
请,22.82,23.06
原,23.06,23.28
谅,23.28,23.46
我,23.46,23.66
失,23.66,23.92
礼,23.92,24.12
地,24.12,24.36
带,24.36,24.66
这,24.66,24.86
些,24.86,25.02
东,25.02,25.22
西,25.22,25.4
上,25.4,25.62
来。,25.62,25.84
我是,26.56,26.92
在,26.92,27.22
吃,27.22,27.48
茶,27.48,27.8
点,27.8,28.0
的时候,28.0,28.38
被,28.38,28.66
叫,28.66,28.92
过,28.92,29.1
来,29.1,29.3
的。,29.3,29.5
我,29.9,30.1
只,30.1,30.28
好,30.28,30.42
把,30.42,30.6
没,30.6,30.82
吃,30.82,31.02
完,31.02,31.2
的,31.2,31.34
茶,31.34,31.54
点,31.54,31.76
带,31.76,31.98
过,31.98,32.14
来,32.14,32.34
。」,32.34,33.12
国,33.4,33.64
王,33.64,33.82
说,33.82,34.02
道,34.02,34.22
:「,34.22,34.7
你的,34.7,34.94
茶,34.94,35.16
点,35.16,35.36
早,35.36,35.62
就,35.62,35.8
该,35.8,35.96
吃,35.96,36.14
"完了,",36.14,36.42
你,36.88,37.06
从,37.06,37.26
什么,37.26,37.52
时候,37.52,37.8
开始,37.8,38.08
吃,38.08,38.32
这,38.32,38.5
份,38.5,38.66
茶,38.66,38.9
点,38.9,39.14
的,39.14,39.3
?」,39.3,40.08
帽,40.68,40.92
子,40.92,41.08
将,41.08,41.34
转,41.34,41.66
头,41.66,41.86
看,41.86,42.06
了,42.06,42.2
看,42.2,42.4
陪,42.4,42.64
他,42.64,42.82
一起,42.82,43.1
来,43.1,43.28
的,43.28,43.4
三,43.4,43.56
月,43.56,43.74
兔,43.74,44.0
"子,",44.0,44.22
在,45.26,45.46
兔,45.46,45.66
子,45.66,45.82
身,45.82,46.0
边,46.0,46.22
还,46.22,46.52
站,46.52,46.68
着,46.68,46.84
那,46.84,47.0
只,47.0,47.16
睡,47.16,47.4
鼠。,47.4,47.64
他,48.32,48.54
回,48.54,48.72
答,48.72,48.9
道,48.9,49.16
:「,49.16,50.12
"我想,",50.12,50.7
三,51.24,51.5
月,51.5,51.66
十,51.66,51.9
四,51.9,52.08
号,52.08,52.24
那,52.24,52.46
天,52.46,52.68
我,52.68,52.92
开始,52.92,53.22
吃,53.22,53.46
的,53.46,53.6
茶,53.6,53.8
点,53.8,54.04
。」,54.04,54.48
三,55.26,55.5
月,55.5,55.68
兔,55.68,55.94
子,55.94,56.24
纠,56.24,56.58
正,56.58,56.78
道,56.78,57.04
:「,57.04,57.74
是,57.74,58.02
十,58.02,58.32
五,58.32,58.54
号,58.54,58.82
。」,58.82,59.4
睡,59.66,59.94
鼠,59.94,60.14
发,60.14,60.36
表,60.36,60.56
着,60.56,60.68
不同,60.68,60.96
的,60.96,61.14
意,61.14,61.3
见,61.3,61.52
:「,61.52,62.12
是,62.12,62.4
十,62.4,62.66
六,62.66,62.88
号,62.88,63.18
。」,63.18,63.88
国,64.62,64.9
王,64.9,65.08
对,65.08,65.26
着,65.26,65.4
陪,65.4,65.62
审,65.62,65.82
团,65.82,66.04
说,66.04,66.28
道,66.28,66.48
:「,66.48,67.12
把,67.12,67.46
那,67.46,67.64
些,67.64,67.82
日,67.82,68.0
期,68.0,68.12
都,68.12,68.3
写,68.3,68.5
下,68.5,68.66
来,68.66,68.86
。」,68.86,69.42
陪,69.98,70.22
审,70.22,70.38
团,70.38,70.62
急,70.62,70.9
忙,70.9,71.08
记,71.08,71.3
下,71.3,71.5
了,71.5,71.66
这,71.66,71.94
三,71.94,72.1
个,72.1,72.22
日,72.22,72.4
"期,",72.4,72.64
接,73.42,73.64
着,73.64,73.8
那,73.8,73.98
些,73.98,74.16
陪,74.16,74.36
审,74.36,74.52
员,74.52,74.74
把,74.74,74.96
这,74.96,75.16
些,75.16,75.32
数,75.32,75.5
字,75.5,75.7
加,75.7,75.94
到了,75.94,76.2
"一起,",76.2,76.56
计,77.26,77.48
算,77.48,77.64
成,77.64,77.82
了,77.82,77.96
一些,77.96,78.14
前,78.14,78.48
数。,78.48,78.7
国,80.24,80.46
王,80.46,80.62
命,80.62,80.8
令,80.8,80.96
帽,80.96,81.12
子,81.12,81.28
将,81.28,81.5
脱,81.5,81.8
掉,81.8,81.98
他的,81.98,82.18
帽,82.18,82.46
子。,82.46,82.68
帽,83.46,83.62
子,83.62,83.8
将,83.8,83.96
解,83.96,84.2
释,84.2,84.36
道,84.36,84.56
:「,84.56,85.1
这,85.1,85.34
不是,85.34,85.66
我的,85.66,85.92
帽,85.92,86.16
子,86.16,86.4
。」,86.4,86.94
国,87.42,87.68
王,87.68,87.88
说,87.88,88.12
:「,88.12,88.6
那,88.6,88.76
这,88.76,88.9
帽,88.9,89.02
子,89.02,89.16
就是,89.16,89.34
你,89.34,89.52
偷,89.52,89.74
的,89.74,89.92
。」,89.92,90.76
陪,91.04,91.3
审,91.3,91.48
员,91.48,91.64
把,91.64,91.8
这,91.8,91.98
句,91.98,92.12
话,92.12,92.36
刻,92.36,92.68
在,92.68,92.92
了,92.92,93.08
石,93.08,93.3
板,93.3,93.48
上。,93.48,93.72
帽,94.72,94.94
子,94.94,95.12
将,95.12,95.38
连,95.38,95.92
忙,95.92,96.16
辩,96.16,96.48
解,96.48,96.68
道,96.68,96.94
:「,96.94,97.4
不,97.4,97.58
不,97.58,97.68
"不,",97.68,97.84
这是,98.06,98.3
我,98.3,98.5
做,98.5,98.76
"的,",98.76,99.0
我是,99.26,99.52
个,99.52,99.68
帽,99.68,99.88
子,99.88,100.04
"将,",100.04,100.24
我的,100.58,100.78
帽,100.78,101.04
子,101.04,101.26
都是,101.26,101.62
用,101.62,101.8
来,101.8,101.92
卖,101.92,102.14
钱,102.14,102.4
的,102.4,102.64
。」,102.64,103.14
王,103.9,104.2
后,104.2,104.44
拿,104.44,104.76
起,104.76,105.0
眼,105.0,105.2
镜,105.2,105.4
戴,105.4,105.62
"上,",105.62,105.88
她,106.54,106.88
盯,106.88,107.1
着,107.1,107.26
帽,107.26,107.42
子,107.42,107.6
将,107.6,107.76
看,107.76,108.04
"着,",108.04,108.26
这,108.72,108.88
让,108.88,109.04
帽,109.04,109.22
子,109.22,109.4
将,109.4,109.56
感,109.56,109.78
到,109.78,109.96
非常,109.96,110.32
不,110.32,110.58
自,110.58,110.76
在。,110.76,110.94
国,112.02,112.2
王,112.2,112.38
说,112.38,112.6
道,112.6,112.8
:「,112.8,113.2
别,113.2,113.38
紧,113.38,113.54
"张,",113.54,113.78
好好,114.16,114.4
"说,",114.4,114.7
要,115.06,115.38
是,115.38,115.56
你,115.56,115.7
不,115.7,115.82
听,115.82,115.98
"话,",115.98,116.22
我就,116.46,116.68
把,116.68,116.84
你,116.84,117.0
处,117.0,117.2
死,117.2,117.46
。」,117.46,118.14
可是,118.82,119.08
国,119.08,119.28
王,119.28,119.42
的话,119.42,119.7
并,119.7,120.34
没有,120.34,120.56
消,120.56,120.82
除,120.82,121.02
帽,121.02,121.36
子,121.36,121.52
将,121.52,121.66
的,121.66,121.8
不,121.8,121.94
"安,",121.94,122.12
他,122.66,122.86
看,122.86,123.02
着,123.02,123.18
王,123.18,123.38
后,123.38,123.62
紧,123.62,124.02
张,124.02,124.22
得,124.22,124.34
很。,124.34,124.54
在,125.3,125.54
慌,125.54,125.74
忙,125.74,125.94
"中,",125.94,126.22
他,126.54,126.68
胡,126.68,126.88
乱,126.88,127.08
地,127.08,127.22
咬,127.22,127.36
着,127.36,127.52
手,127.52,127.7
里,127.7,127.84
的,127.84,127.96
茶,127.96,128.16
"点,",128.16,128.4
谁,129.26,129.54
知,129.54,129.7
没,129.7,129.88
咬,129.88,130.04
到,130.04,130.18
面,130.18,130.38
"包,",130.38,130.62
却,130.96,131.1
把,131.1,131.26
茶,131.26,131.52
杯,131.52,131.72
咬,131.72,131.9
掉,131.9,132.08
了,132.08,132.22
一,132.22,132.32
块。,132.32,132.5
爱,133.74,133.92
丽,133.92,134.08
丝,134.08,134.24
这,134.24,134.4
时,134.4,134.56
有,134.56,134.76
种,134.76,134.96
奇怪,134.96,135.38
的,135.38,135.6
感,135.6,135.76
"觉,",135.76,136.02
她,136.56,136.74
过,136.74,136.94
了,136.94,137.08
好,137.08,137.28
一,137.28,137.42
会,137.42,137.58
儿,137.58,137.68
才,137.68,137.84
明白,137.84,138.18
过,138.18,138.4
"来,",138.4,138.62
她,139.26,139.4
的,139.4,139.54
身,139.54,139.74
体,139.74,139.96
又,139.96,140.2
开始,140.2,140.52
慢慢,140.52,140.9
变,140.9,141.2
大,141.2,141.42
了。,141.42,141.62
她,142.64,142.86
决,142.86,143.04
定,143.04,143.22
离,143.22,143.42
开,143.42,143.6
"这里,",143.6,143.92
可是,144.7,144.92
后,144.92,145.14
来,145.14,145.28
一,145.28,145.44
"想,",145.44,145.64
只,146.42,146.64
要,146.64,146.76
自己,146.76,147.04
不会,147.04,147.34
大,147.34,147.56
到,147.56,147.74
称,147.74,147.96
坏,147.96,148.2
这个,148.2,148.42
"地方,",148.42,148.8
还是,149.24,149.46
留,149.46,149.66
下,149.66,149.84
来,149.84,150.0
看看。,150.0,150.34
在,151.86,152.08
爱,152.08,152.28
丽,152.28,152.48
丝,152.48,152.66
身,152.66,152.9
旁,152.9,153.1
的,153.1,153.3
睡,153.3,153.44
鼠,153.44,153.64
抱,153.64,153.86
怨,153.86,154.06
"道,",154.06,154.3
你,154.3,155.1
挤,155.1,155.24
得,155.24,155.38
我,155.38,155.52
都,155.52,155.66
喘,155.66,155.86
不,155.86,156.04
过,156.04,156.2
气,156.2,156.46
了。,156.46,156.72
爱,157.88,158.14
丽,158.14,158.26
丝,158.26,158.38
温,158.38,158.58
和,158.58,158.72
地,158.72,158.86
说,158.86,159.02
"道,",159.02,159.22
我也,160.18,160.54
没,160.54,160.76
办,160.76,161.0
"法,",161.0,161.22
我的,161.66,161.88
身,161.88,162.14
体,162.14,162.36
在,162.36,162.66
不,162.66,162.86
断,162.86,163.04
地,163.04,163.18
变,163.18,163.36
大。,163.36,163.6
睡,164.74,165.02
鼠,165.02,165.2
说,165.2,165.44
"道,",165.44,165.64
