train,condition,language,model,r1,r2,r3,r_mean,r_sd
main,experimental,Arabic,nllb200_distilled_600M,0.20606263282433274,0.30718463400481116,0.16983698849833884,0.22769475177582757,0.058120881842883367
main,experimental,Arabic,nllb200_distilled_1B,0.03623420754725652,0.1810508605897485,0.19031808746963694,0.13586771853554733,0.07055304272862713
main,experimental,Arabic,nllb200_1B,0.010491095619436607,0.19211739085281299,0.25838053151392726,0.1536630059953923,0.10478978287693944
main,experimental,Arabic,xlm_align,-0.01245682974567944,0.17109552680918186,0.11107971291230201,0.08990613665860148,0.07641599809699183
main,experimental,Arabic,infoxlm_base,-0.04354869472104583,0.22804879984874157,0.20161777393802355,0.1287059596885731,0.12227945931896111
main,experimental,Arabic,infoxlm_large,0.13660847780518837,0.257236382586187,0.09604697415558033,0.16329727818231857,0.06845789653370876
main,experimental,Arabic,multiminilm,0.0014307832330266472,0.18704303729907915,0.3022164867710516,0.16356343576771915,0.12391254612096318
main,experimental,Arabic,xlmr_base,0.16211679246992403,0.24426232241953355,0.3587733763935218,0.2550508304276598,0.0806463346094366
main,experimental,Arabic,xlmr_large,-0.0019312124788844,0.28877643469179626,0.2175105462476379,0.1681185894868499,0.12371313073766772
main,experimental,Arabic,distilmbert,0.0022443434456758202,0.3492080084443157,0.019240476894188348,0.12356427626139328,0.15970501462201853
main,experimental,Arabic,bert_base,-0.2875578574684105,0.1493642794622453,0.1469593977208491,0.002921939904894625,0.20540258092434774
main,experimental,Arabic,mdeberta,0.0023922015637238224,0.03139133676803996,0.152628112485108,0.06213721693895726,0.06507272389774292
main,experimental,Arabic,mt5_small,-0.008226148825937812,0.19912197600356574,-0.05002685345264935,0.04695632457499286,0.10894222882743514
main,experimental,Arabic,mt5_base,-0.10012300832075013,0.2393190801683761,-0.0756373326372027,0.021186246403474426,0.15456678589561135
main,experimental,Arabic,mt5_large,0.1029664314103693,0.016502845140853213,0.15338138893067724,0.0909502218272999,0.05652271464973988
main,experimental,Arabic,mgpt,0.28498010179240973,0.14320193654946012,0.2827930167585123,0.23699168503346071,0.06632537737425219
main,experimental,Arabic,xglm_small,0.30524385187909153,0.34572583459902173,0.3875529606783284,0.3461742157188139,0.03360404868516682
main,experimental,Arabic,xglm_med,0.278662008577026,0.2609063490872888,0.29606377596422134,0.27854404454284537,0.014353201798129326
main,experimental,Arabic,xglm_large,0.3608804977710898,0.29596919977062797,0.18307390523791253,0.2799745342598768,0.07346503967042395
main,experimental,Arabic,xglm_xl,0.09585845048306699,0.23449630197416393,0.3949352957504413,0.2417633494025574,0.12220569361399418
pereira,experimental,Arabic,nllb200_distilled_600M,-0.44626229348560253,-0.10618975653766231,-0.05501558855998443,-0.2024892128610831,0.17363502909825587
pereira,experimental,Arabic,nllb200_distilled_1B,-0.4203481111636515,-0.10718137677350821,-0.12761055836163163,-0.21838001543293042,0.1430563330414757
pereira,experimental,Arabic,nllb200_1B,-0.3617872173843045,-0.20762318692230783,0.07351548423345274,-0.16529830669105322,0.18021405258538542
pereira,experimental,Arabic,xlm_align,-0.42742057187791355,-0.2889339517480439,-0.01901192499362647,-0.2451221495398613,0.1695857919009535
pereira,experimental,Arabic,infoxlm_base,-0.2649573715861383,-0.22935275513196873,-0.043343316104051975,-0.179217814274053,0.09717109178462609
pereira,experimental,Arabic,infoxlm_large,-0.09750819203158242,0.2220452036186002,-0.0002906079226271144,0.04141546788813022,0.13374887099221938
pereira,experimental,Arabic,multiminilm,-0.22791715571824825,-0.11975399787846196,-0.012569980389814729,-0.1200803779955083,0.08791541910066886
pereira,experimental,Arabic,xlmr_base,-0.221704722457821,-0.10212884814643686,0.11202642180097704,-0.07060238293442694,0.13805689085456696
pereira,experimental,Arabic,xlmr_large,-0.35727174914997545,0.014722020334734529,-0.11489351975981045,-0.15248108285835046,0.15417405706673637
pereira,experimental,Arabic,distilmbert,-0.5667718552659535,-0.19795329139329926,-0.32286110777157,-0.3625287514769409,0.15315988319862348
pereira,experimental,Arabic,bert_base,-0.5264241738398879,-0.13682236223176839,-0.3518394691604211,-0.3383620017440258,0.15933952114494837
pereira,experimental,Arabic,mdeberta,-0.08467747760844485,-0.07628213992473594,-0.09819565155170942,-0.08638508969496339,0.009027271726455479
pereira,experimental,Arabic,mt5_small,-0.34195408318305864,-0.150895609795261,-0.0942013339920004,-0.19568367565677336,0.10598689955412172
pereira,experimental,Arabic,mt5_base,-0.4071498505186535,-0.11911350462403508,-0.1401119658718325,-0.22212510700484034,0.13111280290385594
pereira,experimental,Arabic,mt5_large,-0.3564916596516703,-0.24869787510871164,0.04180562355832496,-0.18779463706735233,0.1682103539343078
pereira,experimental,Arabic,mgpt,0.07932745401896169,-0.0715991944850143,0.08722341116817887,0.031650556900708754,0.07307972772133087
pereira,experimental,Arabic,xglm_small,-0.5658003656674231,-0.3729359427162065,-0.5223262795180399,-0.48702086263388983,0.08259953896602233
pereira,experimental,Arabic,xglm_med,-0.1639778431246793,-0.10434128323280767,-0.0397200717859782,-0.1026797327144884,0.050741626548025484
