,l,r,sd
0,0,-0.04587635464751074,0.5083861981997939
1,1,-0.27761033827129655,0.5614954536067289
2,2,-0.2800222955768349,0.5493255739302743
3,3,-0.2736154080356496,0.5451769104227023
4,4,-0.27632173777341945,0.5662735910178639
5,5,-0.24022375242273272,0.5670796773913577
6,6,-0.23583260545217705,0.557912337313064
7,7,-0.2335530068171892,0.5465351542135561
8,8,-0.22256966266707737,0.5361721482381647
9,9,-0.2075957802074298,0.5165652689000467
10,10,-0.18631633270694764,0.4958761217475955
11,11,-0.17683219497755803,0.459766154816787
12,12,-0.16584765695672402,0.4496159000988265
13,13,-0.14506678051783264,0.45821798121218393
14,14,-0.12604098798933452,0.46036651399437184
15,15,-0.11127720241066189,0.4717616480821288
16,16,-0.09808247298087469,0.4737043521800781
17,17,-0.0663619139771073,0.4809227389582565
18,18,-0.04225165323824891,0.44642513333066836
19,19,-0.015346659528386106,0.4134082935547778
20,20,0.04019027183426396,0.3888014365879014
21,21,0.04582505715200878,0.37531396445852944
22,22,0.0763599722691217,0.3586948468926612
23,23,0.1392667313403596,0.3288721389125881
24,24,0.11471320390084809,0.3060764329307603
25,25,0.11034448705321225,0.2951798500075981
26,26,0.09349707761790035,0.3388128813396071
27,27,0.12307577553233862,0.33486533400944557
28,28,0.14218470800628305,0.3415275686462196
29,29,0.1525638512999657,0.35002170035691255
30,30,0.18460798376710336,0.3388162251622057
31,31,0.20778379797485788,0.35253480115703534
32,32,0.2282858493596292,0.3320478763779358
33,33,0.2447250554492896,0.32093136676025175
34,34,0.24808167238425388,0.33221673424159087
35,35,0.24046124131278868,0.31138049507278454
36,36,0.2424154965820627,0.3264582093796185
37,37,0.2530466592731272,0.3261554304979733
38,38,0.2665526633210707,0.32426445858914127
39,39,0.3034965242001106,0.32050977110685497
40,40,0.3124245618336804,0.30009603312774363
41,41,0.31601892839274187,0.312751617886964
42,42,0.3214320659250696,0.31112052816378605
43,43,0.3396385590652454,0.3197346021148415
44,44,0.3745104223331678,0.3283475661063406
45,45,0.3863256911297485,0.3524483888210513
46,46,0.3343367653525108,0.3567331697831352
47,47,0.3103237710890789,0.3495123994283509
48,48,0.123535013964806,0.49837814848519296
